,Date,Actual,Consensus,Difference
0,2024-03-19 16:30:00,0.3,0.6,-0.300000
1,2024-02-20 16:30:00,0.0,0.4,-0.400000
2,2024-01-16 16:30:00,0.3,0.3,0.000000
3,2023-12-19 16:30:00,0.1,0.2,-0.100000
4,2023-11-21 16:30:00,0.1,0.1,0.000000
5,2023-10-17 16:30:00,0.1,0.1,0.000000
6,2023-09-19 16:30:00,0.4,0.2,0.200000
7,2023-08-15 16:30:00,0.6,0.3,0.300000
8,2023-07-18 16:30:00,0.1,0.3,-0.200000
9,2023-06-27 16:30:00,0.4,0.5,-0.100000
10,2023-05-16 16:30:00,0.7,0.4,0.300000
11,2023-04-18 16:30:00,0.5,0.5,0.000000
12,2023-03-21 16:30:00,0.4,0.5,-0.100000
13,2023-02-21 16:30:00,0.5,0.7,-0.200000
14,2023-01-17 16:30:00,0.6,0.5,0.100000
15,2022-12-21 16:30:00,0.1,0.1,0.000000
16,2022-11-16 16:30:00,0.7,0.7,0.000000
17,2022-10-19 16:30:00,0.1,0.1,0.000000
18,2022-09-20 16:30:00,0.3,0.1,0.200000
19,2022-08-16 16:30:00,0.1,0.1,0.000000
20,2022-07-20 16:30:00,0.7,0.9,-0.200000
21,2022-06-22 16:30:00,1.4,1.0,0.400000
22,2022-05-18 16:30:00,0.6,0.5,0.100000
23,2022-04-20 16:30:00,1.4,1.0,0.400000
24,2022-03-16 16:30:00,1.0,0.9,0.100000
25,2022-02-16 16:30:00,0.9,0.6,0.300000
26,2022-01-19 16:30:00,0.1,0.1,0.000000
27,2021-12-15 16:30:00,0.2,0.2,0.000000
28,2021-11-17 16:30:00,0.7,0.7,0.000000
29,2021-10-20 16:30:00,0.2,0.1,0.100000
30,2021-09-15 16:30:00,0.2,0.1,0.100000
31,2021-08-18 16:30:00,0.6,0.3,0.300000
32,2021-07-28 16:30:00,0.3,0.4,-0.100000
33,2021-06-16 16:30:00,0.5,0.4,0.100000
34,2021-05-19 16:30:00,0.5,0.4,0.100000
35,2021-04-21 16:30:00,0.5,0.6,-0.100000
36,2021-03-17 16:30:00,0.5,0.7,-0.200000
37,2021-02-17 16:30:00,0.6,0.4,0.200000
38,2020-12-16 16:30:00,0.1,0.2,-0.100000
39,2020-11-18 16:30:00,0.4,0.2,0.200000
40,2020-10-21 16:30:00,0.1,0.1,0.000000
41,2020-09-16 16:30:00,0.1,0.1,0.000000
42,2020-08-19 16:30:00,0.0,0.4,-0.400000
43,2020-07-22 16:30:00,0.8,0.4,0.400000
44,2020-06-17 16:30:00,0.3,0.7,-0.400000
45,2020-05-20 16:30:00,0.7,0.6,0.100000
46,2020-04-22 16:30:00,0.6,0.4,0.200000
47,2020-03-18 16:30:00,0.4,0.4,0.000000
48,2020-02-19 16:30:00,0.3,0.2,0.100000
49,2020-01-22 16:30:00,0.0,0.1,-0.100000
50,2019-12-18 16:30:00,0.1,0.1,0.000000
51,2019-11-20 16:30:00,0.3,0.3,0.000000
52,2019-10-16 16:30:00,0.4,0.2,0.200000
53,2019-09-18 16:30:00,0.1,0.2,-0.100000
54,2019-08-21 16:30:00,0.5,0.2,0.300000
55,2019-07-17 16:30:00,0.2,0.3,-0.100000
56,2019-06-19 16:30:00,0.4,0.1,0.300000
57,2019-05-15 16:30:00,0.4,0.4,0.000000
58,2019-04-17 16:30:00,0.7,0.7,0.000000
59,2019-03-22 16:30:00,0.7,0.6,0.100000
60,2019-02-27 16:30:00,0.1,0.2,-0.100000
61,2019-01-18 16:30:00,0.1,0.4,-0.300000
62,2018-12-19 16:30:00,0.4,0.4,0.000000
63,2018-11-23 16:30:00,0.3,0.1,0.200000
64,2018-10-19 16:30:00,0.4,0.1,0.300000
65,2018-09-21 16:30:00,0.1,0.1,0.000000
66,2018-08-17 16:30:00,0.5,0.1,0.400000
67,2018-07-20 16:30:00,0.1,0.1,0.000000
68,2018-06-22 16:30:00,0.1,0.4,-0.300000
