,Date,Actual,Consensus,Difference
0,2024-03-12 16:30:00,0.4,0.4,0.000000
1,2024-02-13 16:30:00,0.3,0.2,0.100000
2,2024-01-11 16:30:00,0.3,0.2,0.100000
3,2023-12-12 16:30:00,0.1,0.0,0.100000
4,2023-11-14 16:30:00,0.0,0.1,-0.100000
5,2023-10-12 16:30:00,0.4,0.3,0.100000
6,2023-09-13 16:30:00,0.6,0.6,0.000000
7,2023-08-10 16:30:00,0.2,0.2,0.000000
8,2023-07-12 16:30:00,0.2,0.3,-0.100000
9,2023-06-13 16:30:00,0.1,0.2,-0.100000
10,2023-05-10 16:30:00,0.4,0.4,0.000000
11,2023-04-12 16:30:00,0.1,0.2,-0.100000
12,2023-03-14 16:30:00,0.4,0.4,0.000000
13,2023-02-14 16:30:00,0.5,0.5,0.000000
14,2023-01-12 16:30:00,0.1,0.0,0.100000
15,2022-12-13 16:30:00,0.1,0.3,-0.200000
16,2022-11-10 16:30:00,0.4,0.6,-0.200000
17,2022-10-13 16:30:00,0.4,0.2,0.200000
18,2022-09-13 16:30:00,0.1,0.1,0.000000
19,2022-08-10 16:30:00,0.0,0.2,-0.200000
20,2022-07-13 16:30:00,1.3,1.1,0.200000
21,2022-06-10 16:30:00,1.0,0.7,0.300000
22,2022-05-11 16:30:00,0.3,0.2,0.100000
23,2022-04-12 16:30:00,1.2,1.2,0.000000
24,2022-03-10 16:30:00,0.8,0.8,0.000000
25,2022-02-10 16:30:00,0.6,0.5,0.100000
26,2022-01-12 16:30:00,0.5,0.4,0.100000
27,2021-12-10 16:30:00,0.8,0.7,0.100000
28,2021-11-10 16:30:00,0.9,0.6,0.300000
29,2021-10-13 16:30:00,0.4,0.3,0.100000
30,2021-09-14 16:30:00,0.3,0.4,-0.100000
31,2021-08-11 16:30:00,0.5,0.5,0.000000
32,2021-07-13 16:30:00,0.9,0.5,0.400000
33,2021-06-10 16:30:00,0.6,0.4,0.200000
34,2021-05-12 16:30:00,0.8,0.2,0.600000
35,2021-04-13 16:30:00,0.6,0.5,0.100000
36,2021-03-10 16:30:00,0.4,0.4,0.000000
37,2021-02-10 16:30:00,0.3,0.3,0.000000
38,2021-01-13 16:30:00,0.4,0.4,0.000000
39,2020-12-10 16:30:00,0.2,0.1,0.100000
40,2020-11-12 16:30:00,0.0,0.1,-0.100000
41,2020-10-13 16:30:00,0.2,0.2,0.000000
42,2020-09-11 16:30:00,0.4,0.3,0.100000
43,2020-08-12 16:30:00,0.6,0.3,0.300000
44,2020-07-14 16:30:00,0.6,0.5,0.100000
45,2020-06-10 16:30:00,0.1,0.1,0.000000
46,2020-05-12 16:30:00,0.8,0.8,0.000000
47,2020-04-10 16:30:00,0.4,0.3,0.100000
48,2020-03-11 16:30:00,0.1,0.2,-0.100000
49,2020-02-13 16:30:00,0.1,0.2,-0.100000
50,2020-01-14 16:30:00,0.2,0.3,-0.100000
51,2019-12-11 16:30:00,0.3,0.2,0.100000
52,2019-11-13 16:30:00,0.4,0.3,0.100000
53,2019-10-10 16:30:00,0.0,0.1,-0.100000
54,2019-09-12 16:30:00,0.1,0.1,0.000000
55,2019-08-13 16:30:00,0.3,0.3,0.000000
56,2019-07-11 16:30:00,0.1,0.0,0.100000
57,2019-06-12 16:30:00,0.1,0.1,0.000000
58,2019-05-10 16:30:00,0.3,0.4,-0.100000
59,2019-04-10 16:30:00,0.4,0.3,0.100000
60,2019-03-12 16:30:00,0.2,0.2,0.000000
61,2019-02-13 16:30:00,0.0,0.1,-0.100000
62,2019-01-11 16:30:00,0.1,0.1,0.000000
63,2018-12-12 16:30:00,0.0,0.1,-0.100000
64,2018-11-14 16:30:00,0.3,0.3,0.000000
65,2018-10-11 16:30:00,0.1,0.2,-0.100000
66,2018-09-13 16:30:00,0.2,0.3,-0.100000
67,2018-08-10 16:30:00,0.2,0.2,0.000000
