,Date,Actual,Consensus,Difference
0,2023-11-08 02:30:00,-4.6,-4.6,0.000000
1,2023-11-01 03:30:00,-4.6,1.3,-5.900000
2,2023-10-10 03:30:00,7.0,7.0,0.000000
3,2023-10-03 03:30:00,7.0,2.5,4.500000
4,2023-09-07 04:30:00,-8.1,-8.1,0.000000
5,2023-08-30 04:30:00,-8.1,-0.8,-7.300000
6,2023-08-08 04:30:00,-7.7,-7.7,0.000000
7,2023-08-01 04:30:00,-7.7,-7.0,-0.700000
8,2023-07-10 04:30:00,20.6,20.6,0.000000
9,2023-07-03 04:30:00,20.6,2.0,18.600000
10,2023-06-06 04:30:00,-8.1,-8.1,0.000000
11,2023-05-30 04:30:00,-8.1,2.0,-10.100000
12,2023-05-15 04:30:00,-0.1,-0.1,0.000000
13,2023-05-08 04:30:00,-0.1,3.0,-3.100000
14,2023-04-12 04:30:00,4.0,4.0,0.000000
15,2023-04-03 04:30:00,4.0,-2.0,6.000000
16,2023-03-09 02:30:00,-27.6,-27.6,0.000000
17,2023-03-02 02:30:00,-27.6,-8.0,-19.600000
18,2023-02-09 02:30:00,18.5,-8.8,27.300000
19,2023-02-02 02:30:00,18.5,1.0,17.500000
20,2023-01-09 02:30:00,-9.0,-1.0,-8.000000
21,2022-12-07 02:30:00,-6.0,-6.0,0.000000
22,2022-11-30 02:30:00,-6.0,-1.8,-4.200000
23,2022-11-09 02:30:00,-5.8,-7.0,1.200000
24,2022-11-02 03:30:00,-5.8,-7.0,1.200000
25,2022-10-04 03:30:00,28.1,5.0,23.100000
26,2022-08-30 03:30:00,-17.2,-5.0,-12.200000
27,2022-08-02 04:30:00,-0.7,-5.0,4.300000
28,2022-07-04 04:30:00,9.9,-1.8,11.700000
29,2022-06-07 04:30:00,-2.4,-2.4,0.000000
30,2022-05-31 04:30:00,-2.4,2.0,-4.400000
31,2022-05-05 04:30:00,-18.5,-12.5,-6.000000
32,2022-03-31 03:30:00,43.5,10.0,33.500000
33,2022-03-10 02:30:00,-27.9,-27.9,0.000000
34,2022-03-03 02:30:00,-27.9,-2.9,-25.000000
35,2022-02-10 02:30:00,8.2,8.2,0.000000
36,2022-02-03 02:30:00,8.2,-1.0,9.200000
37,2022-01-17 02:30:00,3.6,3.6,0.000000
38,2022-01-10 02:30:00,3.6,3.2,0.400000
39,2021-12-07 02:30:00,-12.9,-12.9,0.000000
40,2021-11-30 02:30:00,-12.9,-2.0,-10.900000
41,2021-11-10 02:30:00,-4.3,-4.3,0.000000
42,2021-11-03 03:30:00,-4.3,-2.0,-2.300000
43,2021-09-30 04:30:00,6.8,-5.0,11.800000
44,2021-09-07 04:30:00,-8.6,-8.6,0.000000
45,2021-08-31 04:30:00,-8.6,-5.0,-3.600000
46,2021-08-03 04:30:00,-6.7,-4.5,-2.200000
47,2021-07-05 04:30:00,-7.1,-5.0,-2.100000
48,2021-06-01 04:30:00,-8.6,-10.0,1.400000
49,2021-05-12 04:30:00,17.4,17.4,0.000000
50,2021-05-05 04:30:00,17.4,3.0,14.400000
51,2021-04-09 04:30:00,21.6,21.6,0.000000
52,2021-03-31 03:30:00,21.6,5.0,16.600000
53,2021-03-10 02:30:00,-19.4,-19.4,0.000000
54,2021-03-02 02:30:00,-19.4,-3.0,-16.400000
55,2021-02-10 02:30:00,10.9,10.9,0.000000
56,2021-01-14 02:30:00,2.6,2.6,0.000000
57,2021-01-07 02:30:00,2.6,2.5,0.100000
58,2020-12-01 02:30:00,3.8,-3.0,6.800000
59,2020-11-02 02:30:00,15.4,1.3,14.100000
60,2020-09-30 04:30:00,-1.6,-2.0,0.400000
61,2020-09-01 04:30:00,12.0,-2.0,14.000000
