,Date,Actual,Consensus,Difference
0,2023-08-31 04:30:00,2.8,1.2,1.600000
1,2023-06-01 04:30:00,2.4,1.3,1.100000
2,2023-02-23 02:30:00,2.2,1.3,0.900000
3,2022-12-01 02:30:00,-0.6,1.5,-2.100000
4,2022-09-01 04:30:00,-0.3,1.5,-1.800000
5,2022-05-26 04:30:00,-0.3,1.5,-1.800000
6,2022-02-24 02:30:00,1.1,2.6,-1.500000
7,2021-11-25 02:30:00,-2.2,-2.0,-0.200000
8,2021-08-26 04:30:00,4.4,2.5,1.900000
9,2021-05-27 04:30:00,6.3,2.0,4.300000
10,2021-02-25 02:00:00,3.0,0.4,2.600000
11,2020-11-26 02:30:00,-3.0,-1.5,-1.500000
12,2020-08-27 04:30:00,-5.9,-8.4,2.500000
13,2020-05-28 04:30:00,-1.6,-2.6,1.000000
14,2020-02-27 02:30:00,-2.8,0.4,-3.200000
15,2019-11-28 02:30:00,-0.2,-0.1,-0.100000
16,2019-08-29 04:30:00,-0.5,0.5,-1.000000
17,2019-05-30 04:30:00,-1.7,0.5,-2.200000
18,2019-02-28 02:30:00,2.0,1.1,0.900000
19,2018-11-29 02:30:00,-0.5,1.1,-1.600000
20,2018-08-30 04:30:00,-2.5,0.6,-3.100000
21,2018-05-31 04:30:00,0.4,0.8,-0.400000
22,2018-03-01 02:30:00,-0.2,0.9,-1.100000
23,2017-11-30 02:30:00,1.0,1.0,0.000000
24,2017-08-31 04:30:00,0.8,0.3,0.500000
25,2017-06-01 04:30:00,0.3,0.8,-0.500000
26,2017-02-23 02:30:00,-2.1,-0.5,-1.600000
27,2016-12-01 02:30:00,-4.0,-2.5,-1.500000
28,2016-09-01 04:30:00,-5.4,-4.2,-1.200000
29,2016-05-26 04:30:00,-5.2,-3.0,-2.200000
30,2016-02-25 02:30:00,0.8,-3.0,3.800000
31,2015-11-26 02:30:00,-9.2,-3.0,-6.200000
32,2015-08-27 04:30:00,-4.0,-2.5,-1.500000
33,2015-05-28 04:30:00,-4.4,-2.4,-2.000000
34,2015-02-26 02:30:00,-2.2,-1.9,-0.300000
35,2014-11-27 02:30:00,0.2,-1.7,1.900000
36,2014-08-28 04:30:00,1.1,-0.3,1.400000
37,2014-05-29 04:30:00,-4.2,-1.4,-2.800000
38,2014-02-27 02:30:00,-5.2,-1.0,-4.200000
39,2013-11-28 02:30:00,3.6,-1.2,4.800000
40,2013-08-29 04:30:00,4.0,1.0,3.000000
41,2013-05-30 04:30:00,-4.7,0.8,-5.500000
42,2013-02-28 02:30:00,-1.2,1.0,-2.200000
43,2012-11-29 02:30:00,2.8,2.0,0.800000
44,2012-08-30 04:30:00,3.4,2.4,1.000000
45,2012-05-31 04:30:00,6.1,4.0,2.100000
46,2012-03-01 02:30:00,-0.3,3.9,-4.200000
47,2011-11-30 02:30:00,12.3,8.0,4.300000
48,2011-09-01 04:30:00,4.9,4.1,0.800000
49,2011-05-26 04:30:00,3.4,2.8,0.600000
50,2011-02-24 02:30:00,1.3,2.2,-0.900000
51,2010-11-25 02:30:00,6.2,3.3,2.900000
52,2010-08-26 04:30:00,-4.0,2.4,-6.400000
53,2010-05-27 04:30:00,-0.2,2.6,-2.800000
54,2010-02-25 02:30:00,5.5,1.5,4.000000
55,2009-11-26 02:30:00,-3.9,1.1,-5.000000
56,2009-08-27 04:30:00,3.3,-4.7,8.000000
57,2009-05-28 04:30:00,-8.9,-5.0,-3.900000
58,2009-02-26 02:30:00,6.0,-3.2,9.200000
59,2008-11-27 02:30:00,0.6,0.5,0.100000
60,2008-08-28 04:30:00,5.7,2.0,3.700000
61,2008-05-29 05:30:00,-2.5,3.1,-5.600000
62,2008-02-28 02:30:00,5.1,3.0,2.100000
