,Date,Actual,Consensus,Difference
0,2023-10-25 03:30:00,5.4,5.3,0.100000
1,2023-07-26 04:30:00,6.0,6.2,-0.200000
2,2023-04-26 04:30:00,7.0,6.9,0.100000
3,2023-01-25 02:30:00,7.8,7.5,0.300000
4,2022-10-26 03:30:00,7.3,7.0,0.300000
5,2022-07-27 04:30:00,6.1,6.2,-0.100000
6,2022-04-27 04:30:00,5.1,4.6,0.500000
7,2022-01-25 02:30:00,3.5,3.2,0.300000
8,2021-10-27 03:30:00,3.0,3.1,-0.100000
9,2021-07-28 04:30:00,3.8,3.8,0.000000
10,2021-04-28 04:30:00,1.1,1.4,-0.300000
11,2021-01-27 02:30:00,0.9,0.7,0.200000
12,2020-10-28 03:30:00,0.7,0.7,0.000000
13,2020-07-29 04:30:00,-0.3,-0.4,0.100000
14,2020-04-29 04:30:00,2.2,2.0,0.200000
15,2020-01-29 02:30:00,1.8,1.7,0.100000
16,2019-10-30 03:30:00,1.7,1.7,0.000000
17,2019-07-31 04:30:00,1.6,1.5,0.100000
18,2019-04-24 04:30:00,1.3,1.5,-0.200000
19,2019-01-30 02:30:00,1.8,1.7,0.100000
20,2018-10-31 03:30:00,1.9,1.9,0.000000
21,2018-07-25 04:30:00,2.1,2.2,-0.100000
22,2018-04-24 04:30:00,1.9,2.0,-0.100000
23,2018-01-31 02:30:00,1.9,2.0,-0.100000
24,2017-10-25 03:30:00,1.8,2.0,-0.200000
25,2017-07-26 04:30:00,1.9,2.2,-0.300000
26,2017-04-26 04:30:00,2.1,2.2,-0.100000
27,2017-01-25 02:30:00,1.5,1.6,-0.100000
28,2016-10-26 03:30:00,1.3,1.1,0.200000
29,2016-07-27 04:30:00,1.0,1.1,-0.100000
30,2016-04-27 04:30:00,1.3,1.8,-0.500000
31,2016-01-27 02:30:00,1.7,1.6,0.100000
32,2015-10-28 03:30:00,1.5,1.7,-0.200000
33,2015-07-22 04:30:00,1.5,1.7,-0.200000
34,2015-04-22 04:30:00,1.3,1.3,0.000000
35,2015-01-28 02:30:00,1.7,1.8,-0.100000
36,2014-10-22 03:30:00,2.3,2.3,0.000000
37,2014-07-23 04:30:00,3.0,3.1,-0.100000
38,2014-04-23 04:30:00,2.9,3.2,-0.300000
39,2014-01-22 02:30:00,2.7,2.5,0.200000
40,2013-10-23 03:30:00,2.2,1.8,0.400000
41,2013-07-24 04:30:00,2.4,2.5,-0.100000
