,Date,Actual,Consensus,Difference
0,2023-08-30 04:30:00,0.4,1.0,-0.600000
1,2023-05-31 04:30:00,1.8,1.5,0.300000
2,2023-02-22 02:30:00,-0.4,1.5,-1.900000
3,2022-11-30 02:30:00,2.2,1.5,0.700000
4,2022-08-31 04:30:00,-3.8,0.9,-4.700000
5,2022-05-25 04:30:00,-0.9,1.0,-1.900000
6,2022-02-23 02:30:00,-0.4,2.5,-2.900000
7,2021-11-24 02:30:00,-0.3,-3.1,2.800000
8,2021-08-25 04:30:00,0.8,2.5,-1.700000
9,2021-05-26 04:30:00,2.4,2.2,0.200000
10,2021-02-24 02:30:00,-0.9,1.0,-1.900000
11,2020-11-25 02:30:00,-2.6,-2.0,-0.600000
12,2020-08-26 04:30:00,-0.7,-5.8,5.100000
13,2020-05-27 04:30:00,-1.0,-1.5,0.500000
14,2020-02-26 02:30:00,-3.0,-1.0,-2.000000
15,2019-11-27 02:30:00,-0.4,-1.0,0.600000
16,2019-08-28 04:30:00,-3.8,-1.0,-2.800000
17,2019-05-22 04:30:00,-1.9,0.1,-2.000000
18,2019-02-27 02:30:00,-3.1,0.6,-3.700000
19,2018-12-03 02:30:00,2.7,1.0,1.700000
20,2018-11-28 02:30:00,-2.8,0.9,-3.700000
21,2018-08-22 04:30:00,1.6,0.7,0.900000
22,2018-05-23 04:30:00,0.2,1.1,-0.900000
23,2018-02-21 02:30:00,-19.4,-10.1,-9.300000
24,2017-11-22 02:30:00,15.7,-2.3,18.000000
25,2017-08-30 04:30:00,9.3,1.0,8.300000
26,2017-05-24 04:30:00,-0.7,-0.2,-0.500000
27,2017-02-22 02:30:00,-0.2,0.3,-0.500000
28,2016-11-23 02:30:00,-4.9,-1.7,-3.200000
29,2016-08-24 04:30:00,-3.7,-1.9,-1.800000
30,2016-05-25 04:30:00,-2.6,-1.5,-1.100000
31,2016-02-24 02:30:00,-3.6,-2.0,-1.600000
32,2015-11-25 02:30:00,-3.6,-2.1,-1.500000
33,2015-08-26 04:30:00,1.6,-1.5,3.100000
34,2015-05-27 04:30:00,-2.4,-1.5,-0.900000
35,2015-02-25 02:30:00,-0.2,-1.2,1.000000
36,2014-11-26 02:30:00,-2.2,-1.7,-0.500000
37,2014-08-27 04:30:00,-1.2,-0.3,-0.900000
38,2014-05-28 04:30:00,0.3,-0.2,0.500000
39,2014-02-26 02:30:00,-1.0,0.7,-1.700000
40,2013-11-27 02:30:00,2.7,0.5,2.200000
41,2013-08-28 04:30:00,-0.3,1.6,-1.900000
42,2013-05-29 04:30:00,-2.0,1.0,-3.000000
43,2013-02-27 02:30:00,-0.1,1.5,-1.600000
44,2012-11-28 02:30:00,1.7,2.7,-1.000000
45,2012-08-29 04:30:00,-0.2,1.0,-1.200000
46,2012-05-30 04:30:00,5.5,3.0,2.500000
47,2012-02-29 02:30:00,-4.6,-0.6,-4.000000
48,2011-11-23 02:30:00,12.5,2.0,10.500000
49,2011-08-24 04:30:00,0.7,1.1,-0.400000
50,2011-05-25 04:30:00,0.7,1.4,-0.700000
51,2011-02-23 02:30:00,0.8,1.5,-0.700000
52,2010-11-24 02:30:00,-2.1,2.1,-4.200000
53,2010-08-25 04:30:00,3.5,3.1,0.400000
54,2010-05-26 04:30:00,1.9,4.1,-2.200000
55,2010-02-24 02:30:00,2.6,2.2,0.400000
56,2009-11-25 02:30:00,2.2,0.1,2.100000
57,2009-08-26 04:30:00,-0.1,-2.7,2.600000
58,2009-05-27 04:30:00,-3.7,-3.0,-0.700000
59,2009-02-25 02:30:00,1.7,-1.5,3.200000
60,2008-11-26 02:30:00,4.4,1.5,2.900000
61,2008-08-27 04:30:00,-2.6,1.5,-4.100000
62,2008-05-28 05:30:00,2.3,2.3,0.000000
63,2008-02-27 23:45:00,-1.0,2.0,-3.000000
