,Date,Actual,Consensus,Difference
0,2023-09-05 04:30:00,7.7,8.0,-0.300000
1,2023-06-06 04:30:00,12.3,15.0,-2.700000
2,2023-02-28 02:30:00,14.1,6.5,7.600000
3,2022-12-06 02:30:00,-2.3,10.5,-12.800000
4,2022-09-06 04:30:00,18.3,20.8,-2.500000
5,2022-05-31 04:30:00,7.5,13.4,-5.900000
6,2022-03-01 02:30:00,12.7,14.3,-1.600000
7,2021-11-30 02:30:00,23.9,27.8,-3.900000
8,2021-08-31 04:30:00,20.5,21.0,-0.500000
9,2021-06-01 04:30:00,18.3,17.9,0.400000
10,2021-03-02 02:30:00,14.5,13.1,1.400000
11,2020-12-01 02:30:00,10.0,7.1,2.900000
12,2020-09-01 04:30:00,17.7,13.0,4.700000
13,2020-06-02 04:30:00,8.4,6.3,2.100000
14,2020-03-03 02:30:00,1.0,2.3,-1.300000
15,2019-12-03 02:30:00,7.9,6.1,1.800000
16,2019-09-03 04:30:00,5.9,1.4,4.500000
17,2019-06-04 04:30:00,-2.9,-2.5,-0.400000
18,2019-03-05 02:30:00,-7.2,-9.2,2.000000
19,2018-12-04 02:30:00,-10.7,-10.2,-0.500000
20,2018-09-04 04:30:00,-13.5,-11.1,-2.400000
21,2018-06-05 04:30:00,-10.5,-10.0,-0.500000
22,2018-03-06 02:30:00,-14.0,-12.3,-1.700000
23,2017-12-05 02:30:00,-9.1,-9.2,0.100000
24,2017-09-05 04:30:00,-9.6,-8.1,-1.500000
25,2017-06-06 04:30:00,-3.1,-0.1,-3.000000
26,2017-02-28 02:30:00,-3.9,-3.6,-0.300000
27,2016-12-06 02:30:00,-11.4,-13.7,2.300000
28,2016-09-06 04:30:00,-15.5,-19.8,4.300000
29,2016-05-31 04:30:00,-20.8,-19.5,-1.300000
30,2016-03-01 02:30:00,-21.1,-20.0,-1.100000
31,2015-12-01 02:30:00,-18.1,-16.5,-1.600000
32,2015-09-01 04:30:00,-19.0,-15.8,-3.200000
33,2015-06-02 04:30:00,-10.7,-10.8,0.100000
34,2015-03-03 02:30:00,-9.6,-11.0,1.400000
35,2014-12-02 02:30:00,-12.5,-13.5,1.000000
36,2014-09-02 04:30:00,-13.7,-14.0,0.300000
37,2014-06-03 04:30:00,-5.7,-7.0,1.300000
38,2014-03-04 02:30:00,-10.1,-10.0,-0.100000
39,2013-12-03 02:30:00,-12.7,-11.6,-1.100000
40,2013-09-03 04:30:00,-9.4,-8.7,-0.700000
41,2013-06-04 04:30:00,-8.5,-9.0,0.500000
42,2013-03-05 02:30:00,-14.7,-15.4,0.700000
43,2012-12-04 02:30:00,-14.9,-14.8,-0.100000
44,2012-09-04 04:30:00,-11.8,-12.2,0.400000
45,2012-06-05 04:30:00,-14.9,-14.9,0.000000
46,2012-03-06 02:30:00,-8.4,-8.0,-0.400000
47,2011-12-06 02:30:00,-5.6,-5.6,0.000000
48,2011-09-06 04:30:00,-7.4,-7.0,-0.400000
49,2011-05-31 04:30:00,-10.4,-10.1,-0.300000
50,2011-03-01 02:30:00,-7.3,-6.9,-0.400000
51,2010-11-30 02:30:00,-7.8,-6.4,-1.400000
52,2010-08-31 04:30:00,-5.6,-6.3,0.700000
53,2010-05-31 04:30:00,-16.6,-16.4,-0.200000
54,2010-03-01 02:30:00,-17.5,-17.0,-0.500000
55,2009-12-08 02:30:00,-16.2,-17.0,0.800000
56,2009-09-01 04:30:00,-13.3,-10.0,-3.300000
57,2009-06-02 04:30:00,-4.6,-5.4,0.800000
58,2009-03-03 02:30:00,-6.5,-7.4,0.900000
59,2008-12-02 02:30:00,-9.7,-11.2,1.500000
60,2008-09-01 04:30:00,-12.8,-11.8,-1.000000
61,2008-06-03 05:30:00,-19.5,-20.4,0.900000
62,2008-03-04 02:30:00,-1.9,-1.8,-0.100000
