,Date,Actual,Consensus,Difference
0,2023-11-16 02:30:00,55.0,20.0,35.000000
1,2023-10-19 03:30:00,6.7,20.0,-13.300000
2,2023-09-14 04:30:00,64.9,23.0,41.900000
3,2023-08-17 04:30:00,-14.6,15.0,-29.600000
4,2023-07-20 04:30:00,32.6,15.0,17.600000
5,2023-06-15 04:30:00,75.9,15.0,60.900000
6,2023-05-18 04:30:00,-4.3,25.0,-29.300000
7,2023-04-13 04:30:00,53.0,20.0,33.000000
8,2023-03-16 03:30:00,64.6,48.5,16.100000
9,2023-02-16 02:30:00,-11.5,20.0,-31.500000
10,2023-01-19 02:30:00,-14.6,22.5,-37.100000
11,2022-12-15 02:30:00,64.0,19.0,45.000000
12,2022-11-17 02:30:00,32.2,15.0,17.200000
13,2022-10-20 03:30:00,0.9,25.0,-24.100000
14,2022-09-15 04:30:00,33.5,35.0,-1.500000
15,2022-08-18 04:30:00,-40.9,25.0,-65.900000
16,2022-07-14 04:30:00,88.4,30.0,58.400000
17,2022-06-16 04:30:00,60.6,25.0,35.600000
18,2022-05-19 04:30:00,4.0,30.0,-26.000000
19,2022-04-14 04:30:00,17.9,40.0,-22.100000
20,2022-03-17 03:30:00,77.4,37.0,40.400000
21,2022-02-17 02:30:00,12.9,-15.0,27.900000
22,2022-01-20 02:30:00,64.8,43.3,21.500000
23,2021-12-16 02:30:00,366.1,205.0,161.100000
24,2021-11-11 02:30:00,-46.3,50.0,-96.300000
25,2021-10-14 03:30:00,-138.0,-137.5,-0.500000
26,2021-09-16 04:30:00,-146.3,-90.0,-56.300000
27,2021-08-19 04:30:00,2.2,-46.2,48.400000
28,2021-07-15 04:30:00,29.1,30.0,-0.900000
29,2021-06-17 04:30:00,115.2,30.0,85.200000
30,2021-05-20 04:30:00,-30.6,15.0,-45.600000
31,2021-04-15 04:30:00,70.7,35.0,35.700000
32,2021-03-18 03:30:00,88.7,30.0,58.700000
33,2021-02-18 02:30:00,29.1,40.0,-10.900000
34,2021-01-21 02:30:00,50.0,50.0,0.000000
35,2020-12-17 02:30:00,90.0,50.0,40.000000
36,2020-11-19 02:30:00,178.8,-30.0,208.800000
37,2020-10-15 03:30:00,-29.5,-35.0,5.500000
38,2020-09-17 04:30:00,111.0,-50.0,161.000000
39,2020-08-13 04:30:00,114.7,40.0,74.700000
40,2020-07-16 04:30:00,210.8,112.5,98.300000
41,2020-06-18 04:30:00,-227.7,-125.0,-102.700000
42,2020-05-14 04:30:00,-594.3,-575.0,-19.300000
43,2020-04-16 04:30:00,5.9,-40.0,45.900000
44,2020-03-19 03:30:00,26.7,10.0,16.700000
45,2020-02-20 02:30:00,13.5,10.0,3.500000
46,2020-01-23 02:30:00,28.9,15.0,13.900000
47,2019-12-19 02:30:00,39.9,14.0,25.900000
48,2019-11-14 02:30:00,-19.0,15.0,-34.000000
49,2019-10-17 03:30:00,14.7,15.3,-0.600000
50,2019-09-19 04:30:00,34.7,10.0,24.700000
51,2019-08-15 04:30:00,41.1,14.0,27.100000
52,2019-07-18 04:30:00,0.5,9.1,-8.600000
53,2019-06-13 04:30:00,42.3,16.0,26.300000
54,2019-05-16 04:30:00,28.4,15.2,13.200000
55,2019-04-18 04:30:00,25.7,12.0,13.700000
56,2019-03-21 03:30:00,4.6,14.8,-10.200000
57,2019-02-21 02:30:00,39.1,15.2,23.900000
58,2019-01-24 02:30:00,21.6,16.5,5.100000
59,2018-12-20 02:30:00,37.0,20.0,17.000000
60,2018-11-15 02:30:00,32.8,19.9,12.900000
61,2018-10-18 03:30:00,5.6,15.2,-9.600000
62,2018-09-13 04:30:00,44.0,16.5,27.500000
63,2018-08-16 04:30:00,-3.9,15.0,-18.900000
64,2018-07-19 04:30:00,50.9,16.7,34.200000
65,2018-06-14 04:30:00,12.0,18.8,-6.800000
66,2018-05-17 04:30:00,22.6,20.3,2.300000
67,2018-04-19 04:30:00,4.9,20.3,-15.400000
68,2018-03-22 03:30:00,17.5,19.8,-2.300000
69,2018-02-15 02:30:00,16.0,15.3,0.700000
70,2018-01-18 02:30:00,34.7,9.0,25.700000
71,2017-12-14 02:30:00,61.6,19.2,42.400000
72,2017-11-16 02:30:00,3.7,17.5,-13.800000
73,2017-10-19 03:30:00,19.8,15.0,4.800000
74,2017-09-14 04:30:00,54.2,15.0,39.200000
75,2017-08-17 04:30:00,27.9,20.0,7.900000
76,2017-07-20 04:30:00,14.0,15.0,-1.000000
77,2017-06-15 04:30:00,42.0,10.0,32.000000
78,2017-05-18 04:30:00,37.4,5.0,32.400000
79,2017-04-13 04:30:00,60.9,20.0,40.900000
80,2017-03-16 03:30:00,-6.4,16.0,-22.400000
81,2017-02-16 02:30:00,13.5,10.0,3.500000
82,2017-01-19 02:30:00,13.5,10.0,3.500000
83,2016-12-15 02:30:00,39.1,20.0,19.100000
84,2016-11-17 02:30:00,9.8,20.0,-10.200000
85,2016-10-20 03:30:00,-9.8,15.0,-24.800000
86,2016-09-15 04:30:00,-3.9,15.0,-18.900000
87,2016-08-18 04:30:00,26.2,11.0,15.200000
88,2016-07-14 04:30:00,7.9,10.0,-2.100000
89,2016-06-16 04:30:00,17.9,15.0,2.900000
90,2016-05-19 04:30:00,10.8,12.5,-1.700000
91,2016-04-14 04:30:00,26.1,20.0,6.100000
92,2016-03-17 03:30:00,0.3,10.0,-9.700000
93,2016-02-18 02:30:00,-7.9,15.0,-22.900000
94,2016-01-14 02:30:00,-1.0,-12.5,11.500000
95,2015-12-10 02:30:00,71.4,-10.0,81.400000
96,2015-11-12 02:30:00,58.6,15.0,43.600000
97,2015-10-15 03:30:00,-5.1,5.0,-10.100000
98,2015-09-10 04:30:00,17.4,5.0,12.400000
99,2015-08-06 04:30:00,38.5,10.0,28.500000
100,2015-07-09 04:30:00,7.3,-5.0,12.300000
101,2015-06-11 04:30:00,42.0,11.0,31.000000
102,2015-05-07 04:30:00,-2.9,5.0,-7.900000
103,2015-04-16 04:30:00,37.7,15.0,22.700000
104,2015-03-12 03:30:00,15.6,15.0,0.600000
105,2015-02-12 02:30:00,-12.2,-5.0,-7.200000
106,2015-01-15 02:30:00,37.4,3.8,33.600000
107,2014-12-11 02:30:00,42.7,12.4,30.300000
108,2014-11-06 02:30:00,24.1,10.3,13.800000
109,2014-10-09 03:30:00,-29.7,20.0,-49.700000
110,2014-09-11 04:30:00,121.0,12.0,109.000000
111,2014-08-07 04:30:00,-0.3,12.0,-12.300000
112,2014-07-10 04:30:00,15.9,12.0,3.900000
113,2014-06-12 04:30:00,-4.8,10.0,-14.800000
114,2014-05-08 04:30:00,14.2,6.8,7.400000
115,2014-04-10 04:30:00,18.1,5.0,13.100000
116,2014-03-13 03:30:00,47.3,18.0,29.300000
117,2014-02-13 02:30:00,-3.7,15.0,-18.700000
118,2014-01-16 02:30:00,-22.6,7.5,-30.100000
119,2013-12-12 02:30:00,21.0,10.0,11.000000
120,2013-11-07 02:30:00,1.1,10.0,-8.900000
121,2013-10-10 03:30:00,9.1,15.0,-5.900000
122,2013-09-12 04:30:00,-10.8,10.0,-20.800000
123,2013-08-08 04:30:00,-10.2,5.0,-15.200000
124,2013-07-11 04:30:00,10.3,-2.5,12.800000
125,2013-06-13 04:30:00,1.1,-10.0,11.100000
126,2013-05-09 04:30:00,50.1,12.0,38.100000
127,2013-04-11 04:30:00,-36.1,-5.0,-31.100000
128,2013-03-14 03:30:00,71.5,9.0,62.500000
129,2013-02-07 02:30:00,10.4,5.0,5.400000
130,2013-01-17 02:30:00,-5.5,4.5,-10.000000
131,2012-12-06 02:30:00,13.9,0.2,13.700000
132,2012-11-08 02:30:00,10.7,0.2,10.500000
133,2012-10-11 03:30:00,14.5,3.8,10.700000
