,Date,Actual,Consensus,Difference
0,2023-09-06 04:30:00,0.4,0.3,0.100000
1,2023-06-07 04:30:00,0.2,0.3,-0.100000
2,2023-03-01 02:30:00,0.5,0.8,-0.300000
3,2022-12-07 02:30:00,0.6,0.7,-0.100000
4,2022-09-07 04:30:00,0.9,1.0,-0.100000
5,2022-06-01 04:30:00,0.8,0.5,0.300000
6,2022-03-02 02:30:00,3.4,-2.7,6.100000
7,2021-12-01 02:30:00,-1.9,-2.7,0.800000
8,2021-09-01 04:30:00,0.7,0.5,0.200000
9,2021-06-02 04:30:00,1.8,1.5,0.300000
10,2021-03-03 02:30:00,3.1,2.5,0.600000
11,2020-12-02 02:30:00,3.3,2.6,0.700000
12,2020-09-02 04:30:00,-7.0,-6.0,-1.000000
13,2020-06-03 04:30:00,-0.3,-0.3,0.000000
14,2020-03-04 02:30:00,0.5,0.3,0.200000
15,2019-12-04 02:30:00,0.4,0.5,-0.100000
16,2019-09-04 04:30:00,0.5,0.5,0.000000
17,2019-06-05 04:30:00,0.4,0.5,-0.100000
18,2019-03-06 02:30:00,0.2,0.5,-0.300000
19,2018-12-05 02:30:00,0.3,0.6,-0.300000
20,2018-09-05 04:30:00,0.9,0.8,0.100000
21,2018-06-06 04:30:00,1.0,0.8,0.200000
22,2018-03-07 02:30:00,0.4,0.5,-0.100000
23,2017-12-06 02:30:00,0.6,0.7,-0.100000
24,2017-09-06 04:30:00,0.8,0.9,-0.100000
25,2017-06-07 04:30:00,0.3,0.2,0.100000
26,2017-03-01 02:30:00,1.1,0.7,0.400000
27,2016-12-07 02:30:00,-0.5,0.3,-0.800000
28,2016-09-07 04:30:00,0.5,0.6,-0.100000
29,2016-06-01 04:30:00,1.1,0.8,0.300000
30,2016-03-02 02:30:00,0.6,0.4,0.200000
31,2015-12-02 02:30:00,0.9,0.8,0.100000
32,2015-09-02 04:30:00,0.2,0.4,-0.200000
33,2015-06-03 04:30:00,0.9,0.7,0.200000
34,2015-03-04 02:30:00,0.5,0.5,0.000000
35,2014-12-03 02:30:00,0.3,0.7,-0.400000
36,2014-09-03 04:30:00,0.5,0.4,0.100000
37,2014-06-04 04:30:00,1.1,1.0,0.100000
38,2014-03-05 02:30:00,0.8,0.7,0.100000
39,2013-12-04 02:30:00,0.6,0.8,-0.200000
40,2013-09-04 04:30:00,0.6,0.6,0.000000
41,2013-06-05 04:30:00,0.6,0.8,-0.200000
42,2013-03-06 02:30:00,0.6,0.6,0.000000
43,2012-12-05 02:30:00,0.5,0.6,-0.100000
44,2012-09-05 04:30:00,0.6,0.7,-0.100000
45,2012-06-06 04:30:00,1.3,0.5,0.800000
46,2012-03-07 02:30:00,0.4,0.7,-0.300000
47,2011-12-07 02:30:00,1.0,1.2,-0.200000
48,2011-09-07 04:30:00,1.2,1.0,0.200000
49,2011-06-01 04:30:00,-1.2,-0.7,-0.500000
50,2011-03-02 02:30:00,0.7,0.6,0.100000
51,2010-12-01 02:30:00,0.2,0.5,-0.300000
52,2010-09-01 04:30:00,1.2,0.9,0.300000
53,2010-06-02 04:30:00,0.5,0.6,-0.100000
54,2010-03-03 02:30:00,0.9,0.9,0.000000
55,2009-12-16 02:30:00,0.2,0.4,-0.200000
56,2009-09-02 04:30:00,0.6,0.6,0.000000
57,2009-06-03 04:30:00,0.4,-0.2,0.600000
58,2009-03-04 02:30:00,-0.5,0.1,-0.600000
59,2008-12-03 02:30:00,0.1,0.2,-0.100000
60,2008-09-03 04:30:00,0.3,0.4,-0.100000
61,2008-06-04 05:30:00,0.6,0.3,0.300000
62,2008-03-05 02:30:00,0.6,0.8,-0.200000
