,Date,Actual,Consensus,Difference
0,2023-09-06 04:30:00,2.1,1.8,0.300000
1,2023-06-07 04:30:00,2.3,2.4,-0.100000
2,2023-03-01 02:30:00,2.7,2.7,0.000000
3,2022-12-07 02:30:00,5.9,6.2,-0.300000
4,2022-09-07 04:30:00,3.6,3.5,0.100000
5,2022-06-01 04:30:00,3.3,2.9,0.400000
6,2022-03-02 02:30:00,4.2,3.0,1.200000
7,2021-12-01 02:30:00,3.9,3.0,0.900000
8,2021-09-01 04:30:00,9.6,9.2,0.400000
9,2021-06-02 04:30:00,1.1,0.6,0.500000
10,2021-03-03 02:30:00,-1.1,-1.8,0.700000
11,2020-12-02 02:30:00,-3.8,-4.4,0.600000
12,2020-09-02 04:30:00,-6.3,-5.3,-1.000000
13,2020-06-03 04:30:00,1.4,1.4,0.000000
14,2020-03-04 02:30:00,2.2,1.9,0.300000
15,2019-12-04 02:30:00,1.7,1.7,0.000000
16,2019-09-04 04:30:00,1.4,1.4,0.000000
17,2019-06-05 04:30:00,1.8,1.8,0.000000
18,2019-03-06 02:30:00,2.3,2.5,-0.200000
19,2018-12-05 02:30:00,2.8,3.3,-0.500000
20,2018-09-05 04:30:00,3.4,2.8,0.600000
21,2018-06-06 04:30:00,3.1,2.8,0.300000
22,2018-03-07 02:30:00,2.4,2.5,-0.100000
23,2017-12-06 02:30:00,2.8,3.0,-0.200000
24,2017-09-06 04:30:00,1.8,1.9,-0.100000
25,2017-06-07 04:30:00,1.7,1.5,0.200000
26,2017-03-01 02:30:00,2.4,1.9,0.500000
27,2016-12-07 02:30:00,1.8,2.5,-0.700000
28,2016-09-07 04:30:00,3.3,3.4,-0.100000
29,2016-06-01 04:30:00,3.1,2.8,0.300000
30,2016-03-02 02:30:00,3.0,2.5,0.500000
31,2015-12-02 02:30:00,2.5,2.4,0.100000
32,2015-09-02 04:30:00,2.0,2.2,-0.200000
33,2015-06-03 04:30:00,2.3,2.1,0.200000
34,2015-03-04 02:30:00,2.5,2.5,0.000000
35,2014-12-03 02:30:00,2.7,3.1,-0.400000
36,2014-09-03 04:30:00,3.1,3.0,0.100000
37,2014-06-04 04:30:00,3.5,3.3,0.200000
38,2014-03-05 02:30:00,2.8,2.5,0.300000
39,2013-12-04 02:30:00,2.3,2.6,-0.300000
40,2013-09-04 04:30:00,2.6,2.5,0.100000
41,2013-06-05 04:30:00,2.5,2.7,-0.200000
