,Date,Actual,Consensus,Difference
0,2023-09-04 04:30:00,-13.1,-1.9,-11.200000
1,2023-06-05 04:30:00,0.5,2.0,-1.500000
2,2023-02-27 02:30:00,10.6,1.5,9.100000
3,2022-12-05 02:30:00,-12.4,0.3,-12.700000
4,2022-09-05 04:30:00,7.6,4.0,3.600000
5,2022-05-31 04:30:00,10.2,4.0,6.200000
6,2022-02-28 02:30:00,2.0,3.0,-1.000000
7,2021-11-29 02:30:00,4.0,3.0,1.000000
8,2021-08-30 04:30:00,7.1,3.0,4.100000
9,2021-06-01 04:30:00,-0.3,3.0,-3.300000
10,2021-03-01 02:30:00,-6.6,-4.0,-2.600000
11,2020-11-30 02:30:00,3.2,4.5,-1.300000
12,2020-08-31 04:30:00,15.0,-7.5,22.500000
13,2020-06-02 04:30:00,1.1,-3.5,4.600000
14,2020-03-02 02:30:00,-3.5,-3.5,0.000000
15,2019-12-02 02:30:00,-0.8,2.0,-2.800000
16,2019-09-02 04:30:00,4.5,2.0,2.500000
17,2019-06-03 04:30:00,1.7,3.0,-1.300000
18,2019-03-04 02:30:00,0.8,3.0,-2.200000
19,2018-12-03 02:30:00,1.9,2.9,-1.000000
20,2018-09-03 04:30:00,2.0,1.4,0.600000
21,2018-06-04 04:30:00,5.9,3.0,2.900000
22,2018-03-05 02:30:00,2.2,1.6,0.600000
23,2017-12-04 02:30:00,-0.2,0.2,-0.400000
24,2017-09-04 04:30:00,-4.5,-4.0,-0.500000
25,2017-06-05 04:30:00,6.0,4.5,1.500000
26,2017-02-27 02:30:00,20.1,8.0,12.100000
27,2016-12-05 02:30:00,1.0,3.0,-2.000000
28,2016-09-05 04:30:00,6.9,2.0,4.900000
29,2016-05-30 04:30:00,-4.7,0.1,-4.800000
30,2016-02-29 02:30:00,-2.8,-1.8,-1.000000
31,2015-11-30 02:30:00,1.3,1.0,0.300000
32,2015-08-31 04:30:00,-1.9,-2.0,0.100000
33,2015-06-01 04:30:00,0.2,0.5,-0.300000
34,2015-03-02 02:30:00,-0.2,0.3,-0.500000
35,2014-12-01 02:30:00,0.5,-1.2,1.700000
36,2014-09-01 04:30:00,-6.9,-1.8,-5.100000
37,2014-06-02 04:30:00,3.1,2.6,0.500000
38,2014-03-03 02:30:00,1.7,2.0,-0.300000
39,2013-12-02 02:30:00,3.9,1.0,2.900000
40,2013-09-02 04:30:00,-0.8,0.7,-1.500000
41,2013-06-03 04:30:00,3.0,1.5,1.500000
42,2013-03-04 02:30:00,-1.0,-1.0,0.000000
43,2012-12-03 02:30:00,-2.9,-2.5,-0.400000
44,2012-09-03 04:30:00,-0.7,1.0,-1.700000
45,2012-06-04 04:30:00,-4.0,-2.0,-2.000000
46,2012-03-05 02:30:00,-6.5,0.3,-6.800000
47,2011-12-05 02:30:00,4.8,3.0,1.800000
48,2011-09-05 04:30:00,6.7,2.9,3.800000
49,2011-05-30 04:30:00,-2.0,2.1,-4.100000
50,2011-02-28 02:30:00,-2.8,0.8,-3.600000
51,2010-11-29 02:30:00,-1.5,4.3,-5.800000
52,2010-08-30 04:30:00,18.9,5.9,13.000000
53,2010-05-31 04:30:00,3.9,3.1,0.800000
54,2010-03-01 02:30:00,2.2,0.4,1.800000
55,2009-11-30 02:30:00,-2.1,0.0,-2.100000
56,2009-08-31 04:30:00,-7.8,-4.5,-3.300000
57,2009-06-01 04:30:00,-7.2,-4.5,-2.700000
58,2009-03-02 02:30:00,-6.5,-1.9,-4.600000
59,2008-12-01 02:30:00,5.2,3.3,1.900000
60,2008-09-01 04:30:00,14.3,2.5,11.800000
61,2008-06-02 05:30:00,2.2,1.5,0.700000
62,2008-03-03 02:30:00,3.9,2.0,1.900000
