,Date,Actual,Consensus,Difference
0,2023-11-02 03:30:00,-0.1,1.2,-1.300000
1,2023-10-03 03:30:00,2.6,0.0,2.600000
2,2023-09-01 04:30:00,-1.9,-1.0,-0.900000
3,2023-08-01 04:30:00,-2.8,1.7,-4.500000
4,2023-06-02 04:30:00,-3.8,3.0,-6.800000
5,2023-05-05 04:30:00,6.5,-1.0,7.500000
6,2023-04-03 04:30:00,-1.2,-3.0,1.800000
7,2023-03-03 02:30:00,-4.9,-1.7,-3.200000
8,2023-02-03 02:30:00,-5.7,-2.8,-2.900000
9,2023-01-13 02:30:00,-2.0,-3.0,1.000000
10,2022-12-02 02:30:00,-2.9,-4.5,1.600000
11,2022-09-01 04:30:00,-7.0,-3.0,-4.000000
12,2022-08-02 04:30:00,-3.3,-3.0,-0.300000
13,2022-07-04 04:30:00,2.1,-2.0,4.100000
14,2022-06-03 04:30:00,-7.3,-1.0,-6.300000
15,2022-05-04 04:30:00,0.9,-2.0,2.900000
16,2022-03-01 02:30:00,1.0,2.0,-1.000000
17,2021-12-02 02:30:00,-4.1,1.0,-5.100000
18,2021-11-01 03:30:00,-2.7,-2.0,-0.700000
19,2021-10-01 03:30:00,-6.6,-2.0,-4.600000
20,2021-09-02 04:30:00,-0.4,-2.0,1.600000
21,2020-02-11 02:30:00,3.5,0.7,2.800000
22,2020-01-16 02:30:00,1.8,0.4,1.400000
23,2019-12-17 02:30:00,0.6,1.1,-0.500000
24,2019-10-10 03:30:00,1.8,3.6,-1.800000
25,2019-08-07 04:30:00,-0.9,0.6,-1.500000
26,2019-07-11 04:30:00,0.0,-0.6,0.600000
27,2019-06-07 04:30:00,-1.2,-0.2,-1.000000
28,2019-05-13 04:30:00,-2.5,2.3,-4.800000
29,2019-04-09 04:30:00,2.0,-2.0,4.000000
30,2019-03-12 03:30:00,-2.6,-2.0,-0.600000
31,2019-02-12 02:30:00,-6.1,-2.0,-4.100000
32,2019-01-17 02:30:00,-0.9,-1.5,0.600000
33,2018-12-10 02:30:00,2.2,-0.5,2.700000
34,2018-11-09 02:30:00,-1.0,-0.9,-0.100000
35,2018-10-12 03:30:00,-2.1,-0.9,-1.200000
36,2018-09-07 04:30:00,0.4,-0.1,0.500000
37,2018-08-08 04:30:00,-1.1,0.1,-1.200000
38,2018-07-11 04:30:00,1.1,-1.9,3.000000
39,2018-06-12 04:30:00,-1.4,-1.7,0.300000
40,2018-05-11 04:30:00,-2.2,-2.0,-0.200000
41,2018-04-12 04:30:00,-0.2,-0.3,0.100000
42,2018-03-13 03:30:00,-1.1,-0.1,-1.000000
43,2018-02-09 02:30:00,-2.3,-0.9,-1.400000
44,2018-01-17 02:30:00,2.1,0.1,2.000000
45,2017-12-08 02:30:00,-0.6,-1.8,1.200000
46,2017-11-09 02:30:00,-2.3,3.0,-5.300000
47,2017-10-12 03:30:00,1.0,0.5,0.500000
48,2017-09-08 04:30:00,2.9,1.0,1.900000
49,2017-08-09 04:30:00,0.5,1.5,-1.000000
50,2017-07-11 04:30:00,1.0,1.5,-0.500000
51,2017-06-09 04:30:00,-1.9,-1.0,-0.900000
52,2017-05-15 04:30:00,-0.5,0.1,-0.600000
53,2017-04-10 04:30:00,-0.5,0.1,-0.600000
54,2017-03-10 02:30:00,0.5,-1.0,1.500000
55,2017-02-10 02:30:00,0.4,1.0,-0.600000
56,2017-01-17 02:30:00,0.9,0.9,0.000000
57,2016-12-09 02:30:00,-0.8,-1.0,0.200000
58,2016-11-10 02:30:00,1.6,-2.0,3.600000
59,2016-10-11 03:30:00,-3.0,-2.5,-0.500000
60,2016-09-09 04:30:00,-4.2,-1.5,-2.700000
61,2016-08-10 04:30:00,1.2,2.4,-1.200000
62,2016-07-11 04:30:00,-1.0,-2.0,1.000000
63,2016-06-08 04:30:00,1.7,2.5,-0.800000
64,2016-05-11 04:30:00,-0.9,-1.5,0.600000
65,2016-04-11 04:30:00,1.5,2.0,-0.500000
66,2016-03-09 02:30:00,-3.9,-2.3,-1.600000
67,2016-02-12 02:30:00,2.6,3.0,-0.400000
68,2016-01-15 02:30:00,1.8,-0.5,2.300000
69,2015-12-09 02:30:00,-0.5,-1.0,0.500000
70,2015-11-10 02:30:00,2.0,0.1,1.900000
71,2015-10-09 03:30:00,2.9,5.0,-2.100000
72,2015-09-09 04:30:00,0.3,0.8,-0.500000
73,2015-08-07 04:30:00,4.4,5.0,-0.600000
74,2015-07-10 04:30:00,-6.1,-3.5,-2.600000
