,Date,Actual,Consensus,Difference
0,2023-11-07 05:30:00,4.35,4.35,0.000000
1,2023-10-03 06:30:00,4.1,4.1,0.000000
2,2023-09-05 07:30:00,4.1,4.1,0.000000
3,2023-08-01 07:30:00,4.1,4.35,-0.250000
4,2023-07-04 07:30:00,4.1,4.35,-0.250000
5,2023-06-06 07:30:00,4.1,3.85,0.250000
6,2023-05-02 07:30:00,3.85,3.6,0.250000
7,2023-04-04 07:30:00,3.6,3.6,0.000000
8,2023-03-07 05:30:00,3.6,3.6,0.000000
9,2023-02-07 05:30:00,3.35,3.35,0.000000
10,2022-12-06 05:30:00,3.1,3.1,0.000000
11,2022-11-01 06:30:00,2.85,2.85,0.000000
12,2022-10-04 06:30:00,2.6,2.85,-0.250000
13,2022-09-06 07:30:00,2.35,2.35,0.000000
14,2022-08-02 07:30:00,1.85,1.85,0.000000
15,2022-07-05 07:30:00,1.35,1.35,0.000000
16,2022-06-07 07:30:00,0.85,0.6,0.250000
17,2022-05-03 07:30:00,0.35,0.25,0.100000
18,2022-04-05 07:30:00,0.1,0.1,0.000000
19,2022-03-01 05:30:00,0.1,0.1,0.000000
20,2022-02-01 05:30:00,0.1,0.1,0.000000
21,2021-12-07 05:30:00,0.1,0.1,0.000000
22,2021-11-02 06:30:00,0.1,0.1,0.000000
23,2021-10-05 06:30:00,0.1,0.1,0.000000
24,2021-09-07 07:30:00,0.1,0.1,0.000000
25,2021-08-03 07:30:00,0.1,0.1,0.000000
26,2021-07-06 07:30:00,0.1,0.1,0.000000
27,2021-06-01 07:30:00,0.1,0.1,0.000000
28,2021-05-04 07:30:00,0.1,0.1,0.000000
29,2021-04-06 07:30:00,0.1,0.1,0.000000
30,2021-03-02 05:30:00,0.1,0.1,0.000000
31,2021-02-02 05:30:00,0.1,0.1,0.000000
32,2020-12-01 05:30:00,0.1,0.1,0.000000
33,2020-11-03 05:30:00,0.1,0.1,0.000000
34,2020-10-06 06:30:00,0.25,0.25,0.000000
35,2020-09-01 07:30:00,0.25,0.25,0.000000
36,2020-08-04 07:30:00,0.25,0.25,0.000000
37,2020-07-07 07:30:00,0.25,0.25,0.000000
38,2020-06-02 07:30:00,0.25,0.25,0.000000
39,2020-05-05 07:30:00,0.25,0.25,0.000000
40,2020-04-07 07:30:00,0.25,0.25,0.000000
41,2020-03-03 05:30:00,0.5,0.75,-0.250000
42,2020-02-04 05:30:00,0.75,0.75,0.000000
43,2019-12-03 05:30:00,0.75,0.75,0.000000
44,2019-11-05 05:30:00,0.75,0.75,0.000000
45,2019-10-01 07:30:00,0.75,0.75,0.000000
46,2019-09-03 07:30:00,1.0,1.0,0.000000
47,2019-08-06 07:30:00,1.0,1.0,0.000000
48,2019-07-02 07:30:00,1.0,1.0,0.000000
49,2019-06-04 07:30:00,1.25,1.25,0.000000
50,2019-05-07 07:30:00,1.5,1.5,0.000000
51,2019-04-02 06:30:00,1.5,1.5,0.000000
52,2019-03-05 05:30:00,1.5,1.5,0.000000
53,2019-02-05 05:30:00,1.5,1.5,0.000000
54,2018-12-04 05:30:00,1.5,1.5,0.000000
55,2018-11-06 05:30:00,1.5,1.5,0.000000
56,2018-10-02 07:30:00,1.5,1.5,0.000000
57,2018-09-04 07:30:00,1.5,1.5,0.000000
58,2018-08-07 07:30:00,1.5,1.5,0.000000
59,2018-07-03 07:30:00,1.5,1.5,0.000000
60,2018-06-05 07:30:00,1.5,1.5,0.000000
61,2018-05-01 07:30:00,1.5,1.5,0.000000
62,2018-04-03 07:30:00,1.5,1.5,0.000000
63,2018-03-06 05:30:00,1.5,1.5,0.000000
64,2018-02-06 05:30:00,1.5,1.5,0.000000
65,2017-12-05 05:30:00,1.5,1.5,0.000000
66,2017-11-07 05:30:00,1.5,1.5,0.000000
67,2017-10-03 06:30:00,1.5,1.5,0.000000
68,2017-09-05 07:30:00,1.5,1.5,0.000000
69,2017-08-01 07:30:00,1.5,1.5,0.000000
70,2017-07-04 07:30:00,1.5,1.5,0.000000
71,2017-06-06 07:30:00,1.5,1.5,0.000000
72,2017-05-02 07:30:00,1.5,1.5,0.000000
73,2017-04-04 07:30:00,1.5,1.5,0.000000
74,2017-03-07 05:30:00,1.5,1.5,0.000000
75,2017-02-07 05:30:00,1.5,1.5,0.000000
76,2016-12-06 05:30:00,1.5,1.5,0.000000
77,2016-11-01 06:30:00,1.5,1.5,0.000000
78,2016-10-04 06:30:00,1.5,1.5,0.000000
79,2016-09-06 07:30:00,1.5,1.5,0.000000
80,2016-08-02 07:30:00,1.5,1.5,0.000000
81,2016-07-05 07:30:00,1.75,1.75,0.000000
82,2016-06-07 07:30:00,1.75,1.75,0.000000
83,2016-05-03 07:30:00,1.75,2.0,-0.250000
84,2016-04-05 07:30:00,2.0,2.0,0.000000
85,2016-03-01 05:30:00,2.0,2.0,0.000000
86,2016-02-02 05:30:00,2.0,2.0,0.000000
87,2015-12-01 05:30:00,2.0,2.0,0.000000
88,2015-11-03 05:30:00,2.0,2.0,0.000000
89,2015-10-06 06:30:00,2.0,2.0,0.000000
90,2015-09-01 07:30:00,2.0,2.0,0.000000
91,2015-08-04 07:30:00,2.0,2.0,0.000000
92,2015-07-07 07:30:00,2.0,2.0,0.000000
93,2015-06-02 07:30:00,2.0,2.0,0.000000
94,2015-05-05 07:30:00,2.0,2.0,0.000000
95,2015-04-07 07:30:00,2.25,2.25,0.000000
96,2015-03-03 05:30:00,2.25,2.0,0.250000
97,2015-02-03 05:30:00,2.25,2.5,-0.250000
98,2014-12-02 05:30:00,2.5,2.5,0.000000
99,2014-11-04 05:30:00,2.5,2.5,0.000000
100,2014-10-07 06:30:00,2.5,2.5,0.000000
101,2014-09-02 07:30:00,2.5,2.5,0.000000
102,2014-08-05 07:30:00,2.5,2.5,0.000000
103,2014-07-01 07:30:00,2.5,2.5,0.000000
104,2014-06-03 07:30:00,2.5,2.5,0.000000
105,2014-05-06 07:30:00,2.5,2.5,0.000000
106,2014-04-01 06:30:00,2.5,2.5,0.000000
107,2014-03-04 05:30:00,2.5,2.5,0.000000
108,2014-02-04 05:30:00,2.5,2.5,0.000000
109,2013-12-03 05:30:00,2.5,2.5,0.000000
110,2013-11-05 05:30:00,2.5,2.5,0.000000
111,2013-10-01 07:30:00,2.5,2.5,0.000000
112,2013-09-03 07:30:00,2.5,2.5,0.000000
113,2013-08-06 07:30:00,2.5,2.5,0.000000
114,2013-07-02 07:30:00,2.75,2.75,0.000000
115,2013-06-04 07:30:00,2.75,2.75,0.000000
116,2013-05-07 07:30:00,2.75,3.0,-0.250000
117,2013-04-02 06:30:00,3.0,3.0,0.000000
118,2013-03-05 05:30:00,3.0,3.0,0.000000
119,2013-02-05 05:30:00,3.0,3.0,0.000000
120,2012-12-04 05:30:00,3.0,3.0,0.000000
