,Date,Actual,Consensus,Difference
0,2023-10-27 03:30:00,1.8,0.7,1.100000
1,2023-07-28 04:30:00,0.5,0.9,-0.400000
2,2023-04-28 04:30:00,1.0,0.8,0.200000
3,2023-01-27 02:30:00,0.7,1.7,-1.000000
4,2022-07-29 04:30:00,1.4,1.4,0.000000
5,2022-04-29 04:30:00,1.6,1.5,0.100000
6,2022-01-28 02:30:00,1.3,0.9,0.400000
7,2020-01-31 02:30:00,0.3,0.3,0.000000
8,2019-11-01 03:30:00,0.4,0.3,0.100000
9,2019-08-02 04:30:00,0.4,0.2,0.200000
10,2019-04-26 04:30:00,0.4,0.4,0.000000
11,2019-02-01 02:30:00,0.5,0.6,-0.100000
12,2018-11-02 03:30:00,0.8,0.2,0.600000
13,2018-07-27 04:30:00,0.3,0.4,-0.100000
14,2018-04-27 04:30:00,0.5,0.4,0.100000
15,2018-02-02 02:30:00,0.6,0.2,0.400000
16,2017-10-27 03:30:00,0.2,0.4,-0.200000
17,2017-07-28 04:30:00,0.5,0.6,-0.100000
18,2017-04-28 04:30:00,0.5,0.3,0.200000
19,2017-01-27 02:30:00,0.5,0.2,0.300000
20,2016-10-28 03:30:00,0.3,0.6,-0.300000
21,2016-07-29 04:30:00,0.1,0.2,-0.100000
22,2016-04-29 04:30:00,-0.2,0.2,-0.400000
23,2016-01-29 02:30:00,0.3,0.6,-0.300000
24,2015-07-31 04:30:00,0.3,0.6,-0.300000
25,2015-05-01 04:30:00,0.5,0.2,0.300000
26,2015-01-30 02:30:00,0.1,0.3,-0.200000
27,2014-10-31 03:30:00,0.2,0.2,0.000000
28,2014-08-01 04:30:00,-0.1,0.7,-0.800000
29,2014-05-02 04:30:00,0.9,0.5,0.400000
30,2014-01-31 02:30:00,0.2,0.9,-0.700000
31,2013-11-01 03:30:00,1.3,0.7,0.600000
32,2013-08-02 04:30:00,0.1,0.6,-0.500000
33,2013-05-03 04:30:00,0.3,0.2,0.100000
34,2013-02-01 02:30:00,0.2,0.4,-0.200000
35,2012-11-02 03:30:00,0.6,1.2,-0.600000
36,2012-07-23 04:30:00,0.5,0.3,0.200000
37,2012-04-23 04:30:00,-0.3,0.4,-0.700000
38,2012-01-23 02:30:00,0.3,0.4,-0.100000
39,2011-10-24 03:30:00,0.6,0.8,-0.200000
40,2011-07-25 04:30:00,0.8,0.5,0.300000
41,2011-04-21 04:30:00,1.2,1.0,0.200000
42,2011-01-24 02:30:00,0.1,0.5,-0.400000
43,2010-10-25 03:30:00,1.3,0.6,0.700000
44,2010-07-26 04:30:00,0.3,1.5,-1.200000
45,2010-04-27 04:30:00,1.0,0.7,0.300000
46,2010-01-25 02:30:00,-0.4,0.1,-0.500000
47,2009-10-26 03:30:00,0.1,0.3,-0.200000
48,2009-07-20 04:30:00,-0.8,-0.2,-0.600000
49,2009-04-20 04:30:00,-0.4,0.6,-1.000000
50,2009-01-27 02:30:00,1.3,0.4,0.900000
51,2008-10-20 03:30:00,2.0,0.9,1.100000
52,2008-07-21 04:30:00,1.0,1.6,-0.600000
53,2008-04-21 04:30:00,1.9,1.0,0.900000
