,Date,Actual,Consensus,Difference
0,2023-11-02 03:30:00,6.786,9.4,-2.614000
1,2023-10-05 03:30:00,9.64,8.725,0.915000
2,2023-09-07 04:30:00,8.039,10.0,-1.961000
3,2023-08-03 04:30:00,11.321,11.0,0.321000
4,2023-07-06 04:30:00,11.791,10.5,1.291000
5,2023-06-08 04:30:00,11.158,14.0,-2.842000
6,2023-05-04 04:30:00,15.269,12.65,2.619000
7,2023-04-06 04:30:00,13.87,11.1,2.770000
8,2023-03-07 02:30:00,11.688,12.5,-0.812000
9,2023-02-07 02:30:00,12.237,12.5,-0.263000
10,2023-01-12 02:30:00,13.201,10.5,2.701000
11,2022-12-08 02:30:00,12.217,12.1,0.117000
12,2022-11-03 03:30:00,12.444,8.85,3.594000
13,2022-10-06 03:30:00,8.324,10.1,-1.776000
14,2022-09-08 04:30:00,8.733,14.5,-5.767000
15,2022-08-04 04:30:00,17.67,14.0,3.670000
16,2022-07-07 04:30:00,15.965,10.725,5.240000
17,2022-06-02 04:30:00,10.495,9.3,1.195000
18,2022-05-05 04:30:00,9.314,8.5,0.814000
19,2022-04-07 04:30:00,7.457,12.0,-4.543000
20,2022-03-03 02:30:00,12.891,9.0,3.891000
21,2022-02-03 02:30:00,8.356,10.6,-2.244000
22,2022-01-11 02:30:00,9.423,10.6,-1.177000
23,2021-12-02 02:30:00,11.22,11.0,0.220000
24,2021-11-04 03:30:00,12.243,12.2,0.043000
25,2021-10-05 03:30:00,15.077,10.3,4.777000
26,2021-09-02 04:30:00,12.117,10.2,1.917000
27,2021-08-05 04:30:00,10.496,10.45,0.046000
28,2021-07-01 04:30:00,9.681,10.0,-0.319000
29,2021-06-03 04:30:00,8.028,7.9,0.128000
30,2021-05-04 04:30:00,5.574,8.0,-2.426000
31,2021-04-01 03:30:00,7.529,9.7,-2.171000
32,2021-03-04 02:30:00,10.142,6.5,3.642000
33,2021-01-07 02:30:00,5.022,6.0,-0.978000
34,2020-12-03 02:30:00,7.456,5.8,1.656000
35,2020-10-06 03:30:00,2.643,5.154,-2.511000
36,2020-09-03 04:30:00,4.607,5.4,-0.793000
37,2020-08-04 04:00:00,8.202,8.8,-0.598000
38,2020-06-04 04:30:00,8.8,7.5,1.300000
39,2020-05-07 04:30:00,10.602,6.8,3.802000
40,2020-03-05 02:30:00,5.21,4.8,0.410000
41,2020-02-06 02:30:00,5.223,5.95,-0.727000
42,2020-01-09 02:30:00,5.8,4.15,1.650000
43,2019-12-05 02:30:00,4.502,6.1,-1.598000
44,2019-11-07 02:30:00,7.18,5.0,2.180000
45,2019-10-03 04:30:00,5.926,6.0,-0.074000
46,2019-09-05 04:30:00,7.268,7.2,0.068000
47,2019-08-06 04:30:00,8.036,6.05,1.986000
48,2019-07-03 04:30:00,5.745,5.25,0.495000
49,2019-06-06 04:30:00,4.871,5.05,-0.179000
50,2019-05-07 04:30:00,4.949,4.49,0.459000
51,2019-04-03 03:30:00,4.801,3.71,1.091000
52,2019-03-07 02:30:00,4.549,2.85,1.699000
53,2019-02-05 02:30:00,3.681,2.25,1.431000
54,2019-01-08 02:30:00,1.93,2.23,-0.300000
55,2018-12-06 02:30:00,2.316,3.1,-0.784000
56,2018-11-01 03:30:00,3.017,1.7,1.317000
57,2018-10-04 04:30:00,1.604,1.43,0.174000
58,2018-09-06 04:30:00,1.551,1.46,0.091000
59,2018-08-02 04:30:00,1.873,0.91,0.963000
60,2018-07-04 04:30:00,0.827,1.21,-0.383000
61,2018-06-07 04:30:00,0.977,0.98,-0.003000
62,2018-05-03 04:30:00,1.527,0.65,0.877000
63,2018-04-05 04:30:00,0.825,0.68,0.145000
64,2018-03-08 02:30:00,1.055,0.21,0.845000
65,2018-02-06 02:30:00,-1.358,0.25,-1.608000
66,2018-01-05 02:30:00,-0.628,0.55,-1.178000
67,2017-12-07 02:30:00,0.105,1.41,-1.305000
68,2017-11-02 03:30:00,1.745,1.2,0.545000
69,2017-10-05 03:30:00,0.989,0.875,0.114000
70,2017-09-07 04:30:00,0.46,0.875,-0.415000
71,2017-08-03 04:30:00,0.856,1.8,-0.944000
72,2017-07-06 04:30:00,2.471,1.1,1.371000
73,2017-06-08 04:30:00,0.555,1.95,-1.395000
74,2017-05-04 04:30:00,3.107,3.4,-0.293000
75,2017-04-04 04:30:00,3.574,1.8,1.774000
76,2017-03-02 02:30:00,1.302,3.8,-2.498000
77,2017-02-02 02:30:00,3.511,2.2,1.311000
78,2017-01-06 02:30:00,1.243,-0.5,1.743000
79,2016-12-08 02:30:00,-1.541,-0.8,-0.741000
80,2016-11-03 03:30:00,-1.227,-1.7,0.473000
81,2016-10-06 03:30:00,-2.01,-2.3,0.290000
82,2016-09-08 04:30:00,-2.41,-2.75,0.340000
83,2016-08-02 04:30:00,-3.195,-2.0,-1.195000
84,2016-07-05 04:30:00,-2.218,-1.5,-0.718000
85,2016-06-02 04:30:00,-1.579,-2.0,0.421000
86,2016-05-05 04:30:00,-2.163,-2.9,0.737000
87,2016-04-05 04:30:00,-3.41,-2.6,-0.810000
88,2016-03-03 02:30:00,-2.937,-3.1,0.163000
89,2016-02-03 02:30:00,-3.535,-2.5,-1.035000
90,2016-01-07 02:30:00,-2.906,-3.1,0.194000
91,2015-12-03 02:30:00,-3.305,-2.665,-0.640000
92,2015-11-04 02:30:00,-2.317,-3.0,0.683000
93,2015-10-06 03:30:00,-3.095,-2.55,-0.545000
94,2015-09-03 04:30:00,-2.46,-3.1,0.640000
95,2015-08-04 04:30:00,-2.933,-3.1,0.167000
96,2015-07-02 04:30:00,-2.751,-2.2,-0.551000
97,2015-06-04 04:30:00,-3.888,-2.25,-1.638000
98,2015-05-05 04:30:00,-1.322,-1.0,-0.322000
99,2015-04-02 03:30:00,-1.256,-1.3,0.044000
100,2015-03-05 02:30:00,-0.98,-0.95,-0.030000
101,2015-02-03 02:30:00,-0.436,-0.775,0.339000
102,2015-01-06 02:30:00,-0.925,-1.59,0.665000
103,2014-12-04 02:30:00,-1.323,-1.81,0.487000
104,2014-11-04 02:30:00,-2.261,-1.95,-0.311000
105,2014-10-02 04:30:00,-0.787,-0.7,-0.087000
106,2014-09-04 04:30:00,-1.359,-1.51,0.151000
107,2014-08-05 04:30:00,-1.683,-1.9,0.217000
108,2014-07-02 04:30:00,-1.911,-0.12,-1.791000
109,2014-06-05 04:30:00,-0.122,0.3,-0.422000
110,2014-05-06 04:30:00,0.731,1.2,-0.469000
111,2014-04-03 03:30:00,1.2,0.85,0.350000
112,2014-03-06 02:30:00,1.433,0.27,1.163000
113,2014-02-06 02:30:00,0.468,-0.3,0.768000
114,2014-01-07 02:30:00,-0.118,-0.3,0.182000
115,2013-12-05 02:30:00,-0.529,-0.375,-0.154000
116,2013-11-06 02:30:00,-0.284,-0.45,0.166000
117,2013-10-02 04:30:00,-0.815,-0.45,-0.365000
118,2013-09-05 04:30:00,-0.765,0.05,-0.815000
119,2013-08-06 04:30:00,0.602,0.8,-0.198000
120,2013-07-03 04:30:00,0.67,-0.05,0.720000
121,2013-06-06 04:30:00,0.028,0.215,-0.187000
122,2013-05-07 04:30:00,0.31,0.2,0.110000
123,2013-04-03 03:30:00,-0.18,-1.0,0.820000
124,2013-03-07 02:30:00,-1.06,-0.5,-0.560000
125,2013-02-05 02:30:00,-0.43,-0.8,0.370000
126,2013-01-08 02:30:00,-2.64,-2.3,-0.340000
127,2012-12-07 02:30:00,-2.09,-2.05,-0.040000
128,2012-11-05 02:30:00,-1.46,-1.65,0.190000
129,2012-10-03 04:30:00,-2.03,-0.7,-1.330000
130,2012-09-07 04:30:00,-0.56,-0.3,-0.260000
131,2012-08-02 04:30:00,0.01,-0.35,0.360000
132,2012-07-05 04:30:00,-0.29,-0.5,0.210000
133,2012-06-08 04:30:00,-0.2,-0.9,0.700000
134,2012-05-08 04:30:00,-1.59,-1.4,-0.190000
