,Date,Actual,Consensus,Difference
0,2023-11-08 15:30:00,-6.5,-1.6,-4.900000
1,2023-10-11 15:30:00,3.4,0.5,2.900000
2,2023-09-07 15:30:00,-1.5,-5.0,3.500000
3,2023-08-09 15:30:00,6.1,-3.5,9.600000
4,2023-07-10 15:30:00,10.5,9.6,0.900000
5,2023-06-06 15:30:00,-18.8,-5.0,-13.800000
6,2023-05-10 15:30:00,11.3,-2.9,14.200000
7,2023-04-04 15:30:00,8.6,2.0,6.600000
8,2023-03-03 15:30:00,-4.0,1.5,-5.500000
9,2023-02-02 15:30:00,-7.3,-5.0,-2.300000
10,2023-01-09 15:30:00,14.1,-0.1,14.200000
11,2022-12-05 15:30:00,-1.4,3.9,-5.300000
12,2022-11-03 15:30:00,-17.5,-6.1,-11.400000
13,2022-10-05 15:30:00,11.9,-0.5,12.400000
14,2022-09-01 15:30:00,-6.6,-0.5,-6.100000
15,2022-08-04 15:30:00,-1.5,-1.5,0.000000
16,2022-07-05 15:30:00,2.3,2.4,-0.100000
17,2022-06-02 15:30:00,-0.6,0.7,-1.300000
18,2022-05-09 15:30:00,-9.3,-8.0,-1.300000
19,2022-04-04 15:30:00,21.0,2.0,19.000000
20,2022-03-04 15:30:00,-8.8,-1.5,-7.300000
21,2022-02-02 15:30:00,-1.9,-1.5,-0.400000
22,2022-01-05 15:30:00,6.8,2.3,4.500000
23,2021-12-01 15:30:00,1.3,-1.0,2.300000
24,2021-11-02 15:30:00,4.3,3.1,1.200000
25,2021-09-02 15:30:00,-3.9,0.3,-4.200000
26,2021-08-04 15:30:00,6.9,5.5,1.400000
27,2021-07-02 15:30:00,-14.8,-0.3,-14.500000
28,2021-06-02 15:30:00,-0.5,-4.8,4.300000
29,2021-05-04 15:30:00,5.7,2.0,3.700000
30,2021-04-01 15:30:00,2.1,-1.4,3.500000
31,2021-03-03 15:30:00,8.2,3.5,4.700000
32,2021-01-28 15:30:00,-4.1,-5.0,0.900000
33,2020-12-24 15:30:00,12.9,3.0,9.900000
34,2020-11-30 15:30:00,-14.6,-5.0,-9.600000
35,2020-10-01 15:30:00,1.7,5.5,-3.800000
36,2020-08-31 15:30:00,-3.0,5.5,-8.500000
