,Date,Actual,Consensus,Difference
0,2023-10-17 15:30:00,4.4,4.7,-0.300000
1,2023-09-19 15:30:00,4.8,4.8,0.000000
2,2023-08-15 15:30:00,4.8,4.7,0.100000
3,2023-07-18 15:30:00,5.1,5.0,0.100000
4,2023-06-27 15:30:00,5.2,5.2,0.000000
5,2023-05-16 15:30:00,5.7,5.5,0.200000
6,2023-04-18 15:30:00,5.9,6.2,-0.300000
7,2023-03-21 15:30:00,6.4,6.5,-0.100000
8,2023-01-17 15:30:00,6.6,6.6,0.000000
9,2022-11-16 15:30:00,6.2,5.9,0.300000
10,2022-10-19 15:30:00,6.0,5.6,0.400000
11,2022-09-20 15:30:00,5.7,5.5,0.200000
12,2022-07-20 15:30:00,4.6,4.2,0.400000
13,2022-03-16 15:30:00,2.6,2.4,0.200000
14,2021-09-15 15:30:00,1.8,1.7,0.100000
15,2020-09-16 15:30:00,1.5,1.4,0.100000
16,2020-08-19 15:30:00,1.3,1.6,-0.300000
17,2019-10-16 15:30:00,1.9,1.8,0.100000
18,2019-09-18 15:30:00,1.8,1.9,-0.100000
19,2019-08-21 15:30:00,1.9,1.8,0.100000
20,2019-07-17 15:30:00,1.8,1.8,0.000000
21,2019-06-19 15:30:00,1.8,1.9,-0.100000
22,2019-05-15 15:30:00,1.8,1.8,0.000000
23,2019-04-17 15:30:00,1.8,1.8,0.000000
24,2019-03-22 15:30:00,1.8,1.8,0.000000
25,2019-02-27 15:30:00,1.9,1.9,0.000000
26,2019-01-18 15:30:00,1.9,1.9,0.000000
27,2018-12-19 15:30:00,1.9,1.9,0.000000
28,2018-11-23 15:30:00,1.9,1.9,0.000000
29,2018-05-18 15:30:00,1.9,1.9,0.000000
30,2017-12-21 15:30:00,1.5,1.7,-0.200000
