,Date,Actual,Consensus,Difference
0,2023-08-15 15:30:00,3.2,2.8,0.400000
1,2023-07-18 15:30:00,3.2,3.5,-0.300000
2,2023-06-27 15:30:00,3.7,3.9,-0.200000
3,2023-05-16 15:30:00,4.1,4.4,-0.300000
4,2023-04-18 15:30:00,4.3,4.4,-0.100000
5,2023-03-21 15:30:00,4.7,4.8,-0.100000
6,2023-02-21 15:30:00,5.0,5.5,-0.500000
7,2023-01-17 15:30:00,5.4,6.1,-0.700000
8,2022-07-20 15:30:00,6.2,5.9,0.300000
9,2022-06-22 15:30:00,6.1,5.9,0.200000
10,2022-05-18 15:30:00,5.7,5.4,0.300000
11,2022-04-20 15:30:00,5.5,4.2,1.300000
12,2022-03-16 15:30:00,4.8,4.5,0.300000
13,2022-02-16 15:30:00,4.3,3.5,0.800000
14,2022-01-19 15:30:00,4.0,3.5,0.500000
15,2021-12-15 15:30:00,3.6,3.6,0.000000
16,2021-07-28 15:30:00,2.7,2.4,0.300000
17,2021-06-16 15:30:00,2.8,2.4,0.400000
18,2021-03-17 15:30:00,1.2,1.4,-0.200000
19,2021-02-17 15:30:00,1.6,1.4,0.200000
20,2020-09-16 15:30:00,0.8,0.9,-0.100000
21,2020-07-22 15:30:00,1.1,0.9,0.200000
22,2020-03-18 15:30:00,1.8,1.7,0.100000
23,2020-02-19 15:30:00,1.8,1.8,0.000000
24,2020-01-22 15:30:00,1.7,1.9,-0.200000
25,2019-11-20 15:30:00,1.9,1.9,0.000000
26,2019-10-16 15:30:00,1.9,1.9,0.000000
27,2019-09-18 15:30:00,1.9,2.2,-0.300000
28,2019-07-17 15:30:00,2.0,2.6,-0.600000
29,2019-06-19 15:30:00,2.1,1.2,0.900000
30,2019-05-15 15:30:00,1.5,1.8,-0.300000
31,2018-10-19 15:30:00,1.5,1.8,-0.300000
32,2018-08-17 15:30:00,1.6,1.3,0.300000
33,2018-07-20 15:30:00,1.3,1.4,-0.100000
34,2018-06-22 15:30:00,1.3,1.4,-0.100000
35,2018-05-18 15:30:00,1.5,1.4,0.100000
36,2018-04-20 15:30:00,1.4,1.5,-0.100000
37,2018-03-23 15:30:00,1.5,1.4,0.100000
38,2017-05-19 15:30:00,1.1,1.4,-0.300000
39,2017-01-20 15:30:00,1.6,1.7,-0.100000
40,2016-12-22 15:30:00,1.5,1.8,-0.300000
41,2016-11-18 15:30:00,1.7,1.8,-0.100000
42,2016-10-21 15:30:00,1.8,1.8,0.000000
43,2016-09-23 15:30:00,1.8,2.0,-0.200000
44,2016-08-19 15:30:00,2.1,2.1,0.000000
45,2016-07-22 15:30:00,2.1,2.0,0.100000
46,2016-06-17 15:30:00,2.1,2.1,0.000000
47,2016-05-20 15:30:00,2.2,2.0,0.200000
48,2016-04-22 15:30:00,2.1,1.7,0.400000
49,2016-03-18 15:30:00,1.9,2.0,-0.100000
50,2016-02-19 15:30:00,2.0,1.9,0.100000
51,2016-01-22 15:30:00,1.9,2.1,-0.200000
52,2015-12-18 15:30:00,2.0,2.3,-0.300000
53,2015-11-20 15:30:00,2.1,2.0,0.100000
54,2015-10-23 15:30:00,2.1,2.1,0.000000
55,2015-09-18 15:30:00,2.1,2.1,0.000000
56,2015-08-21 15:30:00,2.4,2.4,0.000000
57,2015-07-17 15:30:00,2.3,2.2,0.100000
58,2015-06-19 15:30:00,2.2,2.1,0.100000
59,2015-05-22 15:30:00,2.3,2.4,-0.100000
60,2015-04-17 15:30:00,2.4,2.0,0.400000
61,2015-03-20 15:30:00,2.1,2.1,0.000000
62,2015-02-26 15:30:00,2.2,2.1,0.100000
63,2015-01-23 15:30:00,2.2,2.2,0.000000
64,2014-12-19 15:30:00,2.1,2.4,-0.300000
65,2014-11-21 15:30:00,2.3,2.2,0.100000
66,2014-10-17 15:30:00,2.1,2.0,0.100000
67,2014-09-19 15:30:00,2.1,1.8,0.300000
68,2014-08-22 15:30:00,1.7,1.8,-0.100000
69,2014-07-18 15:30:00,1.8,1.7,0.100000
70,2014-06-20 15:30:00,1.7,1.5,0.200000
71,2014-05-23 15:30:00,1.4,1.4,0.000000
72,2014-04-17 15:30:00,1.3,1.3,0.000000
73,2014-03-21 15:30:00,1.2,1.1,0.100000
74,2014-02-21 15:30:00,1.4,1.3,0.100000
75,2014-01-24 15:30:00,1.3,1.0,0.300000
76,2013-12-20 15:30:00,1.1,1.0,0.100000
77,2013-11-22 15:30:00,1.2,1.0,0.200000
78,2013-10-18 15:30:00,1.3,1.0,0.300000
79,2013-09-20 15:30:00,1.3,1.0,0.300000
80,2013-08-23 15:30:00,1.4,2.0,-0.600000
81,2013-07-19 15:30:00,1.3,1.0,0.300000
82,2013-06-21 15:30:00,1.1,1.0,0.100000
