,Date,Actual,Consensus,Difference
0,2023-08-31 15:30:00,-6.6,-11.2,4.600000
1,2023-05-30 15:30:00,-6.2,-10.9,4.700000
2,2023-02-27 15:30:00,-10.6,-11.0,0.400000
3,2022-11-28 15:30:00,-11.1,6.6,-17.700000
4,2022-08-30 15:30:00,2.7,6.6,-3.900000
5,2022-05-30 15:30:00,5.0,3.2,1.800000
6,2022-02-28 15:30:00,-0.8,4.8,-5.600000
7,2021-11-29 15:30:00,1.4,4.6,-3.200000
8,2021-08-30 15:30:00,3.6,3.4,0.200000
9,2021-05-31 15:30:00,1.2,-8.3,9.500000
10,2021-03-01 15:30:00,-7.3,-8.3,1.000000
11,2020-11-30 15:30:00,-7.5,-9.1,1.600000
12,2020-08-27 15:30:00,-8.6,-12.2,3.600000
13,2020-05-28 15:30:00,-11.1,-10.0,-1.100000
14,2020-02-27 15:30:00,-8.8,-9.0,0.200000
15,2019-11-28 15:30:00,-9.9,-9.0,-0.900000
16,2019-08-29 15:30:00,-6.4,-9.8,3.400000
17,2019-05-30 15:30:00,-17.4,-18.1,0.700000
18,2019-02-28 15:30:00,-15.5,-13.5,-2.000000
19,2018-11-29 15:30:00,-10.3,-11.5,1.200000
20,2018-08-29 15:30:00,-15.9,-15.2,-0.700000
21,2018-05-30 15:30:00,-19.5,-18.2,-1.300000
22,2018-03-01 15:30:00,-16.4,-17.8,1.400000
23,2017-11-30 15:30:00,-19.4,-19.5,0.100000
24,2017-08-30 15:30:00,-16.3,-17.4,1.100000
25,2017-05-30 15:30:00,-14.1,-12.0,-2.100000
26,2017-03-01 15:30:00,-10.7,-9.8,-0.900000
27,2016-11-29 15:30:00,-18.3,-16.8,-1.500000
28,2016-08-30 15:30:00,-19.9,-20.5,0.600000
29,2016-05-30 15:30:00,-16.8,-16.8,0.000000
30,2016-02-29 15:30:00,-15.4,-15.6,0.200000
31,2015-11-30 15:30:00,-16.2,-15.2,-1.000000
32,2015-08-31 15:30:00,-17.4,-16.9,-0.500000
33,2015-05-28 15:30:00,-17.5,-18.5,1.000000
34,2015-03-02 15:30:00,-13.9,-7.4,-6.500000
35,2014-11-27 15:30:00,-8.4,-10.3,1.900000
36,2014-08-28 15:30:00,-11.9,-12.0,0.100000
37,2014-05-29 15:30:00,-12.4,-13.0,0.600000
38,2014-02-27 15:30:00,-16.0,-17.0,1.000000
39,2013-11-28 15:30:00,-15.5,-14.0,-1.500000
40,2013-08-29 15:30:00,-14.6,-15.0,0.400000
41,2013-05-30 15:30:00,-14.1,-16.0,1.900000
42,2013-02-28 15:30:00,-17.3,-17.0,-0.300000
43,2012-11-29 15:30:00,-18.9,-19.0,0.100000
44,2012-08-30 15:30:00,-16.0,-15.0,-1.000000
45,2012-05-31 15:30:00,-10.3,-11.0,0.700000
46,2012-03-01 15:30:00,-10.3,-9.6,-0.700000
47,2011-11-29 15:30:00,-12.1,-11.1,-1.000000
48,2011-08-30 15:30:00,-15.3,-13.8,-1.500000
49,2011-05-30 15:30:00,-8.9,-3.0,-5.900000
50,2011-02-28 15:30:00,-11.1,-9.4,-1.700000
51,2010-11-29 15:30:00,-17.5,-15.2,-2.300000
52,2010-08-30 15:30:00,-11.0,-10.2,-0.800000
53,2010-05-28 15:30:00,-7.8,-9.0,1.200000
54,2009-11-27 15:30:00,-13.1,-10.7,-2.400000
55,2009-08-28 15:30:00,-11.2,-11.9,0.700000
56,2009-05-29 15:30:00,-9.1,-10.0,0.900000
57,2009-02-27 15:30:00,-7.5,-6.0,-1.500000
58,2008-11-28 15:30:00,5.6,5.1,0.500000
59,2008-08-28 15:30:00,6.8,8.0,-1.200000
60,2008-05-29 16:30:00,5.6,2.8,2.800000
61,2008-02-29 15:30:00,-0.5,0.0,-0.500000
