,Date,Actual,Consensus,Difference
0,2023-11-03 15:30:00,17.5,22.5,-5.000000
1,2023-10-06 15:30:00,63.8,20.0,43.800000
2,2023-09-08 15:30:00,39.9,15.0,24.900000
3,2023-08-04 15:30:00,-6.4,21.1,-27.500000
4,2023-07-07 15:30:00,59.9,20.0,39.900000
5,2023-06-09 15:30:00,-17.3,23.2,-40.500000
6,2023-05-05 15:30:00,41.4,20.0,21.400000
7,2023-04-06 15:30:00,34.7,12.0,22.700000
8,2023-03-10 15:30:00,21.8,10.0,11.800000
9,2023-02-10 15:30:00,150.0,15.0,135.000000
10,2023-01-06 15:30:00,104.0,8.0,96.000000
11,2022-12-02 15:30:00,10.1,5.0,5.100000
12,2022-11-04 15:30:00,108.3,10.0,98.300000
13,2022-10-07 15:30:00,21.1,20.0,1.100000
14,2022-09-09 15:30:00,-39.7,15.0,-54.700000
15,2022-08-05 15:30:00,-30.6,20.0,-50.600000
16,2022-07-08 15:30:00,-43.2,23.5,-66.700000
17,2022-06-10 15:30:00,39.8,30.0,9.800000
18,2022-05-06 15:30:00,15.3,55.0,-39.700000
19,2022-04-08 15:30:00,72.5,80.0,-7.500000
20,2022-03-11 15:30:00,336.6,160.0,176.600000
21,2022-02-04 15:30:00,-200.1,-117.5,-82.600000
22,2022-01-07 15:30:00,54.7,27.5,27.200000
23,2021-12-03 15:30:00,153.7,35.0,118.700000
24,2021-11-05 15:30:00,31.2,50.0,-18.800000
25,2021-10-08 15:30:00,157.1,65.0,92.100000
26,2021-09-10 15:30:00,90.2,100.0,-9.800000
27,2021-08-06 15:30:00,94.0,177.5,-83.500000
28,2021-07-09 15:30:00,230.7,195.0,35.700000
29,2021-06-04 15:30:00,-68.0,-20.0,-48.000000
30,2021-05-07 15:30:00,-207.1,-175.0,-32.100000
31,2021-04-09 15:30:00,303.1,100.0,203.100000
32,2021-03-12 15:30:00,259.2,75.0,184.200000
33,2021-02-05 15:30:00,-212.8,-47.5,-165.300000
34,2021-01-08 15:30:00,-62.6,-27.5,-35.100000
35,2020-12-04 15:30:00,62.1,20.0,42.100000
36,2020-11-06 15:30:00,83.6,100.0,-16.400000
37,2020-10-09 15:30:00,378.2,156.6,221.600000
38,2020-09-04 15:30:00,245.8,275.0,-29.200000
39,2020-08-07 15:30:00,418.5,400.0,18.500000
40,2020-07-10 15:30:00,952.9,700.0,252.900000
41,2020-06-05 15:30:00,289.6,-500.0,789.600000
42,2020-05-08 15:30:00,-1993.8,-4000.0,2006.200000
43,2020-04-09 15:30:00,-1010.7,-350.0,-660.700000
44,2020-03-06 15:30:00,30.3,10.0,20.300000
45,2020-02-07 15:30:00,34.5,15.0,19.500000
46,2020-01-10 15:30:00,35.2,25.0,10.200000
47,2019-12-06 15:30:00,-71.2,10.0,-81.200000
48,2019-11-08 15:30:00,-1.8,15.9,-17.700000
49,2019-10-11 15:30:00,53.7,10.0,43.700000
50,2019-09-06 15:30:00,81.1,18.9,62.200000
51,2019-08-09 15:30:00,-24.2,12.5,-36.700000
52,2019-07-05 15:30:00,-2.2,10.0,-12.200000
53,2019-06-07 15:30:00,27.7,8.0,19.700000
54,2019-05-10 15:30:00,106.5,10.0,96.500000
55,2019-04-05 15:30:00,-7.2,-10.0,2.800000
56,2019-03-08 15:30:00,55.9,0.3,55.600000
57,2019-02-08 15:30:00,66.8,8.0,58.800000
58,2019-01-04 15:30:00,9.3,6.8,2.500000
59,2018-12-07 15:30:00,94.1,10.3,83.800000
60,2018-11-02 15:30:00,11.2,12.7,-1.500000
61,2018-10-05 15:30:00,63.3,25.0,38.300000
62,2018-09-07 15:30:00,-51.6,5.1,-56.700000
63,2018-08-10 15:30:00,54.1,17.5,36.600000
64,2018-07-06 15:30:00,31.8,24.0,7.800000
65,2018-06-08 15:30:00,-7.5,17.5,-25.000000
66,2018-05-11 15:30:00,-1.1,17.4,-18.500000
67,2018-04-06 15:30:00,32.3,18.8,13.500000
68,2018-03-09 15:30:00,15.4,20.0,-4.600000
69,2018-02-09 15:30:00,-88.0,-2.0,-86.000000
70,2018-01-05 15:30:00,78.6,1.0,77.600000
71,2017-12-01 15:30:00,79.5,10.0,69.500000
72,2017-11-03 15:30:00,35.3,15.0,20.300000
73,2017-10-06 15:30:00,10.0,14.5,-4.500000
74,2017-09-08 15:30:00,22.2,19.0,3.200000
75,2017-08-04 15:30:00,10.9,10.0,0.900000
76,2017-07-07 15:30:00,45.3,10.0,35.300000
77,2017-06-09 15:30:00,54.5,11.0,43.500000
78,2017-05-05 15:30:00,3.2,10.0,-6.800000
79,2017-04-07 15:30:00,19.4,5.0,14.400000
80,2017-03-10 15:30:00,15.3,2.5,12.800000
81,2017-02-10 15:30:00,48.3,-5.0,53.300000
82,2017-01-06 15:30:00,53.7,-5.0,58.700000
83,2016-12-02 15:30:00,10.7,-20.0,30.700000
84,2016-11-04 15:30:00,43.9,-10.0,53.900000
85,2016-10-07 15:30:00,67.2,10.0,57.200000
86,2016-09-09 15:30:00,26.2,15.0,11.200000
87,2016-08-05 15:30:00,-31.2,10.0,-41.200000
88,2016-07-08 15:30:00,-0.7,5.0,-5.700000
89,2016-06-10 15:30:00,13.8,3.8,10.000000
90,2016-05-06 15:30:00,-2.1,1.0,-3.100000
91,2016-04-08 15:30:00,40.6,10.0,30.600000
92,2016-03-11 15:30:00,-2.3,9.0,-11.300000
93,2016-02-05 15:30:00,-5.7,5.5,-11.200000
94,2016-01-08 15:30:00,22.8,10.0,12.800000
95,2015-12-04 15:30:00,-35.7,-10.0,-25.700000
96,2015-11-06 15:30:00,44.4,10.0,34.400000
97,2015-10-09 15:30:00,12.1,10.0,2.100000
98,2015-09-04 15:30:00,12.0,-4.5,16.500000
99,2015-08-07 15:30:00,6.6,5.0,1.600000
