,Date,Actual,Consensus,Difference
0,2023-04-05 15:30:00,65.03,64.6,0.430000
1,2022-06-07 15:30:00,64.31,61.76,2.550000
2,2022-05-04 15:30:00,63.63,61.76,1.870000
3,2022-04-05 15:30:00,58.75,58.05,0.700000
4,2020-12-04 15:30:00,46.47,45.25,1.220000
5,2020-11-04 15:30:00,45.54,45.25,0.290000
6,2020-09-03 15:30:00,45.43,38.8,6.630000
7,2020-08-05 15:30:00,39.71,38.8,0.910000
8,2020-07-02 15:30:00,34.61,33.6,1.010000
9,2020-06-04 15:30:00,32.66,42.07,-9.410000
10,2020-05-05 15:30:00,46.26,45.0,1.260000
11,2020-04-02 15:30:00,48.34,47.7,0.640000
12,2020-03-06 15:30:00,48.14,50.1,-1.960000
13,2020-02-05 15:30:00,49.32,50.1,-0.780000
14,2020-01-07 15:30:00,48.7,49.3,-0.600000
15,2019-12-05 15:30:00,49.91,49.3,0.610000
16,2019-11-05 15:30:00,49.78,50.35,-0.570000
17,2019-08-02 15:30:00,50.31,51.5,-1.190000
18,2019-07-03 15:30:00,53.11,50.4,2.710000
19,2019-05-09 15:30:00,49.05,48.0,1.050000
20,2019-04-17 15:30:00,47.97,48.0,-0.030000
21,2019-01-08 15:30:00,48.33,50.47,-2.140000
22,2018-12-06 15:30:00,49.32,50.47,-1.150000
23,2016-02-05 15:30:00,45.35,43.3,2.050000
24,2015-02-05 15:30:00,44.06,43.0,1.060000
25,2014-11-04 15:30:00,44.79,45.0,-0.210000
26,2014-10-03 15:30:00,44.19,45.0,-0.810000
27,2014-09-04 15:30:00,45.54,45.0,0.540000
28,2014-08-06 15:30:00,45.2,45.0,0.200000
29,2014-07-03 15:30:00,44.17,43.0,1.170000
30,2014-06-04 15:30:00,42.83,42.9,-0.070000
31,2014-05-06 15:30:00,42.7,42.4,0.300000
32,2014-04-03 15:30:00,42.35,41.6,0.750000
33,2014-03-07 15:30:00,40.65,39.8,0.850000
34,2014-02-06 15:30:00,39.72,40.0,-0.280000
35,2014-01-07 15:30:00,39.78,41.0,-1.220000
36,2013-12-04 15:30:00,40.47,40.0,0.470000
37,2013-11-14 15:30:00,40.65,40.0,0.650000
38,2013-10-08 15:30:00,39.77,39.0,0.770000
39,2013-09-04 15:30:00,39.22,40.0,-0.780000
40,2013-08-06 15:30:00,39.57,40.0,-0.430000
41,2013-07-03 15:30:00,39.34,40.0,-0.660000
42,2013-06-04 15:30:00,40.27,39.0,1.270000
