,Date,Actual,Consensus,Difference
0,2023-10-17 15:30:00,-8.47,11.78,-20.250000
1,2023-09-15 15:30:00,11.62,12.41,-0.790000
2,2023-05-17 15:30:00,-19.07,5.22,-24.290000
3,2023-04-17 15:30:00,4.62,6.28,-1.660000
4,2023-03-17 15:30:00,4.21,14.25,-10.040000
5,2023-02-17 15:30:00,21.22,-1.25,22.470000
6,2022-11-18 15:30:00,-22.27,6.44,-28.710000
7,2022-10-18 15:30:00,22.01,17.32,4.690000
8,2022-08-16 15:30:00,-17.54,23.75,-41.290000
9,2022-01-17 15:30:00,30.15,23.5,6.650000
10,2020-09-16 15:30:00,-8.52,10.5,-19.020000
11,2019-06-17 15:30:00,-12.8,2.33,-15.130000
12,2019-05-16 15:30:00,-1.49,11.55,-13.040000
13,2019-02-15 15:30:00,-18.96,7.66,-26.620000
14,2018-12-17 15:30:00,3.98,6.2,-2.220000
15,2018-11-16 15:30:00,7.7,0.3,7.400000
16,2018-09-17 15:30:00,12.65,4.35,8.300000
17,2018-08-17 15:30:00,11.55,4.91,6.640000
18,2018-07-16 15:30:00,2.18,7.03,-4.850000
19,2018-06-15 15:30:00,9.13,5.49,3.640000
20,2018-04-17 15:30:00,3.96,7.24,-3.280000
21,2018-02-16 15:30:00,-1.97,19.18,-21.150000
22,2017-10-16 15:30:00,9.85,20.05,-10.200000
23,2017-09-18 15:30:00,23.95,4.46,19.490000
24,2017-08-16 15:30:00,-0.92,23.45,-24.370000
25,2017-07-17 15:30:00,29.46,9.8,19.660000
26,2017-06-16 15:30:00,10.6,12.14,-1.540000
27,2017-05-18 15:30:00,15.13,17.23,-2.100000
28,2017-04-18 15:30:00,38.84,5.21,33.630000
29,2017-03-16 15:30:00,6.2,9.45,-3.250000
30,2017-01-19 15:30:00,7.24,10.23,-2.990000
31,2016-12-16 15:30:00,15.75,12.35,3.400000
32,2016-11-17 15:30:00,11.77,12.2,-0.430000
33,2016-10-17 15:30:00,12.74,6.24,6.500000
34,2016-09-16 15:30:00,5.23,10.12,-4.890000
35,2016-07-18 15:30:00,14.73,15.39,-0.660000
36,2016-05-18 15:30:00,17.17,10.35,6.820000
37,2016-04-18 15:30:00,15.94,7.5,8.440000
38,2016-02-17 15:30:00,-1.41,-6.05,4.640000
39,2016-01-19 15:30:00,2.58,12.1,-9.520000
40,2015-12-16 15:30:00,22.08,6.13,15.950000
41,2015-11-16 15:30:00,3.35,4.12,-0.770000
42,2015-10-16 15:30:00,3.11,2.21,0.900000
43,2015-08-17 15:30:00,8.51,-5.95,14.460000
44,2015-07-16 15:30:00,-5.45,10.23,-15.680000
45,2015-06-16 15:30:00,12.94,4.97,7.970000
46,2015-05-15 15:30:00,22.47,7.23,15.240000
