,Date,Actual,Consensus,Difference
0,2023-05-31 15:30:00,2.21,2.8,-0.590000
1,2023-01-31 15:30:00,2.8,3.5,-0.700000
2,2019-07-31 15:30:00,1.4,1.3,0.100000
3,2019-06-28 15:30:00,1.5,1.5,0.000000
4,2019-05-31 15:30:00,1.3,1.2,0.100000
5,2019-04-30 15:30:00,1.1,1.4,-0.300000
6,2019-03-29 15:30:00,1.6,1.5,0.100000
7,2019-03-01 15:30:00,1.1,1.4,-0.300000
8,2018-12-21 15:30:00,2.2,2.2,0.000000
9,2018-10-31 15:30:00,2.5,2.4,0.100000
10,2018-09-28 15:30:00,2.4,2.2,0.200000
11,2018-08-30 15:30:00,2.4,2.3,0.100000
12,2018-07-31 15:30:00,2.6,2.3,0.300000
13,2018-06-29 15:30:00,2.5,2.5,0.000000
14,2018-05-31 15:30:00,2.9,2.9,0.000000
15,2018-05-01 15:30:00,3.0,2.8,0.200000
16,2018-03-29 15:30:00,2.7,2.9,-0.200000
17,2018-03-02 15:30:00,3.3,3.3,0.000000
18,2018-01-31 15:30:00,3.5,3.4,0.100000
19,2017-12-22 15:30:00,3.4,3.5,-0.100000
20,2017-10-31 15:30:00,3.5,3.6,-0.100000
