,Date,Actual,Consensus,Difference
0,2023-09-01 15:30:00,-0.2,1.2,-1.400000
1,2023-05-31 15:30:00,3.1,1.5,1.600000
2,2023-02-28 15:30:00,0.0,1.5,-1.500000
3,2022-11-29 15:30:00,2.9,1.5,1.400000
4,2022-08-31 15:30:00,3.3,4.4,-1.100000
5,2022-05-31 15:30:00,3.1,5.4,-2.300000
6,2022-03-01 15:30:00,6.7,6.5,0.200000
7,2021-11-30 15:30:00,5.4,3.0,2.400000
8,2021-08-31 15:30:00,-1.1,2.5,-3.600000
9,2021-06-01 15:30:00,5.6,6.7,-1.100000
10,2021-03-02 15:30:00,9.6,7.5,2.100000
11,2020-12-01 15:30:00,40.5,47.6,-7.100000
12,2020-08-28 15:30:00,-38.7,-39.6,0.900000
13,2020-05-29 15:30:00,-8.2,-10.0,1.800000
14,2020-02-28 15:30:00,0.3,0.3,0.000000
15,2019-11-29 15:30:00,1.3,1.2,0.100000
16,2019-08-30 15:30:00,3.7,3.0,0.700000
17,2019-05-31 15:30:00,0.4,0.7,-0.300000
18,2019-03-01 15:30:00,0.4,1.2,-0.800000
19,2018-11-30 15:30:00,2.0,2.0,0.000000
20,2018-08-30 15:30:00,2.9,3.0,-0.100000
21,2018-05-31 15:30:00,1.3,1.8,-0.500000
22,2018-03-02 15:30:00,1.7,2.0,-0.300000
23,2017-12-01 15:30:00,1.7,1.6,0.100000
24,2017-08-31 15:30:00,4.5,3.7,0.800000
25,2017-05-31 15:30:00,3.7,3.9,-0.200000
26,2017-03-02 15:30:00,2.6,2.0,0.600000
27,2016-11-30 15:30:00,3.5,3.4,0.100000
28,2016-08-31 15:30:00,-1.6,-1.5,-0.100000
29,2016-05-31 15:30:00,2.4,2.9,-0.500000
30,2016-03-01 15:30:00,0.8,0.1,0.700000
31,2015-12-01 15:30:00,2.3,2.4,-0.100000
32,2015-09-01 15:30:00,-0.5,-1.0,0.500000
33,2015-05-29 15:30:00,-0.6,0.3,-0.900000
34,2015-03-03 15:30:00,2.4,2.2,0.200000
35,2014-11-28 15:30:00,2.8,2.1,0.700000
36,2014-08-29 15:30:00,3.1,2.7,0.400000
37,2014-05-30 15:30:00,1.2,1.8,-0.600000
38,2014-02-28 15:30:00,2.9,2.5,0.400000
39,2013-11-29 15:30:00,2.7,2.5,0.200000
40,2013-08-30 15:30:00,1.7,1.5,0.200000
41,2013-05-31 15:30:00,2.5,2.3,0.200000
