,Date,Actual,Consensus,Difference
0,2023-11-16 15:15:00,274.7,252.9,21.800000
1,2023-10-18 15:15:00,270.5,240.0,30.500000
2,2023-09-18 15:15:00,252.8,245.3,7.500000
3,2023-08-16 15:15:00,255.0,240.0,15.000000
4,2023-07-18 15:15:00,281.4,220.0,61.400000
5,2023-06-15 15:15:00,202.5,235.0,-32.500000
6,2023-05-15 15:15:00,261.6,224.6,37.000000
7,2023-04-19 15:15:00,213.9,237.8,-23.900000
8,2023-03-15 15:15:00,244.0,220.0,24.000000
9,2023-02-15 15:15:00,215.4,240.0,-24.600000
10,2023-01-17 15:15:00,248.6,257.5,-8.900000
11,2022-12-15 15:15:00,264.2,255.0,9.200000
12,2022-11-16 15:15:00,267.1,270.0,-2.900000
13,2022-10-18 15:15:00,299.6,263.0,36.600000
14,2022-09-16 15:30:00,267.4,265.0,2.400000
15,2022-08-16 15:15:00,275.3,262.1,13.200000
16,2022-07-18 15:15:00,273.8,266.6,7.200000
17,2022-06-15 15:15:00,287.3,252.6,34.700000
18,2022-05-16 15:15:00,267.3,246.4,20.900000
19,2022-04-19 15:15:00,246.2,250.0,-3.800000
20,2022-03-15 15:15:00,247.3,238.0,9.300000
21,2022-02-15 15:15:00,230.8,245.0,-14.200000
22,2022-01-18 15:15:00,236.1,270.0,-33.900000
23,2021-12-15 15:15:00,301.3,234.3,67.000000
24,2021-11-16 15:15:00,236.6,255.0,-18.400000
25,2021-10-18 15:15:00,251.2,255.0,-3.800000
26,2021-09-16 15:15:00,260.2,268.0,-7.800000
27,2021-08-17 15:15:00,272.2,275.0,-2.800000
28,2021-07-16 15:15:00,282.1,270.0,12.100000
29,2021-06-15 15:15:00,275.9,270.0,5.900000
30,2021-05-17 15:15:00,268.6,292.5,-23.900000
31,2021-04-19 15:15:00,335.2,250.0,85.200000
32,2021-03-15 15:15:00,245.9,245.0,0.900000
33,2021-01-18 15:15:00,228.3,227.0,1.300000
34,2020-12-15 15:15:00,246.0,215.0,31.000000
35,2020-11-17 15:15:00,214.9,222.0,-7.100000
36,2020-10-08 15:15:00,209.0,240.0,-31.000000
