,Date,Actual,Consensus,Difference
0,2023-04-05 15:30:00,64.61,63.2,1.410000
1,2022-06-07 15:30:00,62.81,58.11,4.700000
2,2022-05-04 15:30:00,61.14,58.11,3.030000
3,2022-04-05 15:30:00,56.08,54.68,1.400000
4,2020-12-04 15:30:00,50.23,47.9,2.330000
5,2020-11-04 15:30:00,48.79,47.9,0.890000
6,2020-09-03 15:30:00,47.88,41.3,6.580000
7,2020-08-05 15:30:00,42.9,41.3,1.600000
8,2020-07-02 15:30:00,35.29,38.1,-2.810000
9,2020-06-04 15:30:00,35.91,41.37,-5.460000
10,2020-05-05 15:30:00,47.67,45.8,1.870000
11,2020-04-02 15:30:00,49.32,49.0,0.320000
12,2020-03-06 15:30:00,49.61,50.3,-0.690000
13,2020-02-05 15:30:00,49.69,50.3,-0.610000
14,2020-01-07 15:30:00,49.78,51.02,-1.240000
15,2019-12-05 15:30:00,50.99,50.35,0.640000
16,2019-11-05 15:30:00,50.76,50.98,-0.220000
17,2019-09-04 15:30:00,50.89,51.8,-0.910000
18,2019-08-02 15:30:00,50.17,51.8,-1.630000
19,2019-07-03 15:30:00,52.34,52.1,0.240000
20,2019-05-09 15:30:00,52.26,51.5,0.760000
21,2019-04-17 15:30:00,50.87,51.5,-0.630000
22,2019-03-27 15:30:00,51.82,50.51,1.310000
23,2019-01-08 15:30:00,50.39,51.1,-0.710000
24,2018-12-06 15:30:00,50.49,51.1,-0.610000
25,2016-02-05 15:30:00,45.94,45.6,0.340000
26,2015-02-05 15:30:00,44.7,44.0,0.700000
27,2014-11-04 15:30:00,44.08,45.0,-0.920000
28,2014-10-03 15:30:00,44.8,43.0,1.800000
29,2014-09-04 15:30:00,42.96,44.0,-1.040000
30,2014-08-06 15:30:00,43.34,44.0,-0.660000
31,2014-07-03 15:30:00,44.32,44.0,0.320000
32,2014-06-04 15:30:00,43.46,42.7,0.760000
33,2014-05-06 15:30:00,42.62,42.1,0.520000
34,2014-04-03 15:30:00,42.06,41.8,0.260000
35,2014-03-07 15:30:00,40.82,41.2,-0.380000
36,2014-02-06 15:30:00,41.38,41.0,0.380000
37,2014-01-07 15:30:00,40.72,41.0,-0.280000
38,2013-12-04 15:30:00,40.4,41.0,-0.600000
39,2013-11-14 15:30:00,41.08,41.0,0.080000
40,2013-10-08 15:30:00,41.08,40.0,1.080000
41,2013-09-04 15:30:00,40.15,40.0,0.150000
42,2013-08-06 15:30:00,40.04,40.0,0.040000
43,2013-07-03 15:30:00,39.64,41.0,-1.360000
44,2013-06-04 15:30:00,40.84,40.0,0.840000
