,Date,Actual,Consensus,Difference
0,2023-09-06 15:30:00,-0.6,-0.1,-0.500000
1,2023-06-07 15:30:00,-0.6,0.2,-0.800000
2,2022-12-01 15:30:00,0.6,0.3,0.300000
3,2022-06-03 15:30:00,-0.5,-0.5,0.000000
4,2022-03-04 15:30:00,-0.5,-0.8,0.300000
5,2021-12-03 15:30:00,-1.5,-0.8,-0.700000
6,2020-09-02 15:30:00,9.8,1.2,8.600000
7,2020-06-03 15:30:00,3.4,1.2,2.200000
8,2019-12-04 15:30:00,0.2,0.8,-0.600000
9,2019-09-04 15:30:00,0.2,0.3,-0.100000
10,2019-06-05 15:30:00,0.3,0.3,0.000000
11,2019-03-06 15:30:00,-0.4,0.2,-0.600000
12,2018-12-04 15:30:00,0.3,0.4,-0.100000
13,2018-09-05 15:30:00,0.7,0.2,0.500000
14,2018-06-05 15:30:00,-0.3,0.3,-0.600000
15,2018-03-07 15:30:00,0.2,0.1,0.100000
16,2017-12-06 15:30:00,-0.6,-0.4,-0.200000
17,2017-09-06 15:30:00,-0.1,0.9,-1.000000
18,2017-06-02 15:30:00,1.4,0.2,1.200000
19,2016-12-02 15:30:00,1.2,1.0,0.200000
20,2016-09-02 15:30:00,-0.3,-0.4,0.100000
21,2016-06-03 15:30:00,0.4,0.4,0.000000
22,2016-03-04 15:30:00,0.1,0.2,-0.100000
23,2015-12-04 15:30:00,0.1,0.3,-0.200000
24,2015-09-04 15:30:00,-0.6,-0.6,0.000000
25,2015-06-05 15:30:00,-0.1,0.2,-0.300000
26,2015-03-06 15:30:00,-0.1,0.2,-0.300000
27,2014-12-05 15:30:00,0.1,1.5,-1.400000
28,2014-09-05 15:30:00,1.8,1.6,0.200000
29,2014-06-06 15:30:00,-0.1,0.7,-0.800000
30,2014-03-07 15:30:00,1.0,0.6,0.400000
31,2013-12-06 15:30:00,0.2,0.5,-0.300000
32,2013-09-06 15:30:00,0.5,0.3,0.200000
33,2013-06-07 15:30:00,0.2,0.3,-0.100000
34,2013-03-08 15:30:00,0.1,-0.1,0.200000
35,2012-09-07 15:30:00,-0.4,0.2,-0.600000
36,2012-06-08 15:30:00,0.1,0.3,-0.200000
37,2012-03-09 15:30:00,0.7,0.6,0.100000
38,2011-12-09 15:30:00,0.4,-0.2,0.600000
39,2011-06-10 15:30:00,0.4,0.5,-0.100000
40,2011-03-15 15:30:00,0.5,0.3,0.200000
41,2010-12-14 15:30:00,0.1,0.3,-0.200000
42,2010-09-14 15:30:00,-0.8,-0.5,-0.300000
43,2010-06-15 15:30:00,0.7,1.4,-0.700000
44,2010-03-16 15:30:00,1.4,0.7,0.700000
45,2009-12-15 15:30:00,-0.2,-0.4,0.200000
46,2009-09-15 15:30:00,0.0,0.2,-0.200000
47,2009-06-16 15:30:00,0.3,-0.2,0.500000
48,2009-03-17 15:30:00,-0.5,-0.1,-0.400000
49,2008-12-10 15:30:00,0.0,0.1,-0.100000
50,2008-09-10 15:30:00,-0.2,0.1,-0.300000
51,2008-03-14 15:30:00,-0.8,-0.2,-0.600000
