,Date,Actual,Consensus,Difference
0,2023-11-15 15:30:00,0.4,-0.1,0.500000
1,2023-10-16 15:30:00,0.7,1.0,-0.300000
2,2023-09-15 15:30:00,1.6,0.7,0.900000
3,2023-08-15 15:30:00,-1.7,-2.0,0.300000
4,2023-07-14 15:30:00,1.2,0.8,0.400000
5,2023-06-15 15:30:00,0.3,-0.2,0.500000
6,2023-05-16 15:30:00,0.7,0.7,0.000000
7,2023-04-14 15:30:00,-3.6,-2.7,-0.900000
8,2023-03-14 15:30:00,4.1,3.9,0.200000
9,2023-02-15 15:30:00,-1.5,-1.8,0.300000
10,2023-01-16 15:30:00,0.0,0.5,-0.500000
11,2022-12-14 15:30:00,2.8,2.0,0.800000
12,2022-11-22 15:30:00,2.0,0.2,1.800000
13,2022-11-15 15:30:00,0.0,-0.5,0.500000
14,2022-10-14 15:30:00,-2.0,-1.8,-0.200000
15,2022-09-14 15:30:00,-0.9,-0.9,0.000000
16,2022-08-15 15:30:00,-0.8,-0.9,0.100000
17,2022-07-14 15:30:00,-2.0,-2.0,0.000000
18,2022-06-14 15:30:00,1.7,1.6,0.100000
19,2022-05-16 15:30:00,2.5,1.7,0.800000
20,2022-04-14 15:30:00,4.2,3.6,0.600000
21,2022-03-15 15:30:00,0.6,1.3,-0.700000
22,2022-02-16 15:30:00,0.7,0.6,0.100000
23,2022-01-17 15:30:00,2.6,3.1,-0.500000
24,2021-12-15 15:30:00,4.3,4.1,0.200000
25,2021-11-15 15:30:00,-3.0,-3.2,0.200000
26,2021-10-14 15:30:00,0.5,0.5,0.000000
27,2021-09-14 15:30:00,-1.5,-1.2,-0.300000
28,2021-08-16 15:30:00,2.1,2.5,-0.400000
29,2021-07-14 15:30:00,-0.6,1.0,-1.600000
30,2021-06-14 15:30:00,-2.1,-1.0,-1.100000
31,2021-05-14 15:30:00,3.5,3.5,0.000000
32,2021-04-15 15:30:00,-1.6,-1.0,-0.600000
33,2021-03-15 15:30:00,3.1,2.5,0.600000
34,2021-02-15 15:30:00,0.9,0.6,0.300000
35,2021-01-19 15:30:00,-0.6,-0.1,-0.500000
36,2020-12-15 15:30:00,0.3,0.6,-0.300000
37,2020-11-16 15:30:00,1.5,1.5,0.000000
38,2020-10-16 15:30:00,-2.0,-1.4,-0.600000
39,2020-09-15 15:30:00,7.0,8.7,-1.700000
40,2020-08-14 15:30:00,20.7,16.4,4.300000
41,2020-07-15 15:30:00,10.7,9.5,1.200000
42,2020-06-15 15:30:00,-28.5,-18.7,-9.800000
43,2020-05-14 15:30:00,-9.2,-5.7,-3.500000
44,2020-04-16 15:30:00,0.5,-0.1,0.600000
45,2020-03-17 15:30:00,-0.2,-0.5,0.300000
46,2020-02-18 15:30:00,-0.7,0.5,-1.200000
47,2020-01-21 15:30:00,-0.6,-0.3,-0.300000
48,2019-12-17 15:30:00,-0.7,0.2,-0.900000
49,2019-11-19 15:30:00,-0.2,-0.6,0.400000
50,2019-10-17 15:30:00,0.8,0.7,0.100000
51,2019-09-17 15:30:00,-1.3,-0.3,-1.000000
52,2019-08-20 15:30:00,-1.2,-1.8,0.600000
53,2019-07-17 15:30:00,1.6,1.6,0.000000
54,2019-06-18 15:30:00,-0.6,0.6,-1.200000
55,2019-05-16 15:30:00,2.1,1.5,0.600000
56,2019-04-16 15:30:00,-0.2,0.4,-0.600000
57,2019-03-15 15:30:00,1.0,0.4,0.600000
58,2019-02-14 15:30:00,-1.3,0.3,-1.600000
59,2019-01-22 15:30:00,-1.4,-0.9,-0.500000
60,2018-12-18 15:30:00,-0.1,0.3,-0.400000
61,2018-11-16 15:30:00,0.2,0.1,0.100000
62,2018-10-17 15:30:00,-0.4,-0.6,0.200000
63,2018-09-18 15:30:00,0.9,0.6,0.300000
64,2018-08-16 15:30:00,1.1,1.0,0.100000
65,2018-07-17 15:30:00,1.4,0.5,0.900000
66,2018-06-15 15:30:00,-1.3,0.6,-1.900000
67,2018-05-16 15:30:00,1.4,1.2,0.200000
68,2018-04-17 15:30:00,1.9,1.0,0.900000
69,2018-03-16 15:30:00,-1.0,-0.8,-0.200000
70,2018-02-16 15:30:00,-0.3,0.2,-0.500000
71,2018-01-19 15:30:00,3.4,2.0,1.400000
72,2017-12-15 15:30:00,-0.4,0.8,-1.200000
73,2017-11-16 15:30:00,0.5,-0.3,0.800000
74,2017-10-18 15:30:00,1.6,-0.1,1.700000
75,2017-09-19 15:30:00,-2.6,-1.6,-1.000000
76,2017-08-17 15:30:00,-1.8,-1.0,-0.800000
77,2017-07-19 15:30:00,1.1,0.8,0.300000
78,2017-06-15 15:30:00,1.1,0.7,0.400000
79,2017-05-17 15:30:00,1.0,0.4,0.600000
80,2017-04-13 15:30:00,-0.2,-0.7,0.500000
81,2017-03-17 15:30:00,0.6,-0.2,0.800000
82,2017-02-15 15:30:00,2.3,0.2,2.100000
83,2017-01-19 15:30:00,1.5,1.0,0.500000
84,2016-12-15 15:30:00,-0.8,0.4,-1.200000
85,2016-11-16 15:30:00,0.3,0.1,0.200000
86,2016-10-18 15:30:00,0.9,0.2,0.700000
87,2016-09-16 15:30:00,0.1,1.0,-0.900000
88,2016-08-16 15:30:00,0.8,0.7,0.100000
89,2016-07-15 15:30:00,-1.0,-0.7,-0.300000
90,2016-06-15 15:30:00,1.0,0.6,0.400000
91,2016-05-17 15:30:00,-0.9,-1.8,0.900000
92,2016-04-15 15:30:00,-3.3,-1.5,-1.800000
93,2016-03-16 15:30:00,2.3,0.5,1.800000
94,2016-02-16 15:30:00,1.2,0.7,0.500000
95,2016-01-20 15:30:00,1.0,0.5,0.500000
96,2015-12-15 15:30:00,-1.1,-0.5,-0.600000
97,2015-11-16 15:30:00,-1.5,0.1,-1.600000
98,2015-10-16 15:30:00,-0.2,-1.0,0.800000
99,2015-09-16 15:30:00,1.7,1.0,0.700000
100,2015-08-14 15:30:00,1.2,2.1,-0.900000
101,2015-07-15 15:30:00,0.1,0.4,-0.300000
102,2015-06-15 15:30:00,-2.1,-0.5,-1.600000
103,2015-05-15 15:30:00,2.9,1.2,1.700000
104,2015-04-15 15:30:00,-1.7,-0.2,-1.500000
105,2015-03-17 15:30:00,-1.7,-1.0,-0.700000
106,2015-02-13 15:30:00,1.7,-0.9,2.600000
107,2015-01-20 15:30:00,-1.4,-0.5,-0.900000
108,2014-12-16 15:30:00,-0.6,-0.3,-0.300000
109,2014-11-14 15:30:00,2.1,1.3,0.800000
110,2014-10-16 15:30:00,-3.3,-2.0,-1.300000
111,2014-09-16 15:30:00,2.5,1.0,1.500000
112,2014-08-15 15:30:00,0.6,0.5,0.100000
113,2014-07-16 15:30:00,1.6,1.3,0.300000
114,2014-06-13 15:30:00,-0.1,0.9,-1.000000
115,2014-05-15 15:30:00,0.4,0.2,0.200000
116,2014-04-15 15:30:00,1.4,1.0,0.400000
117,2014-03-18 15:30:00,1.5,1.0,0.500000
118,2014-02-14 15:30:00,-0.9,0.3,-1.200000
119,2014-01-21 15:30:00,1.0,0.4,0.600000
120,2013-12-17 15:30:00,1.0,-0.2,1.200000
121,2013-11-15 15:30:00,0.6,1.0,-0.400000
122,2013-10-16 15:30:00,-0.2,0.3,-0.500000
123,2013-09-17 15:30:00,1.7,1.0,0.700000
124,2013-08-16 15:30:00,-0.5,1.0,-1.500000
125,2013-07-16 15:30:00,0.7,1.0,-0.300000
126,2013-06-14 15:30:00,-2.4,0.3,-2.700000
127,2013-05-15 15:30:00,-0.3,1.0,-1.300000
128,2013-04-16 15:30:00,2.6,1.0,1.600000
129,2013-03-19 15:30:00,-0.2,1.0,-1.200000
130,2013-02-15 15:30:00,-3.1,-1.0,-2.100000
131,2013-01-18 15:30:00,1.7,1.0,0.700000
132,2012-12-14 15:30:00,-1.4,0.0,-1.400000
133,2012-11-15 15:30:00,0.4,0.3,0.100000
134,2012-10-16 15:30:00,1.5,1.0,0.500000
135,2012-09-14 15:30:00,-1.5,1.0,-2.500000
136,2012-08-16 15:30:00,-0.4,0.4,-0.800000
137,2012-07-17 15:30:00,-0.4,1.0,-1.400000
138,2012-06-15 15:30:00,-0.8,1.0,-1.800000
139,2012-05-16 15:30:00,1.9,1.0,0.900000
140,2012-04-17 15:30:00,-0.3,-1.0,0.700000
141,2012-03-16 15:30:00,-0.9,0.6,-1.500000
142,2012-02-16 15:30:00,0.6,0.5,0.100000
143,2012-01-19 15:30:00,2.0,0.9,1.100000
144,2011-12-14 15:30:00,-0.8,-0.6,-0.200000
145,2011-11-15 15:30:00,2.6,1.0,1.600000
146,2011-10-14 15:30:00,1.4,0.5,0.900000
147,2011-09-15 15:30:00,2.7,1.2,1.500000
148,2011-08-16 15:30:00,-1.5,-0.5,-1.000000
149,2011-07-15 15:30:00,-0.8,-0.3,-0.500000
150,2011-06-15 15:30:00,-1.3,-1.3,0.000000
151,2011-05-16 15:30:00,1.9,1.6,0.300000
152,2011-04-14 15:30:00,-1.5,0.6,-2.100000
153,2011-03-16 15:30:00,4.5,1.0,3.500000
154,2011-02-16 15:30:00,0.4,2.3,-1.900000
155,2011-01-19 15:30:00,-0.8,0.6,-1.400000
156,2010-12-15 15:30:00,1.7,1.1,0.600000
157,2010-11-16 15:30:00,-0.6,-0.7,0.100000
158,2010-10-15 15:30:00,2.0,0.5,1.500000
159,2010-09-15 15:30:00,-0.9,0.1,-1.000000
160,2010-08-17 15:30:00,0.1,-0.4,0.500000
161,2010-07-15 15:30:00,0.4,0.4,0.000000
162,2010-06-15 15:30:00,0.2,0.3,-0.100000
163,2010-05-14 15:30:00,1.2,1.1,0.100000
164,2010-04-16 15:30:00,0.1,1.0,-0.900000
165,2010-03-16 15:30:00,2.4,0.7,1.700000
166,2010-02-16 15:30:00,1.6,2.0,-0.400000
167,2010-01-20 15:30:00,0.1,1.6,-1.500000
168,2009-12-16 15:30:00,2.0,0.5,1.500000
169,2009-11-16 15:30:00,1.4,0.5,0.900000
170,2009-10-15 15:30:00,-2.1,0.0,-2.100000
171,2009-09-16 15:30:00,5.5,2.3,3.200000
172,2009-08-14 15:30:00,1.9,-0.2,2.100000
173,2009-07-15 15:30:00,-6.0,-0.8,-5.200000
174,2009-06-15 15:30:00,-0.1,-1.7,1.600000
175,2009-05-15 15:30:00,-2.7,1.3,-4.000000
176,2009-04-16 15:30:00,2.2,3.3,-1.100000
177,2009-03-17 15:30:00,-5.4,-5.7,0.300000
178,2009-02-16 15:30:00,-8.0,-5.3,-2.700000
179,2009-01-20 15:30:00,-6.4,-2.9,-3.500000
180,2008-10-16 15:30:00,-3.7,-0.7,-3.000000
181,2008-09-16 15:30:00,2.7,1.0,1.700000
182,2008-08-15 15:30:00,2.1,1.0,1.100000
183,2008-07-16 15:30:00,2.7,0.4,2.300000
184,2008-06-13 15:30:00,2.0,0.4,1.600000
185,2008-05-15 16:30:00,-1.6,-0.4,-1.200000
186,2008-04-16 15:30:00,1.6,0.8,0.800000
187,2008-03-17 15:30:00,1.3,1.0,0.300000
