,Date,Actual,Consensus,Difference
0,2023-11-03 15:30:00,65.6,65.6,0.000000
1,2023-08-04 15:30:00,65.6,65.6,0.000000
2,2023-07-07 15:30:00,65.7,65.5,0.200000
3,2023-06-09 15:30:00,65.5,65.6,-0.100000
4,2023-05-05 15:30:00,65.6,65.6,0.000000
5,2023-04-06 15:30:00,65.6,65.5,0.100000
6,2022-08-05 15:30:00,64.7,65.3,-0.600000
7,2022-07-08 15:30:00,64.9,65.3,-0.400000
8,2022-05-06 15:30:00,65.3,65.4,-0.100000
9,2022-04-08 15:30:00,65.4,65.4,0.000000
10,2021-03-12 15:30:00,64.7,64.9,-0.200000
11,2021-02-05 15:30:00,64.7,64.9,-0.200000
12,2020-12-04 15:30:00,65.1,65.2,-0.100000
13,2020-11-06 15:30:00,65.2,65.0,0.200000
14,2020-10-09 15:30:00,65.0,64.8,0.200000
15,2020-09-04 15:30:00,64.6,64.6,0.000000
16,2020-08-07 15:30:00,64.3,64.4,-0.100000
17,2020-05-08 15:30:00,59.8,65.1,-5.300000
18,2020-04-09 15:30:00,63.5,65.1,-1.600000
19,2020-03-06 15:30:00,65.5,65.4,0.100000
20,2020-02-07 15:30:00,65.4,65.6,-0.200000
21,2020-01-10 15:30:00,65.5,65.7,-0.200000
22,2019-12-06 15:30:00,65.6,65.7,-0.100000
23,2019-11-08 15:30:00,65.7,65.7,0.000000
24,2019-10-11 15:30:00,65.7,65.8,-0.100000
25,2019-09-06 15:30:00,65.8,65.7,0.100000
26,2019-08-09 15:30:00,65.6,65.7,-0.100000
27,2019-06-07 15:30:00,65.7,65.8,-0.100000
28,2019-05-10 15:30:00,65.9,65.7,0.200000
29,2019-04-05 15:30:00,65.7,65.7,0.000000
30,2019-03-08 15:30:00,65.8,65.4,0.400000
31,2019-02-08 15:30:00,65.6,65.4,0.200000
32,2018-10-05 15:30:00,65.4,65.3,0.100000
33,2018-09-07 15:30:00,65.3,65.4,-0.100000
34,2018-08-10 15:30:00,65.4,65.4,0.000000
35,2018-07-06 15:30:00,65.5,65.3,0.200000
36,2018-06-08 15:30:00,65.3,65.4,-0.100000
37,2018-05-11 15:30:00,65.4,65.5,-0.100000
38,2018-03-09 15:30:00,65.5,65.6,-0.100000
39,2017-02-10 15:30:00,65.9,65.8,0.100000
40,2016-11-04 15:30:00,65.8,65.6,0.200000
41,2016-06-10 15:30:00,65.7,65.8,-0.100000
42,2016-03-11 15:30:00,65.9,65.9,0.000000
43,2016-02-05 15:30:00,65.9,65.9,0.000000
44,2016-01-08 15:30:00,65.9,65.8,0.100000
45,2015-12-04 15:30:00,65.8,65.9,-0.100000
46,2015-11-06 15:30:00,66.0,65.9,0.100000
47,2015-10-09 15:30:00,65.9,65.8,0.100000
48,2015-08-07 15:30:00,65.7,65.8,-0.100000
49,2015-06-05 15:30:00,65.9,65.8,0.100000
50,2015-05-08 15:30:00,65.8,65.9,-0.100000
51,2015-03-13 15:30:00,65.8,65.7,0.100000
52,2015-02-06 15:30:00,65.7,65.7,0.000000
53,2015-01-09 15:30:00,65.9,66.0,-0.100000
54,2014-12-05 15:30:00,66.0,66.0,0.000000
55,2014-11-07 15:30:00,66.0,66.0,0.000000
56,2014-10-10 15:30:00,66.0,66.0,0.000000
57,2014-09-05 15:30:00,66.0,66.1,-0.100000
58,2014-08-15 15:30:00,66.1,66.1,0.000000
59,2014-08-08 15:30:00,65.9,66.1,-0.200000
60,2014-07-11 15:30:00,66.1,66.0,0.100000
61,2014-06-06 15:30:00,66.1,66.2,-0.100000
62,2014-05-09 15:30:00,66.1,66.2,-0.100000
63,2014-04-04 15:30:00,66.2,66.2,0.000000
64,2014-03-07 15:30:00,66.2,66.4,-0.200000
65,2014-02-07 15:30:00,66.3,66.0,0.300000
66,2014-01-10 15:30:00,66.4,66.0,0.400000
67,2013-12-06 15:30:00,66.4,66.0,0.400000
68,2013-11-08 15:30:00,66.4,66.0,0.400000
69,2013-10-11 15:30:00,66.4,67.0,-0.600000
70,2013-09-06 15:30:00,66.6,67.0,-0.400000
71,2013-08-09 15:30:00,66.5,67.0,-0.500000
72,2013-07-05 15:30:00,66.7,67.0,-0.300000
73,2013-06-07 15:30:00,66.7,67.0,-0.300000
74,2013-05-10 15:30:00,66.5,67.0,-0.500000
75,2012-12-07 15:30:00,66.8,66.8,0.000000
76,2012-11-02 15:30:00,66.8,66.8,0.000000
77,2012-04-05 15:30:00,66.6,67.0,-0.400000
