,Date,Actual,Consensus,Difference
0,2023-11-06 17:00:00,53.4,54.0,-0.600000
1,2023-10-05 17:00:00,53.1,50.8,2.300000
2,2023-09-07 17:00:00,53.5,49.2,4.300000
3,2023-08-04 17:00:00,48.6,52.7,-4.100000
4,2023-07-07 17:00:00,50.2,51.5,-1.300000
5,2023-06-06 17:00:00,53.5,57.2,-3.700000
6,2023-05-04 17:00:00,56.8,59.0,-2.200000
7,2023-04-06 17:00:00,58.2,56.1,2.100000
8,2023-03-06 17:00:00,51.6,55.9,-4.300000
9,2023-02-06 17:00:00,60.1,42.3,17.800000
10,2023-01-06 17:00:00,33.4,51.0,-17.600000
11,2022-12-06 17:00:00,51.4,51.0,0.400000
12,2022-09-07 17:00:00,60.9,48.3,12.600000
13,2022-08-05 17:00:00,49.6,60.3,-10.700000
14,2022-07-07 17:00:00,62.2,74.0,-11.800000
15,2022-05-06 17:00:00,66.3,60.0,6.300000
16,2022-04-06 17:00:00,74.2,60.0,14.200000
17,2022-03-04 17:00:00,60.6,54.2,6.400000
18,2021-05-07 17:00:00,60.6,60.5,0.100000
19,2021-04-07 17:00:00,72.9,60.5,12.400000
20,2021-01-07 17:00:00,46.7,54.7,-8.000000
21,2020-12-07 17:00:00,52.7,54.7,-2.000000
22,2020-11-06 17:00:00,54.5,51.5,3.000000
23,2020-09-04 17:00:00,67.8,57.5,10.300000
24,2020-08-07 17:00:00,68.5,57.5,11.000000
25,2020-05-07 17:00:00,22.8,25.0,-2.200000
26,2020-04-07 17:00:00,26.0,41.0,-15.000000
27,2020-02-07 17:00:00,57.3,53.3,4.000000
28,2020-01-07 17:00:00,51.9,53.8,-1.900000
29,2019-12-05 17:00:00,60.0,53.8,6.200000
30,2019-11-06 17:00:00,48.2,49.3,-1.100000
31,2019-09-06 17:00:00,60.6,55.2,5.400000
32,2019-08-07 17:00:00,54.2,53.0,1.200000
33,2019-07-05 17:00:00,52.4,55.0,-2.600000
34,2019-06-06 17:00:00,55.9,56.2,-0.300000
35,2019-05-07 17:00:00,55.9,51.5,4.400000
