,Date,Actual,Consensus,Difference
0,2023-11-17 15:30:00,-2.5,-2.0,-0.500000
1,2023-10-19 15:30:00,3.5,2.3,1.200000
2,2023-09-18 15:30:00,3.0,3.8,-0.800000
3,2023-08-18 15:30:00,3.5,0.0,3.500000
4,2023-07-18 15:30:00,-1.5,-0.2,-1.300000
5,2023-06-19 15:30:00,-4.9,1.7,-6.600000
6,2023-05-23 15:30:00,2.9,0.7,2.200000
7,2023-04-19 15:30:00,-1.7,0.0,-1.700000
8,2023-03-17 15:30:00,-0.4,0.0,-0.400000
9,2023-02-17 15:30:00,-0.1,-0.2,0.100000
10,2023-01-18 15:30:00,-3.1,-1.3,-1.800000
11,2022-11-18 15:30:00,1.3,0.2,1.100000
12,2022-10-19 15:30:00,-3.2,-3.5,0.300000
13,2022-09-19 15:30:00,-4.2,3.2,-7.400000
14,2022-02-28 15:30:00,6.5,4.9,1.600000
15,2022-01-31 15:30:00,-2.9,-1.3,-1.600000
16,2020-08-31 15:30:00,3.0,6.9,-3.900000
17,2020-07-31 15:30:00,7.5,6.9,0.600000
18,2020-06-29 15:30:00,16.4,-7.5,23.900000
19,2020-05-29 15:30:00,-13.4,-13.6,0.200000
20,2020-04-30 15:30:00,-15.6,-13.6,-2.000000
21,2020-01-31 15:30:00,2.8,-0.1,2.900000
22,2020-01-06 15:30:00,1.5,1.0,0.500000
23,2019-10-31 15:30:00,0.0,2.5,-2.500000
24,2019-08-30 15:30:00,1.2,1.6,-0.400000
25,2019-06-28 15:30:00,-2.3,1.1,-3.400000
26,2019-05-31 15:30:00,5.6,2.3,3.300000
27,2019-04-30 15:30:00,2.8,3.9,-1.100000
28,2019-02-28 15:30:00,3.8,4.1,-0.300000
29,2019-01-31 15:30:00,3.8,3.9,-0.100000
30,2018-11-30 15:30:00,-2.4,-5.2,2.800000
31,2018-10-31 15:30:00,-0.9,-0.5,-0.400000
32,2018-09-28 15:30:00,-4.6,0.8,-5.400000
33,2018-08-31 15:30:00,0.7,0.0,0.700000
34,2018-07-31 15:30:00,0.5,2.7,-2.200000
35,2018-06-29 15:30:00,3.8,1.2,2.600000
36,2018-05-30 15:30:00,0.7,2.1,-1.400000
37,2018-04-30 15:30:00,2.1,0.6,1.500000
38,2018-03-29 15:30:00,-0.3,2.8,-3.100000
39,2018-02-28 15:30:00,3.3,1.8,1.500000
40,2018-01-31 15:30:00,-0.9,-2.2,1.300000
41,2018-01-04 15:30:00,5.5,4.0,1.500000
42,2017-11-28 15:30:00,3.8,2.0,1.800000
43,2017-10-31 15:30:00,-0.1,0.4,-0.500000
44,2017-09-29 15:30:00,1.0,0.3,0.700000
45,2017-08-29 15:30:00,-0.6,-2.5,1.900000
46,2017-07-31 15:30:00,-3.7,-3.2,-0.500000
47,2017-06-30 15:30:00,-1.8,-1.0,-0.800000
48,2017-03-30 15:30:00,1.2,0.8,0.400000
49,2017-02-28 15:30:00,1.7,1.3,0.400000
50,2017-01-31 15:30:00,6.5,2.8,3.700000
51,2017-01-05 15:30:00,-2.0,-1.5,-0.500000
52,2016-11-30 15:30:00,3.3,3.2,0.100000
53,2016-10-31 15:30:00,-0.1,0.5,-0.600000
54,2016-09-30 15:30:00,-0.7,-1.0,0.300000
55,2016-08-30 15:30:00,-2.7,-1.2,-1.500000
56,2016-07-29 15:30:00,1.8,3.2,-1.400000
57,2016-06-30 15:30:00,6.7,5.0,1.700000
58,2016-05-30 15:30:00,0.7,2.2,-1.500000
59,2016-04-29 15:30:00,4.5,3.7,0.800000
60,2016-03-29 15:30:00,-2.6,-0.8,-1.800000
