,Date,Actual,Consensus,Difference
0,2023-10-20 15:30:00,0.1,0.0,0.100000
1,2023-09-22 15:30:00,1.0,0.5,0.500000
2,2023-08-23 15:30:00,-0.8,0.3,-1.100000
3,2023-07-21 15:30:00,0.0,0.3,-0.300000
4,2023-06-21 15:30:00,1.3,0.4,0.900000
5,2023-05-19 15:30:00,-0.3,-0.8,0.500000
6,2023-04-21 15:30:00,-0.7,-0.1,-0.600000
7,2023-03-24 15:30:00,0.9,0.6,0.300000
8,2023-02-21 15:30:00,-0.6,-0.3,-0.300000
9,2023-01-20 15:30:00,-0.6,-0.4,-0.200000
10,2022-12-20 15:30:00,1.7,1.4,0.300000
11,2022-11-22 15:30:00,-0.7,-0.6,-0.100000
12,2022-10-21 15:30:00,0.7,0.4,0.300000
13,2022-09-23 15:30:00,-3.1,-1.2,-1.900000
14,2022-08-19 15:30:00,0.8,0.9,-0.100000
15,2022-07-22 15:30:00,1.9,1.6,0.300000
16,2022-06-21 15:30:00,1.3,0.6,0.700000
17,2022-05-26 15:30:00,2.4,2.0,0.400000
18,2022-04-22 15:30:00,2.1,0.1,2.000000
19,2022-03-18 15:30:00,2.5,2.4,0.100000
20,2022-02-18 15:30:00,-2.5,-2.0,-0.500000
21,2022-01-21 15:30:00,1.1,1.3,-0.200000
22,2021-12-21 15:30:00,1.3,1.5,-0.200000
23,2021-11-19 15:30:00,-0.2,-1.0,0.800000
24,2021-10-22 15:30:00,2.8,2.8,0.000000
25,2021-09-23 15:30:00,-1.0,-1.5,0.500000
26,2021-08-20 15:30:00,4.7,4.6,0.100000
27,2021-07-23 15:30:00,-2.0,-2.2,0.200000
28,2021-06-23 15:30:00,-7.2,-5.0,-2.200000
29,2021-05-21 15:30:00,4.3,2.2,2.100000
30,2021-04-28 15:30:00,4.8,3.7,1.100000
31,2021-03-19 15:30:00,-1.2,-2.6,1.400000
32,2021-02-19 15:30:00,-4.1,-2.0,-2.100000
33,2021-01-22 15:30:00,2.1,0.3,1.800000
34,2020-12-18 15:30:00,0.0,0.2,-0.200000
35,2020-11-20 15:30:00,1.0,0.2,0.800000
36,2020-10-21 15:30:00,0.5,0.9,-0.400000
37,2020-09-18 15:30:00,-0.4,0.5,-0.900000
38,2020-08-21 15:30:00,15.7,15.0,0.700000
39,2020-07-21 15:30:00,10.6,12.0,-1.400000
40,2020-06-19 15:30:00,-22.0,-13.5,-8.500000
41,2020-05-22 15:30:00,-0.4,-5.0,4.600000
42,2020-04-30 15:30:00,-15.6,0.3,-15.900000
43,2020-04-21 15:30:00,0.0,0.3,-0.300000
44,2020-03-20 15:30:00,-0.1,0.2,-0.300000
45,2020-02-21 15:30:00,0.5,0.4,0.100000
46,2020-01-24 15:30:00,0.2,0.4,-0.200000
47,2019-12-20 15:30:00,-0.5,0.3,-0.800000
48,2019-11-22 15:30:00,0.2,0.1,0.100000
49,2019-10-22 15:30:00,-0.2,0.1,-0.300000
50,2019-09-20 15:30:00,-0.1,0.2,-0.300000
51,2019-08-23 15:30:00,0.9,-0.1,1.000000
52,2019-07-19 15:30:00,-0.3,0.3,-0.600000
53,2019-06-21 15:30:00,0.1,0.6,-0.500000
54,2019-05-22 15:30:00,1.7,0.9,0.800000
55,2019-04-18 15:30:00,0.6,0.2,0.400000
56,2019-03-22 15:30:00,0.1,0.2,-0.100000
57,2019-02-22 15:30:00,-0.5,-0.5,0.000000
58,2019-01-23 15:30:00,-0.6,-0.4,-0.200000
59,2018-12-21 15:30:00,0.0,0.2,-0.200000
60,2018-11-23 15:30:00,0.1,0.3,-0.200000
61,2018-10-19 15:30:00,-0.4,0.2,-0.600000
62,2018-09-21 15:30:00,0.9,0.6,0.300000
63,2018-08-22 15:30:00,-0.1,-0.1,0.000000
64,2018-07-20 15:30:00,1.4,0.7,0.700000
65,2018-06-22 15:30:00,-0.1,0.5,-0.600000
66,2018-05-18 15:30:00,-0.2,0.5,-0.700000
67,2018-04-20 15:30:00,0.0,0.3,-0.300000
68,2018-03-23 15:30:00,0.9,0.9,0.000000
69,2018-02-22 15:30:00,-1.8,0.1,-1.900000
70,2018-01-25 15:30:00,1.6,0.9,0.700000
71,2017-12-21 15:30:00,0.8,0.4,0.400000
72,2017-11-23 15:30:00,0.3,1.0,-0.700000
73,2017-10-20 15:30:00,-0.7,0.3,-1.000000
74,2017-09-22 15:30:00,0.2,0.4,-0.200000
75,2017-08-22 15:30:00,0.7,0.3,0.400000
76,2017-07-21 15:30:00,-0.1,0.3,-0.400000
77,2017-06-22 15:30:00,1.5,0.7,0.800000
78,2017-05-19 15:30:00,-0.2,0.2,-0.400000
79,2017-04-26 15:30:00,-0.1,-0.3,0.200000
80,2017-03-21 15:30:00,1.7,1.1,0.600000
81,2017-02-22 15:30:00,-0.3,0.6,-0.900000
82,2017-01-20 15:30:00,0.1,0.2,-0.100000
83,2016-12-22 15:30:00,1.4,0.7,0.700000
84,2016-11-22 15:30:00,0.0,0.5,-0.500000
85,2016-10-21 15:30:00,0.0,0.3,-0.300000
86,2016-09-23 15:30:00,-0.1,0.5,-0.600000
87,2016-08-19 15:30:00,-0.8,0.3,-1.100000
88,2016-07-22 15:30:00,0.9,0.3,0.600000
89,2016-06-22 15:30:00,1.3,0.6,0.700000
90,2016-05-20 15:30:00,-0.3,-0.4,0.100000
91,2016-04-22 15:30:00,0.2,-0.5,0.700000
92,2016-03-18 15:30:00,1.2,0.4,0.800000
93,2016-02-19 15:30:00,-1.6,-0.5,-1.100000
94,2016-01-22 15:30:00,1.1,0.4,0.700000
95,2015-12-23 15:30:00,0.0,0.4,-0.400000
96,2015-11-20 15:30:00,-0.5,-0.2,-0.300000
97,2015-10-22 15:30:00,0.0,0.1,-0.100000
98,2015-09-23 15:30:00,0.0,0.4,-0.400000
99,2015-08-21 15:30:00,0.8,0.5,0.300000
100,2015-07-23 15:30:00,0.9,0.8,0.100000
101,2015-06-19 15:30:00,-0.6,0.3,-0.900000
102,2015-05-22 15:30:00,0.5,0.4,0.100000
103,2015-04-17 15:30:00,2.0,0.5,1.500000
104,2015-03-20 15:30:00,-1.8,-0.4,-1.400000
105,2015-02-20 15:30:00,-2.3,-0.7,-1.600000
106,2015-01-23 15:30:00,0.7,0.5,0.200000
107,2014-12-19 15:30:00,0.2,0.1,0.100000
108,2014-11-25 15:30:00,0.0,0.4,-0.400000
109,2014-10-22 15:30:00,-0.3,0.3,-0.600000
110,2014-09-23 15:30:00,-0.6,-0.1,-0.500000
111,2014-08-22 15:30:00,1.5,0.4,1.100000
112,2014-07-23 15:30:00,0.1,0.3,-0.200000
113,2014-06-20 15:30:00,0.7,0.4,0.300000
114,2014-05-22 15:30:00,0.1,0.5,-0.400000
115,2014-04-23 15:30:00,0.6,0.6,0.000000
116,2014-03-21 15:30:00,1.0,0.9,0.100000
117,2014-02-21 15:30:00,-1.4,0.2,-1.600000
118,2014-01-23 15:30:00,0.4,0.3,0.100000
119,2013-12-20 15:30:00,0.4,0.0,0.400000
120,2013-11-22 15:30:00,0.0,0.4,-0.400000
121,2013-10-22 15:30:00,0.4,0.2,0.200000
122,2013-09-24 15:30:00,1.0,1.0,0.000000
123,2013-08-22 15:30:00,-0.8,0.1,-0.900000
124,2013-07-23 15:30:00,1.2,0.1,1.100000
125,2013-06-21 15:30:00,-0.3,0.0,-0.300000
126,2013-05-22 15:30:00,-0.2,0.2,-0.400000
127,2013-04-23 15:30:00,0.7,1.0,-0.300000
128,2013-03-21 15:30:00,0.5,0.4,0.100000
129,2013-02-22 15:30:00,-0.9,-0.1,-0.800000
130,2013-01-22 15:30:00,-0.3,0.0,-0.300000
131,2012-12-20 15:30:00,0.5,0.2,0.300000
132,2012-11-22 15:30:00,0.0,1.0,-1.000000
133,2012-10-23 15:30:00,0.4,0.2,0.200000
134,2012-09-25 15:30:00,0.4,0.3,0.100000
135,2012-08-22 15:30:00,-0.4,0.3,-0.700000
136,2012-07-24 15:30:00,0.5,0.2,0.300000
137,2012-06-21 15:30:00,-0.3,0.2,-0.500000
138,2012-05-23 15:30:00,0.1,1.0,-0.900000
139,2012-04-24 15:30:00,0.5,1.0,-0.500000
140,2012-03-22 15:30:00,-0.5,0.5,-1.000000
141,2012-02-21 15:30:00,0.0,0.2,-0.200000
142,2012-01-24 15:30:00,0.3,0.2,0.100000
143,2011-12-21 15:30:00,0.7,0.4,0.300000
144,2011-11-22 15:30:00,0.5,0.4,0.100000
145,2011-10-25 15:30:00,0.4,0.4,0.000000
146,2011-09-22 15:30:00,0.0,0.2,-0.200000
147,2011-08-23 15:30:00,-0.1,0.4,-0.500000
148,2011-07-22 15:30:00,0.5,0.4,0.100000
149,2011-06-21 15:30:00,0.0,0.6,-0.600000
150,2011-05-20 15:30:00,-0.1,0.8,-0.900000
151,2011-04-21 15:30:00,0.7,0.5,0.200000
152,2011-03-22 15:30:00,0.0,0.7,-0.700000
153,2011-02-22 15:30:00,0.6,0.7,-0.100000
154,2011-01-21 15:30:00,1.0,0.6,0.400000
155,2010-12-21 15:30:00,0.9,0.7,0.200000
156,2010-11-23 15:30:00,0.4,0.4,0.000000
157,2010-10-22 15:30:00,0.4,0.5,-0.100000
158,2010-09-22 15:30:00,-0.4,0.5,-0.900000
159,2010-08-24 15:30:00,-0.5,0.1,-0.600000
160,2010-07-22 15:30:00,-0.1,0.5,-0.600000
161,2010-05-21 15:30:00,1.7,0.5,1.200000
162,2010-04-23 15:30:00,-0.1,0.9,-1.000000
163,2010-03-19 15:30:00,1.8,0.5,1.300000
164,2010-02-19 15:30:00,0.4,0.4,0.000000
165,2010-01-22 15:30:00,0.0,0.2,-0.200000
166,2009-12-21 15:30:00,0.2,0.5,-0.300000
167,2009-11-23 15:30:00,1.1,0.4,0.700000
168,2009-10-22 15:30:00,0.5,0.5,0.000000
169,2009-09-22 15:30:00,-0.8,0.1,-0.900000
170,2009-08-24 15:30:00,1.0,0.2,0.800000
171,2009-07-22 15:30:00,0.7,0.3,0.400000
172,2009-06-19 15:30:00,-0.5,-0.1,-0.400000
173,2009-05-22 15:30:00,-0.2,-0.2,0.000000
174,2009-04-23 15:30:00,0.6,0.2,0.400000
175,2009-03-20 15:30:00,1.3,0.3,1.000000
176,2009-02-23 15:30:00,-3.2,-2.0,-1.200000
177,2009-01-22 15:30:00,-2.3,-1.5,-0.800000
178,2008-12-18 15:30:00,-1.1,-1.0,-0.100000
179,2008-11-25 15:30:00,0.8,0.2,0.600000
180,2008-10-22 15:30:00,-0.3,0.3,-0.600000
181,2008-09-22 15:30:00,0.4,0.3,0.100000
182,2008-08-20 15:30:00,1.4,0.5,0.900000
183,2008-07-22 15:30:00,0.4,0.8,-0.400000
184,2008-06-20 15:30:00,1.1,0.5,0.600000
185,2008-05-22 16:30:00,0.0,0.4,-0.400000
186,2008-04-23 15:30:00,-0.3,0.4,-0.700000
187,2008-03-25 15:30:00,1.3,0.5,0.800000
188,2008-02-22 15:30:00,-0.4,0.4,-0.800000
