,Date,Actual,Consensus,Difference
0,2023-11-07 15:30:00,2.04,1.0,1.040000
1,2023-10-05 15:30:00,0.72,-1.5,2.220000
2,2023-09-06 15:30:00,-0.99,-3.65,2.660000
3,2023-08-08 15:30:00,-3.73,-2.9,-0.830000
4,2023-07-06 15:30:00,-3.44,1.15,-4.590000
5,2023-06-07 15:30:00,1.94,0.9,1.040000
6,2023-05-04 15:30:00,0.97,0.2,0.770000
7,2023-04-05 15:30:00,0.42,1.8,-1.380000
8,2023-03-08 15:30:00,1.92,-0.06,1.980000
9,2023-02-07 15:30:00,-0.16,-0.5,0.340000
10,2023-01-05 15:30:00,-0.04,0.61,-0.650000
11,2022-12-06 15:30:00,1.21,1.2,0.010000
12,2022-11-03 15:30:00,1.14,1.34,-0.200000
13,2022-10-05 15:30:00,1.52,3.45,-1.930000
14,2022-09-07 15:30:00,4.05,3.8,0.250000
15,2022-08-04 15:30:00,5.05,4.8,0.250000
16,2022-07-07 15:30:00,5.32,2.4,2.920000
17,2022-06-07 15:30:00,1.5,2.9,-1.400000
18,2022-05-04 15:30:00,2.49,3.9,-1.410000
19,2022-04-05 15:30:00,2.66,2.9,-0.240000
20,2022-03-08 15:30:00,2.62,1.6,1.020000
21,2022-02-08 15:30:00,-0.14,2.5,-2.640000
22,2022-01-06 15:30:00,3.13,2.03,1.100000
23,2021-12-07 15:30:00,2.09,2.0,0.090000
24,2021-11-04 15:30:00,1.86,1.55,0.310000
25,2021-10-05 15:30:00,1.94,0.43,1.510000
26,2021-09-02 15:30:00,0.78,1.4,-0.620000
27,2021-08-05 15:30:00,3.23,-0.68,3.910000
28,2021-07-02 15:30:00,-1.39,0.37,-1.760000
29,2021-06-08 15:30:00,0.59,-0.7,1.290000
30,2021-05-04 15:30:00,-1.14,0.7,-1.840000
31,2021-04-07 15:30:00,1.04,1.0,0.040000
32,2021-03-05 15:30:00,1.41,-1.4,2.810000
33,2021-02-05 15:30:00,-1.67,-3.0,1.330000
34,2021-01-07 15:30:00,-3.34,-3.5,0.160000
35,2020-12-04 15:30:00,-3.76,-3.0,-0.760000
36,2020-11-04 15:30:00,-3.25,-2.6,-0.650000
37,2020-10-06 15:30:00,-2.45,-2.0,-0.450000
38,2020-09-03 15:30:00,-2.45,-2.5,0.050000
39,2020-08-05 15:30:00,-3.19,-0.9,-2.290000
