,Date,Actual,Consensus,Difference
0,2023-11-15 15:30:00,0.4,0.0,0.400000
1,2023-10-16 15:30:00,2.3,2.6,-0.300000
2,2023-09-14 15:30:00,0.2,1.4,-1.200000
3,2023-08-16 15:30:00,-2.8,-4.2,1.400000
4,2023-07-17 15:30:00,3.5,3.5,0.000000
5,2023-06-16 15:30:00,-1.4,1.6,-3.000000
6,2023-05-15 15:30:00,-0.1,-0.4,0.300000
7,2023-04-24 15:30:00,-0.4,0.3,-0.700000
8,2023-04-17 15:30:00,-1.7,-1.6,-0.100000
9,2023-03-16 15:30:00,2.4,3.0,-0.600000
10,2023-02-15 15:30:00,-0.8,-1.8,1.000000
11,2023-01-19 15:30:00,0.5,1.9,-1.400000
12,2022-12-16 15:30:00,2.1,1.3,0.800000
13,2022-11-22 15:30:00,1.3,0.4,0.900000
14,2022-11-15 15:30:00,0.1,-0.2,0.300000
15,2022-10-14 15:30:00,1.4,0.8,0.600000
16,2022-09-16 15:30:00,-0.6,-0.6,0.000000
17,2022-08-15 15:30:00,0.1,0.5,-0.400000
18,2022-07-26 15:30:00,0.5,2.0,-1.500000
19,2022-07-15 15:30:00,1.6,2.0,-0.400000
20,2022-06-16 15:30:00,-0.5,0.2,-0.700000
21,2022-05-24 15:30:00,0.2,0.9,-0.700000
22,2022-05-16 15:30:00,0.3,-0.3,0.600000
23,2022-04-14 15:30:00,-0.4,0.9,-1.300000
24,2022-03-16 15:30:00,4.2,3.9,0.300000
25,2022-02-16 15:30:00,0.6,2.7,-2.100000
26,2022-01-19 15:30:00,3.5,2.7,0.800000
27,2021-12-16 15:30:00,1.4,1.4,0.000000
28,2021-11-15 15:30:00,1.0,1.1,-0.100000
29,2021-10-15 15:30:00,0.3,0.5,-0.200000
30,2021-09-16 15:30:00,-2.1,-2.0,-0.100000
31,2021-08-16 15:30:00,-0.8,-2.0,1.200000
32,2021-07-16 15:30:00,0.5,1.1,-0.600000
33,2021-06-16 15:30:00,0.4,-0.9,1.300000
34,2021-05-14 15:30:00,2.8,1.0,1.800000
35,2021-04-16 15:30:00,-0.7,-0.4,-0.300000
36,2021-03-12 15:30:00,4.0,5.0,-1.000000
37,2021-02-12 15:30:00,-1.3,-1.5,0.200000
38,2021-01-19 15:30:00,0.7,1.0,-0.300000
39,2020-12-16 15:30:00,1.0,0.9,0.100000
40,2020-11-17 15:30:00,0.9,0.4,0.500000
41,2020-10-19 15:30:00,0.3,0.3,0.000000
42,2020-09-18 15:30:00,4.3,3.5,0.800000
43,2020-08-19 15:30:00,18.5,10.0,8.500000
44,2020-07-17 15:30:00,5.7,8.5,-2.800000
45,2020-06-18 15:30:00,-21.6,-12.6,-9.000000
46,2020-05-20 15:30:00,-2.2,-3.8,1.600000
47,2020-04-20 15:30:00,0.7,-0.4,1.100000
48,2020-03-23 15:30:00,1.8,-0.2,2.000000
49,2020-02-24 15:30:00,0.9,0.5,0.400000
50,2020-01-22 15:30:00,-1.2,-0.3,-0.900000
51,2019-12-19 15:30:00,-1.1,-0.1,-1.000000
52,2019-11-25 15:30:00,1.0,0.3,0.700000
53,2019-10-23 15:30:00,-1.2,0.3,-1.500000
54,2019-09-23 15:30:00,1.7,-0.1,1.800000
55,2019-08-22 15:30:00,0.6,-0.2,0.800000
56,2019-07-22 15:30:00,-1.8,0.5,-2.300000
57,2019-06-25 15:30:00,1.7,0.2,1.500000
58,2019-05-23 15:30:00,1.4,0.9,0.500000
59,2019-04-23 15:30:00,0.3,0.1,0.200000
60,2019-03-21 15:30:00,0.6,0.5,0.100000
61,2019-02-21 15:30:00,0.3,-0.1,0.400000
62,2019-01-22 15:30:00,-1.0,0.1,-1.100000
63,2018-12-20 15:30:00,1.0,0.2,0.800000
64,2018-11-21 15:30:00,-0.5,0.1,-0.600000
65,2018-10-22 15:30:00,-0.1,0.1,-0.200000
