,Date,Actual,Consensus,Difference
0,2023-11-17 12:00:00,2.9,2.9,0.000000
1,2023-10-31 13:00:00,2.9,3.1,-0.200000
2,2023-10-18 12:00:00,4.3,4.3,0.000000
3,2023-09-29 12:00:00,4.3,4.5,-0.200000
4,2023-09-19 12:00:00,5.2,5.3,-0.100000
5,2023-08-31 12:00:00,5.3,5.1,0.200000
6,2023-08-18 12:00:00,5.3,5.3,0.000000
7,2023-07-31 12:00:00,5.3,5.3,0.000000
8,2023-07-19 12:00:00,5.5,5.5,0.000000
9,2023-06-30 12:00:00,5.5,5.6,-0.100000
10,2023-06-16 12:00:00,6.1,6.1,0.000000
11,2023-06-01 12:00:00,6.1,6.3,-0.200000
12,2023-05-17 12:00:00,7.0,7.0,0.000000
13,2023-05-02 12:00:00,7.0,7.0,0.000000
14,2023-04-19 12:00:00,6.9,6.9,0.000000
15,2023-03-31 12:00:00,6.9,7.1,-0.200000
16,2023-03-17 13:00:00,8.5,8.5,0.000000
17,2023-03-02 12:00:00,8.5,8.2,0.300000
18,2023-02-23 12:00:00,8.6,8.6,0.000000
19,2023-02-01 12:00:00,8.5,9.0,-0.500000
20,2023-01-18 12:00:00,9.2,9.2,0.000000
21,2023-01-06 12:00:00,9.2,9.7,-0.500000
22,2022-12-16 12:00:00,10.1,10.0,0.100000
23,2022-11-30 12:00:00,10.0,10.4,-0.400000
24,2022-11-17 12:00:00,10.6,10.7,-0.100000
25,2022-10-31 13:00:00,10.7,10.2,0.500000
26,2022-10-19 12:00:00,9.9,10.0,-0.100000
27,2022-09-30 12:00:00,10.0,9.7,0.300000
28,2022-09-16 12:00:00,9.1,9.1,0.000000
29,2022-08-31 12:00:00,9.1,9.0,0.100000
30,2022-08-18 12:00:00,8.9,8.9,0.000000
31,2022-07-29 12:00:00,8.9,8.6,0.300000
32,2022-07-19 12:00:00,8.6,8.6,0.000000
33,2022-07-01 12:00:00,8.6,8.4,0.200000
34,2022-06-17 12:00:00,8.1,8.1,0.000000
35,2022-05-31 12:00:00,8.1,7.7,0.400000
36,2022-05-18 12:00:00,7.4,7.5,-0.100000
37,2022-04-29 12:00:00,7.5,7.5,0.000000
38,2022-04-21 12:00:00,7.4,7.5,-0.100000
39,2022-04-01 12:00:00,7.5,6.6,0.900000
40,2022-03-17 13:00:00,5.9,5.8,0.100000
41,2022-03-02 12:00:00,5.8,5.3,0.500000
42,2022-02-23 12:00:00,5.1,5.1,0.000000
43,2022-02-02 12:00:00,5.1,4.4,0.700000
44,2022-01-20 12:00:00,5.0,5.0,0.000000
45,2022-01-07 12:00:00,5.0,4.7,0.300000
46,2021-12-17 12:00:00,4.9,4.9,0.000000
47,2021-11-30 12:00:00,4.9,4.5,0.400000
48,2021-11-17 12:00:00,4.1,4.1,0.000000
49,2021-10-29 12:00:00,4.1,3.7,0.400000
50,2021-10-20 12:00:00,3.4,3.4,0.000000
51,2021-10-01 12:00:00,3.4,3.3,0.100000
52,2021-09-17 12:00:00,3.0,3.0,0.000000
53,2021-08-31 12:00:00,3.0,2.7,0.300000
54,2021-08-18 12:00:00,2.2,2.2,0.000000
55,2021-07-30 12:00:00,2.2,2.0,0.200000
56,2021-07-16 12:00:00,1.9,1.9,0.000000
57,2021-06-30 12:00:00,1.9,1.9,0.000000
58,2021-06-17 12:00:00,2.0,2.0,0.000000
59,2021-06-01 12:00:00,2.0,1.9,0.100000
60,2021-05-19 12:00:00,1.6,1.6,0.000000
61,2021-04-30 12:00:00,1.6,1.6,0.000000
