,Date,Actual,Consensus,Difference
0,2023-11-15 12:00:00,-1.1,-1.0,-0.100000
1,2023-10-13 12:00:00,0.6,0.1,0.500000
2,2023-09-13 12:00:00,-1.1,-0.7,-0.400000
3,2023-08-16 12:00:00,0.5,-0.1,0.600000
4,2023-07-13 12:00:00,0.2,0.3,-0.100000
5,2023-06-14 12:00:00,1.0,1.0,0.000000
6,2023-05-15 12:00:00,-4.1,-2.5,-1.600000
7,2023-04-13 12:00:00,1.5,1.0,0.500000
8,2023-03-15 13:00:00,0.7,0.4,0.300000
9,2023-02-15 12:00:00,-1.1,-0.8,-0.300000
10,2023-01-13 12:00:00,1.0,0.5,0.500000
11,2022-12-14 12:00:00,-2.0,-1.5,-0.500000
12,2022-11-14 12:00:00,0.9,0.3,0.600000
13,2022-10-12 12:00:00,1.5,0.6,0.900000
14,2022-09-14 12:00:00,-2.3,-1.0,-1.300000
15,2022-08-12 12:00:00,0.7,0.2,0.500000
16,2022-07-13 12:00:00,0.8,0.3,0.500000
17,2022-06-15 12:00:00,0.4,-2.0,2.400000
18,2022-05-13 12:00:00,-1.8,-2.0,0.200000
19,2022-04-20 12:00:00,0.7,0.2,0.500000
20,2022-03-15 13:00:00,0.0,0.1,-0.100000
21,2022-02-16 12:00:00,1.2,0.3,0.900000
22,2022-01-12 12:00:00,2.3,0.5,1.800000
23,2021-12-14 12:00:00,1.1,1.2,-0.100000
24,2021-11-12 12:00:00,-0.2,-0.5,0.300000
25,2021-10-13 12:00:00,-1.6,-1.6,0.000000
26,2021-09-15 12:00:00,1.5,0.6,0.900000
27,2021-08-12 12:00:00,-0.3,-0.2,-0.100000
28,2021-07-14 12:00:00,-1.0,-0.2,-0.800000
29,2021-06-14 12:00:00,0.8,0.4,0.400000
30,2021-05-12 12:00:00,0.1,0.7,-0.600000
31,2021-04-14 12:00:00,-1.0,-1.1,0.100000
32,2021-03-12 12:00:00,0.8,0.2,0.600000
33,2021-02-15 12:00:00,-1.6,-1.0,-0.600000
34,2021-01-13 12:00:00,2.5,0.2,2.300000
35,2020-12-14 12:00:00,2.1,2.0,0.100000
36,2020-11-12 12:00:00,-0.4,0.7,-1.100000
37,2020-10-14 12:00:00,0.7,0.8,-0.100000
38,2020-09-14 12:00:00,4.1,4.0,0.100000
39,2020-08-12 12:00:00,9.1,10.0,-0.900000
40,2020-07-14 12:00:00,12.4,15.0,-2.600000
41,2020-06-12 12:00:00,-17.1,-20.0,2.900000
42,2020-05-13 12:00:00,-11.3,-12.1,0.800000
43,2020-04-16 12:00:00,-0.1,-0.2,0.100000
44,2020-03-12 13:00:00,2.3,1.4,0.900000
45,2020-02-12 12:00:00,-2.1,-1.6,-0.500000
46,2020-01-15 12:00:00,0.2,0.3,-0.100000
47,2019-12-12 12:00:00,-0.5,-0.5,0.000000
48,2019-11-13 12:00:00,0.1,-0.3,0.400000
49,2019-10-14 12:00:00,0.4,0.3,0.100000
50,2019-09-12 12:00:00,-0.4,-0.1,-0.300000
51,2019-08-14 12:00:00,-1.6,-1.4,-0.200000
52,2019-07-12 12:00:00,0.9,0.2,0.700000
53,2019-06-13 12:00:00,-0.5,-0.5,0.000000
54,2019-05-14 12:00:00,-0.3,-0.3,0.000000
55,2019-04-12 12:00:00,-0.2,-0.5,0.300000
56,2019-03-13 13:00:00,1.4,1.0,0.400000
57,2019-02-13 12:00:00,-0.9,-0.4,-0.500000
58,2019-01-14 12:00:00,-1.7,-1.5,-0.200000
59,2018-12-12 12:00:00,0.2,0.2,0.000000
60,2018-11-14 12:00:00,-0.3,-0.4,0.100000
61,2018-10-12 12:00:00,1.0,0.4,0.600000
62,2018-09-12 12:00:00,-0.8,-0.5,-0.300000
63,2018-08-14 12:00:00,-0.7,-0.3,-0.400000
64,2018-07-12 12:00:00,1.3,1.2,0.100000
65,2018-06-13 12:00:00,-0.9,-0.5,-0.400000
66,2018-05-15 12:00:00,0.5,0.6,-0.100000
67,2018-04-12 12:00:00,-0.8,0.1,-0.900000
68,2018-03-14 13:00:00,-1.0,-0.4,-0.600000
69,2018-02-14 12:00:00,0.4,0.1,0.300000
70,2018-01-11 12:00:00,1.0,0.8,0.200000
71,2017-12-13 12:00:00,0.2,-0.2,0.400000
72,2017-11-14 12:00:00,-0.6,-0.6,0.000000
73,2017-10-12 12:00:00,1.4,0.5,0.900000
74,2017-09-13 12:00:00,0.1,0.1,0.000000
75,2017-08-14 12:00:00,-0.6,-0.5,-0.100000
76,2017-07-12 12:00:00,1.3,1.1,0.200000
77,2017-06-14 12:00:00,0.5,0.5,0.000000
78,2017-05-12 12:00:00,-0.1,0.3,-0.400000
79,2017-04-11 12:00:00,-0.3,0.1,-0.400000
80,2017-03-14 13:00:00,0.9,1.3,-0.400000
81,2017-02-14 12:00:00,-1.6,-1.5,-0.100000
82,2017-01-12 12:00:00,1.5,0.5,1.000000
83,2016-12-14 12:00:00,-0.1,0.2,-0.300000
84,2016-11-14 12:00:00,-0.8,-1.0,0.200000
85,2016-10-12 12:00:00,1.6,1.5,0.100000
86,2016-09-14 12:00:00,-1.1,-0.9,-0.200000
87,2016-08-12 12:00:00,0.6,0.5,0.100000
88,2016-07-13 12:00:00,-1.2,-0.8,-0.400000
89,2016-06-14 12:00:00,1.1,0.8,0.300000
90,2016-05-12 12:00:00,-0.8,0.1,-0.900000
91,2016-04-13 12:00:00,-0.8,-0.7,-0.100000
92,2016-03-14 13:00:00,2.1,1.7,0.400000
93,2016-02-12 12:00:00,-1.0,0.3,-1.300000
94,2016-01-13 12:00:00,-0.7,-0.3,-0.400000
95,2015-12-14 12:00:00,0.6,0.3,0.300000
96,2015-11-12 12:00:00,-0.3,-0.1,-0.200000
97,2015-10-14 12:00:00,-0.5,-0.5,0.000000
98,2015-09-14 12:00:00,0.6,0.3,0.300000
99,2015-08-12 12:00:00,-0.4,-0.2,-0.200000
100,2015-07-14 12:00:00,-0.4,0.2,-0.600000
101,2015-06-12 12:00:00,0.1,0.3,-0.200000
102,2015-05-13 12:00:00,-0.3,0.2,-0.500000
103,2015-04-14 12:00:00,1.1,0.4,0.700000
104,2015-03-12 13:00:00,-0.1,0.2,-0.300000
105,2015-02-12 12:00:00,0.0,0.2,-0.200000
106,2015-01-14 12:00:00,0.2,0.2,0.000000
107,2014-12-12 12:00:00,0.1,0.1,0.000000
108,2014-11-12 12:00:00,0.6,1.0,-0.400000
109,2014-10-14 12:00:00,-1.8,-1.6,-0.200000
110,2014-09-12 12:00:00,1.0,0.5,0.500000
111,2014-08-13 12:00:00,-0.3,0.3,-0.600000
112,2014-07-14 12:00:00,-1.1,-1.2,0.100000
113,2014-06-12 12:00:00,0.8,0.4,0.400000
114,2014-05-14 12:00:00,-0.3,-0.3,0.000000
115,2014-04-14 12:00:00,0.2,0.2,0.000000
116,2014-03-12 13:00:00,-0.2,0.5,-0.700000
117,2014-02-12 12:00:00,-0.7,-0.3,-0.400000
118,2014-01-14 12:00:00,1.8,1.4,0.400000
119,2013-12-12 12:00:00,-1.1,0.3,-1.400000
120,2013-11-13 12:00:00,-0.5,-0.3,-0.200000
121,2013-10-14 12:00:00,1.0,0.8,0.200000
122,2013-09-12 12:00:00,-1.5,0.1,-1.600000
123,2013-08-13 12:00:00,0.7,0.8,-0.100000
124,2013-07-12 12:00:00,-0.3,-0.2,-0.100000
125,2013-06-12 12:00:00,0.4,-0.2,0.600000
126,2013-05-14 12:00:00,1.0,0.4,0.600000
127,2013-04-12 12:00:00,0.4,0.1,0.300000
128,2013-03-13 13:00:00,-0.4,-0.1,-0.300000
129,2013-02-13 12:00:00,0.7,0.2,0.500000
130,2013-01-14 12:00:00,-0.3,0.1,-0.400000
131,2012-12-12 12:00:00,-1.4,0.2,-1.600000
132,2012-11-14 12:00:00,-2.5,-1.9,-0.600000
133,2012-10-12 12:00:00,0.6,-0.4,1.000000
134,2012-09-12 12:00:00,0.6,-0.1,0.700000
135,2012-08-14 12:00:00,-0.6,-0.7,0.100000
