,Date,Actual,Consensus,Difference
0,2023-11-06 11:00:00,46.5,46.5,0.000000
1,2023-10-24 11:00:00,46.5,47.4,-0.900000
2,2023-10-04 11:00:00,47.2,47.1,0.100000
3,2023-09-22 11:00:00,47.1,46.5,0.600000
4,2023-09-05 11:00:00,46.7,47.0,-0.300000
5,2023-08-23 11:00:00,47.0,48.5,-1.500000
6,2023-08-03 11:00:00,48.6,48.9,-0.300000
7,2023-07-24 11:00:00,48.9,49.7,-0.800000
8,2023-07-05 11:00:00,49.9,50.3,-0.400000
9,2023-06-23 11:00:00,50.3,52.5,-2.200000
10,2023-06-05 11:00:00,52.8,53.3,-0.500000
11,2023-05-23 11:00:00,53.3,53.7,-0.400000
12,2023-05-04 11:00:00,54.1,54.4,-0.300000
13,2023-04-21 11:00:00,54.4,53.7,0.700000
14,2023-04-05 11:00:00,53.7,54.1,-0.400000
15,2023-03-24 12:00:00,54.1,51.9,2.200000
16,2023-03-03 11:00:00,52.0,52.3,-0.300000
17,2023-02-21 11:00:00,52.3,50.6,1.700000
18,2023-02-03 11:00:00,50.3,50.2,0.100000
19,2023-01-24 11:00:00,50.2,49.8,0.400000
20,2023-01-04 11:00:00,49.3,48.8,0.500000
21,2022-12-16 11:00:00,48.8,48.0,0.800000
22,2022-12-05 11:00:00,47.8,47.8,0.000000
23,2022-11-23 11:00:00,47.8,47.0,0.800000
24,2022-11-04 12:00:00,47.3,47.1,0.200000
25,2022-10-24 11:00:00,47.1,47.5,-0.400000
26,2022-10-05 11:00:00,48.1,48.2,-0.100000
27,2022-09-23 11:00:00,48.2,48.2,0.000000
28,2022-09-05 11:00:00,48.9,49.2,-0.300000
29,2022-08-23 11:00:00,49.2,49.0,0.200000
30,2022-08-03 11:00:00,49.9,49.4,0.500000
31,2022-07-22 11:00:00,49.4,51.0,-1.600000
32,2022-07-05 11:00:00,52.0,51.9,0.100000
33,2022-06-23 11:00:00,51.9,54.0,-2.100000
34,2022-06-03 11:00:00,54.8,54.9,-0.100000
35,2022-05-24 11:00:00,54.9,55.3,-0.400000
36,2022-05-04 11:00:00,55.8,55.8,0.000000
37,2022-04-22 11:00:00,55.8,53.9,1.900000
38,2022-04-05 11:00:00,54.9,54.5,0.400000
39,2022-03-24 12:00:00,54.5,53.9,0.600000
40,2022-03-03 11:00:00,55.5,55.8,-0.300000
41,2022-02-21 11:00:00,55.8,52.7,3.100000
42,2022-02-03 11:00:00,52.3,52.4,-0.100000
43,2022-01-24 11:00:00,52.4,52.6,-0.200000
44,2022-01-05 11:00:00,53.3,53.4,-0.100000
45,2021-12-16 11:00:00,53.4,54.0,-0.600000
46,2021-12-03 11:00:00,55.4,55.8,-0.400000
47,2021-11-23 11:00:00,55.8,53.2,2.600000
48,2021-11-04 12:00:00,54.2,54.3,-0.100000
49,2021-10-22 11:00:00,54.3,55.2,-0.900000
50,2021-10-05 11:00:00,56.2,56.1,0.100000
51,2021-09-23 11:00:00,56.1,58.5,-2.400000
52,2021-09-03 11:00:00,59.0,59.5,-0.500000
53,2021-08-23 11:00:00,59.5,59.7,-0.200000
54,2021-08-04 11:00:00,60.2,60.6,-0.400000
55,2021-07-23 11:00:00,60.6,60.0,0.600000
56,2021-07-05 11:00:00,59.5,59.2,0.300000
57,2021-06-23 11:00:00,59.2,58.8,0.400000
58,2021-06-03 11:00:00,57.1,56.9,0.200000
59,2021-05-21 11:00:00,56.9,55.1,1.800000
60,2021-05-05 11:00:00,53.8,53.7,0.100000
61,2021-04-23 11:00:00,53.7,52.8,0.900000
62,2021-04-07 11:00:00,53.2,52.5,0.700000
63,2021-03-24 12:00:00,52.5,49.1,3.400000
64,2021-03-03 11:00:00,48.8,48.1,0.700000
65,2021-02-19 11:00:00,48.1,48.0,0.100000
66,2021-02-03 11:00:00,47.8,47.5,0.300000
67,2021-01-22 11:00:00,47.5,47.6,-0.100000
68,2021-01-06 11:00:00,49.1,49.8,-0.700000
69,2020-12-16 11:00:00,49.8,45.8,4.000000
70,2020-12-03 11:00:00,45.3,45.1,0.200000
71,2020-11-23 11:00:00,45.1,45.8,-0.700000
72,2020-11-04 11:00:00,50.0,49.4,0.600000
73,2020-10-23 11:00:00,49.4,49.3,0.100000
74,2020-10-05 11:00:00,50.4,50.1,0.300000
75,2020-09-23 11:00:00,50.1,51.7,-1.600000
76,2020-09-03 11:00:00,51.9,51.6,0.300000
77,2020-08-21 11:00:00,51.6,54.9,-3.300000
78,2020-08-05 11:00:00,54.9,54.8,0.100000
79,2020-07-24 11:00:00,54.8,51.1,3.700000
80,2020-07-03 11:00:00,48.5,47.5,1.000000
81,2020-06-23 11:00:00,47.5,42.4,5.100000
82,2020-06-03 11:00:00,31.9,30.5,1.400000
