,Date,Actual,Consensus,Difference
0,2023-11-02 12:00:00,43.1,43.0,0.100000
1,2023-10-24 11:00:00,43.0,43.7,-0.700000
2,2023-10-02 11:00:00,43.4,43.4,0.000000
3,2023-09-22 11:00:00,43.4,44.0,-0.600000
4,2023-09-01 11:00:00,43.5,43.7,-0.200000
5,2023-08-23 11:00:00,43.7,42.6,1.100000
6,2023-08-01 11:00:00,42.7,42.7,0.000000
7,2023-07-24 11:00:00,42.7,43.5,-0.800000
8,2023-07-03 11:00:00,43.4,43.6,-0.200000
9,2023-06-23 11:00:00,43.6,44.8,-1.200000
10,2023-06-01 11:00:00,44.8,44.6,0.200000
11,2023-05-23 11:00:00,44.6,46.2,-1.600000
12,2023-05-02 11:00:00,45.8,45.5,0.300000
13,2023-04-21 11:00:00,45.5,48.0,-2.500000
14,2023-04-03 11:00:00,47.3,47.1,0.200000
15,2023-03-24 12:00:00,47.1,49.0,-1.900000
16,2023-03-01 11:00:00,48.5,48.5,0.000000
17,2023-02-21 11:00:00,48.5,49.3,-0.800000
18,2023-02-01 11:00:00,48.8,48.8,0.000000
19,2023-01-24 11:00:00,48.8,48.5,0.300000
20,2023-01-02 11:00:00,47.8,47.8,0.000000
21,2022-12-16 11:00:00,47.8,47.1,0.700000
22,2022-12-01 11:00:00,47.1,47.3,-0.200000
23,2022-11-23 11:00:00,47.3,46.0,1.300000
24,2022-11-02 12:00:00,46.4,46.6,-0.200000
25,2022-10-24 11:00:00,46.6,47.8,-1.200000
26,2022-10-03 11:00:00,48.4,48.5,-0.100000
27,2022-09-23 11:00:00,48.5,48.7,-0.200000
28,2022-09-01 11:00:00,49.6,49.7,-0.100000
29,2022-08-23 11:00:00,49.7,49.0,0.700000
30,2022-08-01 11:00:00,49.8,49.6,0.200000
31,2022-07-22 11:00:00,49.6,51.0,-1.400000
32,2022-07-01 11:00:00,52.1,52.0,0.100000
33,2022-06-23 11:00:00,52.0,53.9,-1.900000
34,2022-06-01 11:00:00,54.6,54.4,0.200000
35,2022-05-24 11:00:00,54.4,54.9,-0.500000
36,2022-05-02 11:00:00,55.5,55.3,0.200000
37,2022-04-22 11:00:00,55.3,54.7,0.600000
38,2022-04-01 11:00:00,56.5,57.0,-0.500000
39,2022-03-24 12:00:00,57.0,56.0,1.000000
40,2022-03-01 11:00:00,58.2,58.4,-0.200000
41,2022-02-21 11:00:00,58.4,58.7,-0.300000
42,2022-02-01 11:00:00,58.7,59.0,-0.300000
43,2022-01-24 11:00:00,59.0,57.5,1.500000
44,2022-01-03 11:00:00,58.0,58.0,0.000000
45,2021-12-16 11:00:00,58.0,57.8,0.200000
46,2021-12-01 11:00:00,58.4,58.6,-0.200000
47,2021-11-23 11:00:00,58.6,57.3,1.300000
48,2021-11-02 12:00:00,58.3,58.5,-0.200000
49,2021-10-22 11:00:00,58.5,57.0,1.500000
50,2021-10-01 11:00:00,58.6,58.7,-0.100000
51,2021-09-23 11:00:00,58.7,60.3,-1.600000
52,2021-09-01 11:00:00,61.4,61.5,-0.100000
53,2021-08-23 11:00:00,61.5,62.0,-0.500000
54,2021-08-02 11:00:00,62.8,62.6,0.200000
55,2021-07-23 11:00:00,62.6,62.5,0.100000
56,2021-07-01 11:00:00,63.4,63.1,0.300000
57,2021-06-23 11:00:00,63.1,62.1,1.000000
58,2021-06-01 11:00:00,63.1,62.8,0.300000
