,Date,Actual,Consensus,Difference
0,2023-11-06 11:00:00,47.8,47.8,0.000000
1,2023-10-24 11:00:00,47.8,48.7,-0.900000
2,2023-10-04 11:00:00,48.7,48.4,0.300000
3,2023-09-22 11:00:00,48.4,47.7,0.700000
4,2023-09-05 11:00:00,47.9,48.3,-0.400000
5,2023-08-23 11:00:00,48.3,50.5,-2.200000
6,2023-08-03 11:00:00,50.9,51.1,-0.200000
7,2023-07-24 11:00:00,51.1,51.5,-0.400000
8,2023-07-05 11:00:00,52.0,52.4,-0.400000
9,2023-06-23 11:00:00,52.4,54.5,-2.100000
10,2023-06-05 11:00:00,55.1,55.9,-0.800000
11,2023-05-23 11:00:00,55.9,55.6,0.300000
12,2023-05-04 11:00:00,56.2,56.6,-0.400000
13,2023-04-21 11:00:00,56.6,54.5,2.100000
14,2023-04-05 11:00:00,55.0,55.6,-0.600000
15,2023-03-24 12:00:00,55.6,52.5,3.100000
16,2023-03-03 11:00:00,52.7,53.0,-0.300000
17,2023-02-21 11:00:00,53.0,51.0,2.000000
18,2023-02-03 11:00:00,50.8,50.7,0.100000
19,2023-01-24 11:00:00,50.7,50.2,0.500000
20,2023-01-04 11:00:00,49.8,49.1,0.700000
21,2022-12-16 11:00:00,49.1,48.5,0.600000
22,2022-12-05 11:00:00,48.5,48.6,-0.100000
23,2022-11-23 11:00:00,48.6,48.0,0.600000
24,2022-11-04 12:00:00,48.6,48.2,0.400000
25,2022-10-24 11:00:00,48.2,48.2,0.000000
26,2022-10-05 11:00:00,48.8,48.9,-0.100000
27,2022-09-23 11:00:00,48.9,49.0,-0.100000
28,2022-09-05 11:00:00,49.8,50.2,-0.400000
29,2022-08-23 11:00:00,50.2,50.5,-0.300000
30,2022-08-03 11:00:00,51.2,50.6,0.600000
31,2022-07-22 11:00:00,50.6,52.0,-1.400000
32,2022-07-05 11:00:00,53.0,52.8,0.200000
33,2022-06-23 11:00:00,52.8,55.5,-2.700000
34,2022-06-03 11:00:00,56.1,56.3,-0.200000
35,2022-05-24 11:00:00,56.3,57.5,-1.200000
36,2022-05-04 11:00:00,57.7,57.7,0.000000
37,2022-04-22 11:00:00,57.7,55.0,2.700000
38,2022-04-05 11:00:00,55.6,54.8,0.800000
39,2022-03-24 12:00:00,54.8,54.2,0.600000
40,2022-03-03 11:00:00,55.5,55.8,-0.300000
41,2022-02-21 11:00:00,55.8,52.0,3.800000
42,2022-02-03 11:00:00,51.1,51.2,-0.100000
43,2022-01-24 11:00:00,51.2,52.2,-1.000000
44,2022-01-05 11:00:00,53.1,53.3,-0.200000
45,2021-12-16 11:00:00,53.3,54.1,-0.800000
46,2021-12-03 11:00:00,55.9,56.6,-0.700000
47,2021-11-23 11:00:00,56.6,53.5,3.100000
48,2021-11-04 12:00:00,54.6,54.7,-0.100000
49,2021-10-22 11:00:00,54.7,55.5,-0.800000
50,2021-10-05 11:00:00,56.4,56.3,0.100000
51,2021-09-23 11:00:00,56.3,58.5,-2.200000
52,2021-09-03 11:00:00,59.0,59.7,-0.700000
53,2021-08-23 11:00:00,59.7,59.8,-0.100000
54,2021-08-04 11:00:00,59.8,60.4,-0.600000
55,2021-07-23 11:00:00,60.4,59.5,0.900000
56,2021-07-05 11:00:00,58.3,58.0,0.300000
57,2021-06-23 11:00:00,58.0,57.8,0.200000
58,2021-06-03 11:00:00,55.2,55.1,0.100000
59,2021-05-21 11:00:00,55.1,52.3,2.800000
60,2021-05-05 11:00:00,50.5,50.3,0.200000
61,2021-04-23 11:00:00,50.3,49.1,1.200000
62,2021-04-07 11:00:00,49.6,48.8,0.800000
63,2021-03-24 12:00:00,48.8,46.0,2.800000
64,2021-03-03 11:00:00,45.7,44.7,1.000000
65,2021-02-19 11:00:00,44.7,45.9,-1.200000
66,2021-02-03 11:00:00,45.4,45.0,0.400000
67,2021-01-22 11:00:00,45.0,44.5,0.500000
68,2021-01-06 11:00:00,46.4,47.3,-0.900000
69,2020-12-16 11:00:00,47.3,41.9,5.400000
70,2020-12-03 11:00:00,41.7,41.3,0.400000
71,2020-11-23 11:00:00,41.3,42.5,-1.200000
72,2020-11-04 11:00:00,46.9,46.2,0.700000
73,2020-10-23 11:00:00,46.2,47.0,-0.800000
74,2020-10-05 11:00:00,48.0,47.6,0.400000
75,2020-09-23 11:00:00,47.6,50.5,-2.900000
76,2020-09-03 11:00:00,50.5,50.1,0.400000
77,2020-08-21 11:00:00,50.1,54.5,-4.400000
78,2020-08-05 11:00:00,54.7,55.1,-0.400000
79,2020-07-24 11:00:00,55.1,51.0,4.100000
80,2020-07-03 11:00:00,48.3,47.3,1.000000
81,2020-06-23 11:00:00,47.3,41.0,6.300000
82,2020-06-03 11:00:00,30.5,28.7,1.800000
83,2020-05-21 11:00:00,28.7,25.0,3.700000
84,2020-05-06 11:00:00,12.0,11.7,0.300000
