,Date,Actual,Consensus,Difference
0,2023-11-03 13:00:00,6.5,6.4,0.100000
1,2023-10-02 12:00:00,6.4,6.4,0.000000
2,2023-08-31 12:00:00,6.4,6.4,0.000000
3,2023-08-01 12:00:00,6.4,6.5,-0.100000
4,2023-06-30 12:00:00,6.5,6.5,0.000000
5,2023-06-01 12:00:00,6.5,6.5,0.000000
6,2023-05-03 12:00:00,6.5,6.6,-0.100000
7,2023-03-31 12:00:00,6.6,6.7,-0.100000
8,2023-03-02 12:00:00,6.7,6.6,0.100000
9,2023-02-01 12:00:00,6.6,6.5,0.100000
10,2023-01-09 12:00:00,6.5,6.5,0.000000
11,2022-12-01 12:00:00,6.5,6.6,-0.100000
12,2022-11-03 13:00:00,6.6,6.6,0.000000
13,2022-09-30 12:00:00,6.6,6.6,0.000000
14,2022-09-01 12:00:00,6.6,6.6,0.000000
15,2022-08-01 12:00:00,6.6,6.6,0.000000
16,2022-06-30 12:00:00,6.6,6.8,-0.200000
17,2022-06-01 12:00:00,6.8,6.8,0.000000
18,2022-05-03 12:00:00,6.8,6.7,0.100000
19,2022-03-31 12:00:00,6.8,6.7,0.100000
20,2022-03-03 12:00:00,6.8,7.0,-0.200000
21,2022-02-01 12:00:00,7.0,7.1,-0.100000
22,2022-01-10 12:00:00,7.2,7.2,0.000000
23,2021-12-02 12:00:00,7.3,7.3,0.000000
24,2021-11-03 13:00:00,7.4,7.4,0.000000
25,2021-09-30 12:00:00,7.5,7.5,0.000000
26,2021-09-01 12:00:00,7.6,7.6,0.000000
27,2021-07-30 12:00:00,7.7,7.9,-0.200000
28,2021-07-01 12:00:00,7.9,8.0,-0.100000
29,2021-06-01 12:00:00,8.0,8.1,-0.100000
30,2021-04-30 12:00:00,8.1,8.3,-0.200000
31,2021-04-06 12:00:00,8.3,8.1,0.200000
32,2021-03-04 12:00:00,8.1,8.3,-0.200000
33,2021-02-01 12:00:00,8.3,8.3,0.000000
34,2021-01-08 12:00:00,8.3,8.5,-0.200000
35,2020-12-02 12:00:00,8.4,8.4,0.000000
36,2020-10-30 13:00:00,8.3,8.3,0.000000
37,2020-10-01 12:00:00,8.1,8.1,0.000000
38,2020-09-01 12:00:00,7.9,8.0,-0.100000
39,2020-07-30 12:00:00,7.8,7.7,0.100000
40,2020-07-02 12:00:00,7.4,7.7,-0.300000
41,2020-06-03 12:00:00,7.3,8.2,-0.900000
42,2020-04-30 12:00:00,7.4,7.7,-0.300000
43,2020-04-01 12:00:00,7.3,7.4,-0.100000
44,2020-03-03 12:00:00,7.4,7.4,0.000000
45,2020-01-30 12:00:00,7.4,7.5,-0.100000
46,2020-01-09 12:00:00,7.5,7.5,0.000000
47,2019-11-29 12:00:00,7.5,7.5,0.000000
48,2019-10-31 13:00:00,7.5,7.4,0.100000
49,2019-09-30 12:00:00,7.4,7.5,-0.100000
50,2019-08-30 12:00:00,7.5,7.5,0.000000
51,2019-07-31 12:00:00,7.5,7.5,0.000000
52,2019-07-01 12:00:00,7.5,7.6,-0.100000
53,2019-06-04 12:00:00,7.6,7.7,-0.100000
54,2019-04-30 12:00:00,7.7,7.8,-0.100000
55,2019-04-01 12:00:00,7.8,7.8,0.000000
56,2019-03-01 12:00:00,7.8,7.9,-0.100000
57,2019-01-31 12:00:00,7.9,7.9,0.000000
58,2019-01-09 12:00:00,7.9,8.1,-0.200000
59,2018-11-30 12:00:00,8.1,8.0,0.100000
60,2018-10-31 13:00:00,8.1,8.1,0.000000
61,2018-10-01 12:00:00,8.1,8.1,0.000000
62,2018-08-31 12:00:00,8.2,8.2,0.000000
63,2018-07-31 12:00:00,8.3,8.3,0.000000
64,2018-07-02 12:00:00,8.4,8.5,-0.100000
65,2018-05-31 12:00:00,8.5,8.4,0.100000
66,2018-05-02 12:00:00,8.5,8.5,0.000000
67,2018-04-04 12:00:00,8.5,8.5,0.000000
68,2018-03-01 12:00:00,8.6,8.6,0.000000
69,2018-01-31 12:00:00,8.7,8.7,0.000000
70,2018-01-09 12:00:00,8.7,8.7,0.000000
71,2017-11-30 12:00:00,8.8,8.9,-0.100000
72,2017-10-31 13:00:00,8.9,9.0,-0.100000
73,2017-10-02 12:00:00,9.1,9.0,0.100000
74,2017-08-31 12:00:00,9.1,9.1,0.000000
75,2017-07-31 12:00:00,9.1,9.2,-0.100000
76,2017-07-03 12:00:00,9.3,9.2,0.100000
77,2017-05-31 12:00:00,9.3,9.4,-0.100000
78,2017-05-02 12:00:00,9.5,9.4,0.100000
79,2017-04-03 12:00:00,9.5,9.5,0.000000
80,2017-03-02 12:00:00,9.6,9.6,0.000000
81,2017-01-31 12:00:00,9.6,9.8,-0.200000
82,2017-01-09 12:00:00,9.8,9.8,0.000000
83,2016-12-01 12:00:00,9.8,10.0,-0.200000
84,2016-11-03 13:00:00,10.0,10.0,0.000000
85,2016-09-30 12:00:00,10.1,10.0,0.100000
86,2016-08-31 12:00:00,10.1,10.0,0.100000
87,2016-07-29 12:00:00,10.1,10.1,0.000000
88,2016-07-01 12:00:00,10.1,10.1,0.000000
89,2016-05-31 12:00:00,10.2,10.2,0.000000
90,2016-04-29 12:00:00,10.2,10.3,-0.100000
91,2016-04-04 12:00:00,10.3,10.3,0.000000
92,2016-03-01 12:00:00,10.3,10.4,-0.100000
93,2016-02-02 12:00:00,10.4,10.5,-0.100000
94,2016-01-07 12:00:00,10.5,10.7,-0.200000
95,2015-12-01 12:00:00,10.7,10.8,-0.100000
96,2015-10-30 13:00:00,10.8,11.0,-0.200000
97,2015-09-30 12:00:00,11.0,10.9,0.100000
