,Date,Actual,Consensus,Difference
0,2023-10-27 09:45:00,84.0,83.0,1.000000
1,2023-09-27 09:45:00,83.0,84.0,-1.000000
2,2023-08-29 09:45:00,85.0,85.0,0.000000
3,2023-07-26 09:45:00,85.0,86.0,-1.000000
4,2023-06-28 09:45:00,85.0,84.0,1.000000
5,2023-05-26 09:45:00,83.0,84.0,-1.000000
6,2023-04-26 09:45:00,83.0,81.0,2.000000
7,2023-03-29 09:45:00,81.0,81.0,0.000000
8,2023-02-24 09:45:00,82.0,80.0,2.000000
9,2023-01-27 09:45:00,80.0,83.0,-3.000000
10,2023-01-04 09:45:00,82.0,84.0,-2.000000
11,2022-11-25 09:45:00,83.0,83.0,0.000000
12,2022-10-26 09:45:00,82.0,77.0,5.000000
13,2022-09-28 09:45:00,79.0,80.0,-1.000000
14,2022-08-26 09:45:00,82.0,79.0,3.000000
15,2022-07-27 09:45:00,80.0,80.0,0.000000
16,2022-06-28 09:45:00,82.0,84.0,-2.000000
17,2022-05-25 09:45:00,86.0,89.0,-3.000000
18,2022-04-27 09:45:00,88.0,92.0,-4.000000
19,2022-03-29 09:45:00,91.0,94.0,-3.000000
20,2022-02-24 09:45:00,98.0,100.0,-2.000000
21,2022-01-26 09:45:00,99.0,98.0,1.000000
22,2022-01-05 09:45:00,100.0,97.0,3.000000
23,2021-11-26 09:45:00,99.0,98.0,1.000000
24,2021-10-27 09:45:00,99.0,101.0,-2.000000
25,2021-09-28 09:45:00,102.0,100.0,2.000000
26,2021-08-27 09:45:00,99.0,100.0,-1.000000
27,2021-07-28 09:45:00,101.0,102.0,-1.000000
28,2021-06-29 09:45:00,102.0,100.0,2.000000
29,2021-05-26 09:45:00,97.0,97.0,0.000000
30,2021-04-28 09:45:00,94.0,93.0,1.000000
31,2021-03-30 09:45:00,94.0,91.0,3.000000
32,2021-02-25 09:45:00,91.0,92.0,-1.000000
33,2021-01-27 09:45:00,92.0,94.0,-2.000000
34,2021-01-06 09:45:00,95.0,91.0,4.000000
35,2020-11-26 09:45:00,90.0,92.0,-2.000000
36,2020-10-28 10:45:00,94.0,93.0,1.000000
37,2020-09-29 09:45:00,95.0,93.0,2.000000
38,2020-08-26 09:45:00,94.0,94.0,0.000000
39,2020-07-29 09:45:00,94.0,99.0,-5.000000
40,2020-06-26 09:45:00,97.0,95.0,2.000000
41,2020-05-27 08:30:00,93.0,92.0,1.000000
42,2020-04-28 09:45:00,95.0,83.0,12.000000
43,2020-03-27 10:45:00,103.0,92.0,11.000000
44,2020-02-26 09:45:00,104.0,103.0,1.000000
45,2020-01-29 09:45:00,104.0,102.0,2.000000
46,2020-01-08 09:45:00,102.0,104.0,-2.000000
47,2019-11-27 09:45:00,106.0,103.0,3.000000
48,2019-10-29 10:45:00,104.0,104.0,0.000000
49,2019-09-25 09:45:00,104.0,102.0,2.000000
50,2019-08-27 09:45:00,102.0,102.0,0.000000
51,2019-07-26 09:45:00,102.0,101.0,1.000000
52,2019-06-26 09:45:00,101.0,100.0,1.000000
53,2019-05-28 09:45:00,99.0,97.0,2.000000
54,2019-04-26 09:45:00,96.0,97.0,-1.000000
55,2019-03-27 10:45:00,96.0,96.0,0.000000
56,2019-02-26 09:45:00,95.0,92.0,3.000000
57,2019-01-29 09:45:00,91.0,88.0,3.000000
58,2019-01-09 09:45:00,87.0,90.0,-3.000000
59,2018-11-27 09:45:00,92.0,94.0,-2.000000
60,2018-10-26 09:45:00,95.0,94.0,1.000000
61,2018-09-26 09:45:00,94.0,97.0,-3.000000
62,2018-08-28 09:45:00,97.0,97.0,0.000000
63,2018-07-26 09:45:00,97.0,98.0,-1.000000
64,2018-06-27 09:45:00,97.0,100.0,-3.000000
65,2018-05-29 11:00:00,100.0,101.0,-1.000000
66,2018-04-25 09:45:00,101.0,100.0,1.000000
67,2018-03-28 09:45:00,100.0,100.0,0.000000
68,2018-02-27 09:45:00,100.0,103.0,-3.000000
69,2018-01-26 09:45:00,104.0,106.0,-2.000000
70,2018-01-05 09:45:00,105.0,103.0,2.000000
71,2017-11-28 09:45:00,102.0,101.0,1.000000
72,2017-10-27 09:45:00,100.0,101.0,-1.000000
73,2017-09-27 09:45:00,101.0,103.0,-2.000000
74,2017-08-25 09:45:00,103.0,103.0,0.000000
75,2017-07-26 09:45:00,104.0,108.0,-4.000000
76,2017-06-28 09:45:00,108.0,103.0,5.000000
77,2017-05-30 09:45:00,102.0,101.0,1.000000
78,2017-04-26 09:45:00,100.0,100.0,0.000000
79,2017-03-29 09:45:00,100.0,100.0,0.000000
80,2017-02-24 09:45:00,100.0,100.0,0.000000
81,2017-01-27 09:45:00,100.0,100.0,0.000000
82,2017-01-04 09:45:00,99.0,99.0,0.000000
83,2016-11-25 09:45:00,98.0,98.0,0.000000
84,2016-10-26 09:45:00,98.0,98.0,0.000000
85,2016-09-28 09:45:00,97.0,97.0,0.000000
86,2016-07-27 09:45:00,96.0,96.0,0.000000
87,2016-06-28 09:45:00,97.0,97.0,0.000000
88,2016-05-27 09:45:00,98.0,94.0,4.000000
89,2016-04-27 09:45:00,94.0,95.0,-1.000000
90,2016-03-25 10:45:00,94.0,96.0,-2.000000
91,2016-02-24 09:45:00,95.0,97.0,-2.000000
92,2016-01-27 09:45:00,97.0,96.0,1.000000
93,2016-01-06 09:45:00,96.0,95.0,1.000000
94,2015-11-25 09:45:00,96.0,95.0,1.000000
95,2015-10-28 10:45:00,96.0,97.0,-1.000000
96,2015-09-25 09:45:00,97.0,94.0,3.000000
97,2015-09-04 09:45:00,93.0,94.0,-1.000000
98,2015-07-29 09:45:00,93.0,94.0,-1.000000
99,2015-06-26 09:45:00,94.0,93.0,1.000000
100,2015-05-27 09:45:00,93.0,95.0,-2.000000
101,2015-04-28 09:45:00,94.0,94.0,0.000000
102,2015-03-27 10:45:00,93.0,93.0,0.000000
103,2015-02-25 09:45:00,92.0,91.0,1.000000
104,2015-01-28 09:45:00,90.0,91.0,-1.000000
105,2015-01-06 09:45:00,90.0,88.0,2.000000
106,2014-11-26 09:45:00,87.0,86.0,1.000000
107,2014-10-29 10:45:00,85.0,86.0,-1.000000
108,2014-09-26 09:45:00,86.0,86.0,0.000000
109,2014-09-05 09:45:00,86.0,85.0,1.000000
110,2014-07-30 09:45:00,86.0,86.0,0.000000
111,2014-06-26 09:45:00,86.0,85.0,1.000000
112,2014-05-27 09:45:00,85.0,85.0,0.000000
113,2014-04-29 09:45:00,85.0,88.0,-3.000000
114,2014-03-27 10:45:00,88.0,85.0,3.000000
115,2014-02-27 09:45:00,85.0,86.0,-1.000000
116,2014-01-28 09:45:00,86.0,85.0,1.000000
117,2014-01-07 09:45:00,85.0,84.0,1.000000
118,2013-11-27 09:45:00,84.0,85.0,-1.000000
119,2013-10-29 10:45:00,85.0,85.0,0.000000
120,2013-09-26 09:45:00,85.0,85.0,0.000000
121,2013-09-06 09:45:00,84.0,83.0,1.000000
122,2013-07-26 09:45:00,82.0,79.0,3.000000
123,2013-06-27 09:45:00,78.0,81.0,-3.000000
124,2013-05-28 09:45:00,79.0,85.0,-6.000000
125,2013-04-26 09:45:00,84.0,84.0,0.000000
126,2013-03-26 10:45:00,84.0,85.0,-1.000000
127,2013-02-27 09:45:00,86.0,86.0,0.000000
128,2013-01-29 09:45:00,86.0,86.0,0.000000
129,2012-12-27 09:45:00,86.0,84.0,2.000000
130,2012-11-27 09:45:00,84.0,83.0,1.000000
131,2012-10-26 09:45:00,84.0,84.0,0.000000
132,2012-09-26 09:45:00,85.0,86.0,-1.000000
133,2012-07-27 09:45:00,87.0,90.0,-3.000000
134,2012-06-26 09:45:00,90.0,89.0,1.000000
135,2012-05-25 09:45:00,90.0,89.0,1.000000
136,2012-04-24 09:45:00,88.0,87.0,1.000000
137,2012-03-27 09:45:00,87.0,83.0,4.000000
138,2012-02-24 09:45:00,82.0,82.0,0.000000
139,2012-01-26 09:45:00,81.0,81.0,0.000000
140,2012-01-05 09:45:00,80.0,77.0,3.000000
141,2011-11-25 09:45:00,79.0,79.0,0.000000
142,2011-10-25 09:45:00,82.0,78.0,4.000000
143,2011-09-23 09:45:00,80.0,83.0,-3.000000
144,2011-07-26 09:45:00,86.0,81.0,5.000000
145,2011-06-24 09:45:00,83.0,83.0,0.000000
146,2011-05-26 09:45:00,84.0,82.0,2.000000
147,2011-04-27 09:45:00,83.0,82.0,1.000000
148,2011-03-25 10:45:00,83.0,84.0,-1.000000
149,2011-02-24 09:45:00,85.0,84.0,1.000000
150,2011-01-27 09:45:00,85.0,85.0,0.000000
151,2011-01-04 09:45:00,86.0,83.0,3.000000
