,Date,Actual,Consensus,Difference
0,2023-11-15 09:45:00,0.1,0.1,0.000000
1,2023-10-31 10:45:00,0.1,0.2,-0.100000
2,2023-10-13 09:45:00,-0.5,-0.5,0.000000
3,2023-09-29 09:45:00,-0.5,-0.3,-0.200000
4,2023-09-15 09:45:00,1.0,1.0,0.000000
5,2023-08-31 09:45:00,1.0,0.8,0.200000
6,2023-08-11 09:45:00,0.1,0.0,0.100000
7,2023-07-28 09:45:00,0.0,0.2,-0.200000
8,2023-07-13 09:45:00,0.2,0.2,0.000000
9,2023-06-30 09:45:00,0.2,0.2,0.000000
10,2023-06-15 09:45:00,-0.1,-0.1,0.000000
11,2023-05-31 09:45:00,-0.1,0.4,-0.500000
12,2023-05-12 09:45:00,0.6,0.6,0.000000
13,2023-04-28 09:45:00,0.6,0.4,0.200000
14,2023-04-14 09:45:00,0.7,0.8,-0.100000
15,2023-03-31 09:45:00,0.8,0.8,0.000000
16,2023-03-15 10:45:00,1.1,0.9,0.200000
17,2023-02-28 09:45:00,0.9,0.7,0.200000
18,2023-02-17 09:45:00,0.4,0.4,0.000000
19,2023-01-31 09:45:00,0.4,0.5,-0.100000
20,2023-01-13 09:45:00,-0.1,-0.1,0.000000
21,2023-01-04 09:45:00,-0.1,0.4,-0.500000
22,2022-12-15 09:45:00,0.3,0.4,-0.100000
23,2022-11-30 09:45:00,0.4,0.4,0.000000
24,2022-11-15 09:45:00,1.0,1.0,0.000000
25,2022-10-28 09:45:00,1.0,0.5,0.500000
26,2022-10-14 09:45:00,-0.6,-0.5,-0.100000
27,2022-09-30 09:45:00,-0.5,-0.1,-0.400000
28,2022-09-15 09:45:00,0.5,0.4,0.100000
29,2022-08-31 09:45:00,0.4,0.5,-0.100000
30,2022-08-12 09:45:00,0.3,0.3,0.000000
31,2022-07-29 09:45:00,0.3,0.3,0.000000
32,2022-07-13 09:45:00,0.7,0.7,0.000000
33,2022-06-30 09:45:00,0.7,0.7,0.000000
34,2022-06-15 09:45:00,0.7,0.6,0.100000
35,2022-05-13 09:45:00,0.4,0.4,0.000000
36,2022-04-29 09:45:00,0.4,0.2,0.200000
37,2022-04-15 09:45:00,1.4,1.4,0.000000
38,2022-03-31 09:45:00,1.4,1.3,0.100000
39,2022-03-15 10:45:00,0.8,0.7,0.100000
40,2022-02-25 09:45:00,0.7,0.3,0.400000
41,2022-02-18 09:45:00,0.3,0.3,0.000000
42,2022-02-01 09:45:00,0.3,-0.2,0.500000
43,2022-01-14 09:45:00,0.2,0.2,0.000000
44,2021-12-15 09:45:00,0.4,0.4,0.000000
45,2021-11-16 09:45:00,0.4,0.4,0.000000
46,2021-10-15 09:45:00,-0.2,-0.2,0.000000
47,2021-09-30 09:45:00,-0.2,-0.1,-0.100000
48,2021-09-15 09:45:00,0.6,0.6,0.000000
49,2021-08-13 09:45:00,0.1,0.1,0.000000
50,2021-07-30 09:45:00,0.1,-0.1,0.200000
51,2021-07-13 09:45:00,0.1,0.2,-0.100000
52,2021-06-15 09:45:00,0.3,0.3,0.000000
53,2021-04-30 09:45:00,0.2,0.2,0.000000
54,2021-04-15 09:45:00,0.6,0.6,0.000000
55,2021-03-16 10:45:00,0.0,-0.1,0.100000
56,2021-02-19 09:45:00,0.1,0.2,-0.100000
57,2021-02-02 09:45:00,0.2,-0.1,0.300000
58,2021-01-15 09:45:00,0.2,0.1,0.100000
59,2021-01-06 09:45:00,0.2,0.2,0.000000
60,2020-12-15 09:45:00,0.2,0.2,0.000000
61,2020-11-27 09:45:00,0.2,0.0,0.200000
62,2020-11-13 09:45:00,0.0,-0.1,0.100000
63,2020-10-15 09:45:00,-0.5,-0.5,0.000000
64,2020-09-15 09:45:00,-0.1,-0.1,0.000000
65,2020-08-14 09:45:00,0.4,0.4,0.000000
66,2020-07-31 09:45:00,0.4,-0.1,0.500000
67,2020-07-16 09:45:00,0.1,-0.1,0.200000
68,2020-06-12 09:45:00,0.1,0.0,0.100000
69,2020-05-29 09:45:00,0.0,0.0,0.000000
70,2020-04-15 09:45:00,-0.1,0.0,-0.100000
71,2020-03-31 09:45:00,0.0,0.0,0.000000
72,2020-03-13 10:45:00,0.0,0.0,0.000000
73,2020-02-28 09:45:00,0.0,0.0,0.000000
74,2020-02-20 09:45:00,-0.4,-0.4,0.000000
75,2020-01-15 09:45:00,0.5,0.4,0.100000
76,2019-12-12 09:45:00,-0.1,0.1,-0.200000
77,2019-11-14 09:45:00,0.0,-0.1,0.100000
78,2019-10-31 10:45:00,-0.1,0.1,-0.200000
79,2019-10-15 09:45:00,-0.3,-0.3,0.000000
80,2019-09-27 09:45:00,-0.3,-0.2,-0.100000
81,2019-09-12 09:45:00,0.5,0.5,0.000000
82,2019-08-14 09:45:00,-0.2,-0.2,0.000000
83,2019-07-31 09:45:00,-0.2,-0.3,0.100000
84,2019-07-11 09:45:00,0.3,0.2,0.100000
85,2019-06-28 09:45:00,0.2,0.0,0.200000
86,2019-06-14 09:45:00,0.8,0.2,0.600000
87,2019-05-29 09:45:00,0.2,0.3,-0.100000
88,2019-05-15 09:45:00,0.3,0.2,0.100000
89,2019-04-30 09:45:00,0.2,0.3,-0.100000
90,2019-04-11 09:45:00,0.8,0.8,0.000000
91,2019-03-29 10:45:00,0.8,0.9,-0.100000
92,2019-03-14 10:45:00,0.1,0.0,0.100000
93,2019-02-28 09:45:00,0.0,0.4,-0.400000
94,2019-02-21 09:45:00,-0.5,-0.5,0.000000
95,2019-01-31 09:45:00,-0.5,-0.5,0.000000
96,2019-01-15 09:45:00,0.0,0.0,0.000000
97,2019-01-04 09:45:00,0.0,0.1,-0.100000
98,2018-12-13 09:45:00,-0.2,-0.2,0.000000
99,2018-11-30 09:45:00,-0.2,-0.2,0.000000
100,2018-11-14 09:45:00,0.1,0.1,0.000000
101,2018-10-31 10:45:00,0.1,0.1,0.000000
102,2018-10-11 09:45:00,-0.2,-0.2,0.000000
103,2018-09-28 09:45:00,-0.2,-0.1,-0.100000
104,2018-09-13 09:45:00,0.5,0.5,0.000000
105,2018-08-31 09:45:00,0.5,0.5,0.000000
106,2018-08-14 09:45:00,-0.1,-0.1,0.000000
