,Date,Actual,Consensus,Difference
0,2023-11-15 09:45:00,4.0,4.0,0.000000
1,2023-10-31 10:45:00,4.0,4.0,0.000000
2,2023-10-13 09:45:00,4.9,4.9,0.000000
3,2023-09-29 09:45:00,4.9,5.1,-0.200000
4,2023-09-15 09:45:00,4.9,4.8,0.100000
5,2023-08-31 09:45:00,4.8,4.6,0.200000
6,2023-08-11 09:45:00,4.3,4.3,0.000000
7,2023-07-28 09:45:00,4.3,4.3,0.000000
8,2023-07-13 09:45:00,4.5,4.5,0.000000
9,2023-06-30 09:45:00,4.5,4.6,-0.100000
10,2023-06-15 09:45:00,5.1,5.1,0.000000
11,2023-05-31 09:45:00,5.1,5.7,-0.600000
12,2023-05-12 09:45:00,5.9,5.9,0.000000
13,2023-04-28 09:45:00,5.9,5.7,0.200000
14,2023-04-14 09:45:00,5.7,5.6,0.100000
15,2023-03-31 09:45:00,5.6,5.5,0.100000
16,2023-03-15 10:45:00,6.3,6.2,0.100000
17,2023-02-28 09:45:00,6.2,6.1,0.100000
18,2023-02-17 09:45:00,6.0,6.0,0.000000
19,2023-01-31 09:45:00,6.0,6.1,-0.100000
20,2023-01-13 09:45:00,5.9,5.9,0.000000
21,2023-01-04 09:45:00,5.9,6.4,-0.500000
22,2022-12-15 09:45:00,6.2,6.2,0.000000
23,2022-11-30 09:45:00,6.2,6.2,0.000000
24,2022-11-15 09:45:00,6.2,7.1,-0.900000
25,2022-10-28 09:45:00,6.2,5.7,0.500000
26,2022-10-14 09:45:00,5.6,5.6,0.000000
27,2022-09-30 09:45:00,5.6,5.9,-0.300000
28,2022-09-15 09:45:00,5.9,5.8,0.100000
29,2022-08-31 09:45:00,5.8,6.1,-0.300000
30,2022-08-12 09:45:00,6.1,6.1,0.000000
31,2022-07-29 09:45:00,6.1,6.0,0.100000
32,2022-07-13 09:45:00,5.8,6.5,-0.700000
33,2022-06-30 09:45:00,5.8,5.7,0.100000
34,2022-06-15 09:45:00,5.2,5.2,0.000000
35,2022-05-31 09:45:00,5.2,5.0,0.200000
36,2022-05-13 09:45:00,4.8,4.8,0.000000
37,2022-04-29 09:45:00,4.8,4.5,0.300000
38,2022-04-15 09:45:00,4.5,4.5,0.000000
39,2022-03-31 09:45:00,4.5,4.3,0.200000
40,2022-03-15 10:45:00,3.6,3.6,0.000000
