,Date,Actual,Consensus,Difference
0,2023-10-31 09:30:00,0.2,0.4,-0.200000
1,2023-09-29 09:45:00,-0.5,-0.5,0.000000
2,2023-08-31 09:45:00,0.3,0.3,0.000000
3,2023-07-28 08:30:00,0.9,0.1,0.800000
4,2023-06-30 09:45:00,0.5,0.5,0.000000
5,2023-05-31 09:45:00,-1.0,0.3,-1.300000
6,2023-04-28 08:30:00,-1.3,0.3,-1.600000
7,2023-03-31 09:45:00,-0.8,0.2,-1.000000
8,2023-02-28 09:45:00,1.5,0.4,1.100000
9,2023-01-31 08:30:00,-1.3,0.2,-1.500000
10,2023-01-06 09:45:00,0.5,1.0,-0.500000
11,2022-11-30 09:45:00,-2.8,-0.6,-2.200000
12,2022-10-28 08:30:00,1.2,1.1,0.100000
13,2022-09-30 09:45:00,0.0,-0.1,0.100000
14,2022-08-31 09:45:00,-0.8,-0.3,-0.500000
15,2022-07-29 08:30:00,0.2,-0.6,0.800000
16,2022-06-30 09:45:00,0.7,0.2,0.500000
17,2022-05-31 09:45:00,-0.4,0.8,-1.200000
18,2022-04-29 08:30:00,-1.3,1.2,-2.500000
19,2022-03-31 09:45:00,0.8,1.2,-0.400000
20,2022-02-25 09:45:00,-1.5,-0.5,-1.000000
21,2022-01-28 08:30:00,0.2,0.2,0.000000
22,2022-01-07 09:45:00,0.8,0.5,0.300000
23,2021-11-30 09:45:00,-0.4,0.3,-0.700000
24,2021-10-29 08:30:00,-0.2,0.3,-0.500000
25,2021-09-30 09:45:00,1.0,0.1,0.900000
26,2021-08-31 09:45:00,-2.2,-0.5,-1.700000
27,2021-07-30 08:30:00,0.3,1.4,-1.100000
28,2021-06-30 09:45:00,10.4,7.5,2.900000
29,2021-05-28 09:45:00,-8.3,0.4,-8.700000
30,2021-04-30 09:00:00,-1.1,0.4,-1.500000
31,2021-03-31 09:45:00,0.0,2.0,-2.000000
32,2021-02-26 09:45:00,-4.6,-3.5,-1.100000
33,2021-01-29 08:30:00,23.0,19.0,4.000000
34,2020-11-27 09:45:00,3.7,2.9,0.800000
35,2020-10-30 10:00:00,-5.1,-1.0,-4.100000
36,2020-09-30 09:45:00,2.3,-0.1,2.400000
37,2020-08-28 09:45:00,0.5,2.0,-1.500000
38,2020-07-31 09:45:00,9.0,3.2,5.800000
39,2020-06-30 09:45:00,36.6,30.0,6.600000
40,2020-05-29 09:45:00,-20.2,-15.0,-5.200000
41,2020-04-30 09:45:00,-17.9,-5.5,-12.400000
42,2020-03-31 09:45:00,-0.1,0.7,-0.800000
43,2020-02-28 09:45:00,-1.1,0.1,-1.200000
44,2020-01-31 09:45:00,-0.3,-0.1,-0.200000
45,2019-12-20 09:45:00,0.1,0.3,-0.200000
46,2019-11-29 09:45:00,0.2,0.3,-0.100000
47,2019-10-30 10:45:00,-0.4,0.1,-0.500000
48,2019-09-27 09:45:00,0.0,0.3,-0.300000
49,2019-08-29 09:45:00,0.4,0.3,0.100000
50,2019-07-30 09:45:00,-0.1,0.2,-0.300000
51,2019-06-28 09:45:00,0.4,0.2,0.200000
52,2019-05-29 09:45:00,0.8,0.5,0.300000
53,2019-04-30 09:45:00,-0.1,0.4,-0.500000
54,2019-03-29 10:45:00,-0.4,0.2,-0.600000
55,2019-02-28 09:45:00,1.2,0.5,0.700000
56,2019-01-30 09:45:00,-1.5,-0.3,-1.200000
57,2018-12-21 09:45:00,-0.3,0.0,-0.300000
58,2018-11-29 09:45:00,0.8,0.5,0.300000
59,2018-10-30 10:45:00,-1.7,-0.4,-1.300000
60,2018-09-28 09:45:00,0.8,0.3,0.500000
61,2018-08-29 09:45:00,0.1,0.1,0.000000
62,2018-07-27 09:45:00,0.1,0.6,-0.500000
63,2018-06-29 09:45:00,0.9,0.8,0.100000
64,2018-05-30 09:45:00,-1.5,0.2,-1.700000
65,2018-04-27 09:45:00,0.1,0.4,-0.300000
66,2018-03-30 09:45:00,2.4,2.1,0.300000
67,2018-02-28 09:45:00,-1.9,0.5,-2.400000
68,2018-01-30 09:45:00,-1.2,0.4,-1.600000
69,2017-12-22 09:45:00,2.2,1.5,0.700000
70,2017-11-29 09:45:00,-1.9,-0.1,-1.800000
71,2017-10-31 10:45:00,0.9,0.5,0.400000
72,2017-09-29 09:45:00,-0.3,0.3,-0.600000
73,2017-08-29 09:45:00,0.7,0.6,0.100000
74,2017-07-28 09:45:00,-0.8,-0.2,-0.600000
75,2017-06-30 09:45:00,1.0,0.5,0.500000
76,2017-05-30 09:45:00,0.5,0.7,-0.200000
77,2017-04-28 09:45:00,-0.4,0.5,-0.900000
78,2017-03-31 09:45:00,-0.8,0.1,-0.900000
79,2017-02-28 09:45:00,0.6,0.6,0.000000
80,2017-01-31 09:45:00,-0.8,0.2,-1.000000
81,2016-12-23 09:45:00,0.4,-0.1,0.500000
82,2016-11-29 09:45:00,0.9,0.4,0.500000
83,2016-10-28 09:45:00,-0.2,0.4,-0.600000
84,2016-09-30 09:45:00,0.7,0.5,0.200000
85,2016-08-31 09:45:00,-0.2,0.3,-0.500000
86,2016-07-29 09:45:00,-0.8,0.1,-0.900000
87,2016-06-30 09:45:00,-0.7,-0.1,-0.600000
88,2016-05-30 09:45:00,-0.1,0.1,-0.200000
89,2016-04-29 09:45:00,0.2,-0.1,0.300000
90,2016-03-31 09:45:00,0.6,0.1,0.500000
91,2016-02-26 09:45:00,0.6,0.6,0.000000
92,2016-01-29 09:45:00,0.7,0.5,0.200000
93,2015-12-23 09:45:00,-1.1,0.1,-1.200000
94,2015-11-27 09:45:00,-0.7,-0.1,-0.600000
95,2015-10-30 10:45:00,0.0,0.2,-0.200000
96,2015-09-30 09:50:00,0.0,0.2,-0.200000
97,2015-09-30 09:45:00,0.3,0.1,0.200000
98,2015-07-31 09:45:00,0.4,0.6,-0.200000
99,2015-06-30 09:45:00,0.1,-0.1,0.200000
100,2015-05-29 09:45:00,0.1,0.2,-0.100000
101,2015-04-30 09:45:00,-0.6,-0.3,-0.300000
102,2015-03-31 09:45:00,0.1,0.8,-0.700000
103,2015-02-27 09:45:00,0.6,-0.5,1.100000
104,2015-01-30 09:45:00,1.5,0.2,1.300000
105,2014-12-23 09:45:00,0.4,0.3,0.100000
106,2014-11-28 09:45:00,-0.9,0.2,-1.100000
107,2014-10-31 10:45:00,-0.8,-0.3,-0.500000
108,2014-09-30 09:45:00,0.7,-0.2,0.900000
109,2014-07-31 09:45:00,0.9,0.1,0.800000
110,2014-06-27 09:45:00,1.0,0.4,0.600000
111,2014-05-28 09:45:00,-0.3,0.3,-0.600000
112,2014-04-30 09:45:00,0.4,0.3,0.100000
113,2014-03-28 10:45:00,0.1,0.8,-0.700000
114,2014-02-28 09:45:00,-2.1,0.2,-2.300000
115,2014-01-31 09:45:00,-0.1,-0.4,0.300000
116,2013-12-24 09:45:00,1.4,0.4,1.000000
117,2013-11-29 09:45:00,-0.2,0.2,-0.400000
118,2013-10-31 10:45:00,-0.1,0.3,-0.400000
119,2013-09-27 09:45:00,0.4,0.4,0.000000
120,2013-07-31 09:45:00,-0.8,0.1,-0.900000
121,2013-06-28 09:45:00,0.5,-0.1,0.600000
122,2013-05-31 09:45:00,-0.3,-0.6,0.300000
123,2013-04-30 09:45:00,1.3,0.1,1.200000
124,2013-03-29 10:45:00,-0.2,0.4,-0.600000
125,2013-02-28 09:45:00,-0.8,-0.2,-0.600000
126,2013-01-31 09:45:00,0.0,0.2,-0.200000
127,2012-12-28 09:45:00,0.2,0.1,0.100000
128,2012-11-30 09:45:00,-0.2,-0.1,-0.100000
129,2012-10-31 10:45:00,0.1,0.2,-0.100000
130,2012-09-28 09:45:00,0.4,-0.1,0.500000
131,2012-07-31 09:45:00,0.1,0.1,0.000000
132,2012-06-29 09:45:00,0.4,-0.1,0.500000
133,2012-05-31 09:45:00,0.6,0.3,0.300000
134,2012-04-27 09:45:00,-2.9,-1.9,-1.000000
135,2012-03-30 09:45:00,3.0,0.2,2.800000
136,2012-02-29 09:45:00,-0.4,0.3,-0.700000
137,2012-01-31 09:45:00,-0.7,0.3,-1.000000
138,2012-01-04 09:45:00,-0.1,0.3,-0.400000
139,2011-11-30 09:45:00,0.0,0.2,-0.200000
140,2011-10-28 09:45:00,-0.5,0.1,-0.600000
141,2011-09-30 10:00:00,0.2,0.4,-0.200000
142,2011-09-30 09:45:00,-0.2,0.2,-0.400000
143,2011-07-29 09:45:00,1.2,0.4,0.800000
144,2011-06-30 09:45:00,-0.8,1.0,-1.800000
145,2011-05-31 09:45:00,-1.8,-0.3,-1.500000
146,2011-04-28 09:45:00,-0.7,0.3,-1.000000
147,2011-03-29 09:45:00,0.9,0.7,0.200000
148,2011-02-25 09:45:00,-0.5,-0.7,0.200000
149,2011-01-25 09:45:00,0.6,0.4,0.200000
150,2010-12-23 09:45:00,2.8,0.5,2.300000
151,2010-11-26 09:45:00,-0.7,0.2,-0.900000
152,2010-10-27 09:45:00,1.5,0.5,1.000000
153,2010-09-28 09:45:00,-1.6,-0.2,-1.400000
154,2010-07-23 09:45:00,-1.4,0.3,-1.700000
155,2010-06-24 09:45:00,0.7,0.3,0.400000
156,2010-05-26 09:45:00,-1.2,-0.5,-0.700000
157,2010-04-23 09:45:00,1.2,0.3,0.900000
158,2010-03-25 10:45:00,-1.2,0.3,-1.500000
159,2010-02-23 09:45:00,-2.7,-0.5,-2.200000
160,2010-01-26 09:45:00,2.1,0.8,1.300000
161,2009-12-23 09:45:00,-0.1,0.5,-0.600000
162,2009-11-24 09:50:00,1.1,0.5,0.600000
163,2009-10-23 09:45:00,2.3,0.0,2.300000
164,2009-09-23 09:50:00,-1.0,0.0,-1.000000
165,2009-09-23 09:45:00,-1.2,0.4,-1.600000
166,2009-07-22 09:45:00,1.4,0.4,1.000000
167,2009-06-23 09:45:00,-0.2,0.0,-0.200000
168,2009-05-26 09:45:00,0.7,-0.5,1.200000
169,2009-04-24 09:45:00,1.1,0.1,1.000000
170,2009-03-24 10:45:00,-2.0,-1.0,-1.000000
171,2009-02-24 09:45:00,1.8,0.2,1.600000
172,2009-01-22 09:45:00,-0.9,-0.2,-0.700000
173,2008-12-23 09:45:00,0.3,-0.1,0.400000
174,2008-11-21 09:45:00,-0.4,-0.5,0.100000
