,Date,Actual,Consensus,Difference
0,2023-11-03 10:45:00,-0.5,0.0,-0.500000
1,2023-10-05 09:45:00,-0.3,-0.4,0.100000
2,2023-09-08 09:45:00,0.8,0.1,0.700000
3,2023-08-04 09:45:00,-0.9,-0.3,-0.600000
4,2023-07-05 09:45:00,1.2,-0.2,1.400000
5,2023-06-02 09:45:00,0.8,0.3,0.500000
6,2023-05-05 09:45:00,-1.1,-0.3,-0.800000
7,2023-04-05 09:45:00,1.2,0.5,0.700000
8,2023-03-03 09:45:00,-1.9,0.1,-2.000000
9,2023-02-03 09:45:00,1.1,0.2,0.900000
10,2023-01-10 09:45:00,2.0,0.8,1.200000
11,2022-12-02 09:45:00,-2.6,0.0,-2.600000
12,2022-11-04 10:45:00,-0.8,-1.0,0.200000
13,2022-10-05 09:45:00,2.4,-0.3,2.700000
14,2022-09-09 09:45:00,-1.6,-0.5,-1.100000
15,2022-08-05 09:45:00,1.4,-0.2,1.600000
16,2022-07-05 09:45:00,0.0,0.2,-0.200000
17,2022-06-03 09:45:00,-0.1,0.3,-0.400000
18,2022-05-05 09:45:00,-0.5,0.2,-0.700000
19,2022-04-05 09:45:00,-0.9,0.2,-1.100000
20,2022-03-04 09:45:00,1.6,0.5,1.100000
21,2022-02-04 09:45:00,-0.2,0.5,-0.700000
22,2022-01-07 09:45:00,-0.4,0.5,-0.900000
23,2021-12-03 09:45:00,0.9,0.5,0.400000
24,2021-11-05 10:45:00,-1.3,0.4,-1.700000
25,2021-10-05 09:45:00,1.0,0.3,0.700000
26,2021-09-10 09:45:00,0.3,0.4,-0.100000
27,2021-08-05 09:45:00,0.5,0.6,-0.100000
28,2021-07-05 09:45:00,-0.3,0.8,-1.100000
29,2021-06-10 09:45:00,-0.1,0.5,-0.600000
30,2021-05-07 09:45:00,0.8,2.0,-1.200000
31,2021-04-09 09:45:00,-4.7,0.5,-5.200000
32,2021-03-10 09:45:00,3.3,0.5,2.800000
33,2021-02-10 09:45:00,-0.8,0.2,-1.000000
34,2021-01-08 09:45:00,-0.9,-1.0,0.100000
35,2020-12-10 09:45:00,1.6,0.4,1.200000
36,2020-11-10 09:45:00,1.4,0.8,0.600000
37,2020-10-09 09:45:00,1.3,1.7,-0.400000
38,2020-09-10 09:45:00,3.8,5.0,-1.200000
39,2020-08-07 09:45:00,12.7,8.9,3.800000
40,2020-07-10 09:45:00,19.6,15.1,4.500000
41,2020-06-10 09:45:00,-20.1,-20.0,-0.100000
42,2020-05-07 09:45:00,-16.2,-12.4,-3.800000
43,2020-04-10 09:45:00,0.9,0.1,0.800000
44,2020-03-10 10:45:00,1.2,1.8,-0.600000
45,2020-02-07 09:45:00,-2.8,-0.3,-2.500000
46,2020-01-10 09:45:00,0.3,0.1,0.200000
47,2019-12-10 09:45:00,0.4,0.3,0.100000
48,2019-11-08 09:45:00,0.3,0.3,0.000000
49,2019-10-10 09:45:00,-0.9,0.2,-1.100000
50,2019-09-10 09:45:00,0.3,0.5,-0.200000
51,2019-08-09 09:45:00,-2.3,2.1,-4.400000
52,2019-07-10 09:45:00,2.1,0.3,1.800000
53,2019-06-07 09:45:00,0.4,0.3,0.100000
54,2019-05-10 09:45:00,-0.9,-0.5,-0.400000
55,2019-04-10 09:45:00,0.4,-0.5,0.900000
56,2019-03-08 09:45:00,1.3,0.1,1.200000
57,2019-02-08 09:45:00,0.8,0.8,0.000000
58,2019-01-10 09:45:00,-1.3,0.0,-1.300000
59,2018-12-07 09:45:00,1.2,0.8,0.400000
60,2018-11-09 09:45:00,-1.8,-0.3,-1.500000
61,2018-10-10 09:45:00,0.3,0.1,0.200000
62,2018-09-07 09:45:00,0.7,0.2,0.500000
63,2018-08-10 09:45:00,0.6,0.5,0.100000
64,2018-07-10 09:45:00,-0.2,0.7,-0.900000
65,2018-06-08 09:45:00,-0.5,0.3,-0.800000
66,2018-05-09 09:45:00,-0.4,0.4,-0.800000
67,2018-04-10 09:45:00,1.2,1.5,-0.300000
68,2018-03-09 09:45:00,-2.0,-0.2,-1.800000
69,2018-02-09 09:45:00,0.5,0.1,0.400000
70,2018-01-10 09:45:00,-0.5,-0.4,-0.100000
71,2017-12-08 09:45:00,1.9,-0.1,2.000000
72,2017-11-10 09:45:00,0.6,0.6,0.000000
73,2017-10-10 09:45:00,-0.3,0.4,-0.700000
74,2017-09-08 09:45:00,0.5,0.6,-0.100000
75,2017-08-10 09:45:00,-1.1,-0.5,-0.600000
76,2017-07-07 09:45:00,1.9,0.5,1.400000
77,2017-06-09 09:45:00,-0.5,0.2,-0.700000
78,2017-05-10 09:45:00,2.0,1.0,1.000000
79,2017-04-07 09:45:00,-1.6,0.5,-2.100000
80,2017-03-10 09:45:00,-0.3,0.5,-0.800000
81,2017-02-10 09:45:00,-0.9,-0.7,-0.200000
82,2017-01-10 09:45:00,2.2,0.6,1.600000
83,2016-12-09 09:45:00,-0.2,0.6,-0.800000
84,2016-11-10 09:45:00,-1.1,-0.3,-0.800000
85,2016-10-07 09:45:00,2.1,0.7,1.400000
86,2016-09-09 09:45:00,-0.6,0.2,-0.800000
