,Date,Actual,Consensus,Difference
0,2023-11-02 11:50:00,42.8,42.6,0.200000
1,2023-10-24 10:15:00,42.6,44.4,-1.800000
2,2023-10-02 10:50:00,44.2,43.6,0.600000
3,2023-09-22 10:15:00,43.6,46.0,-2.400000
4,2023-09-01 10:50:00,46.0,46.4,-0.400000
5,2023-08-23 10:15:00,46.4,45.0,1.400000
6,2023-08-01 10:50:00,45.1,44.5,0.600000
7,2023-07-24 10:15:00,44.5,46.0,-1.500000
8,2023-07-03 10:50:00,46.0,45.5,0.500000
9,2023-06-23 10:15:00,45.5,45.4,0.100000
10,2023-06-01 10:50:00,45.7,46.1,-0.400000
11,2023-05-23 10:15:00,46.1,46.0,0.100000
12,2023-05-02 10:50:00,45.6,45.5,0.100000
13,2023-04-21 10:15:00,45.5,47.8,-2.300000
14,2023-04-03 10:50:00,47.3,47.7,-0.400000
15,2023-03-24 11:15:00,47.7,48.0,-0.300000
16,2023-03-01 10:50:00,47.4,47.9,-0.500000
17,2023-02-21 10:15:00,47.9,50.9,-3.000000
18,2023-02-01 10:50:00,50.5,50.8,-0.300000
19,2023-01-24 10:15:00,50.8,49.6,1.200000
20,2023-01-02 10:50:00,49.2,48.9,0.300000
21,2022-12-16 10:15:00,48.9,48.2,0.700000
22,2022-12-01 10:50:00,48.3,49.1,-0.800000
23,2022-11-23 10:15:00,49.1,47.0,2.100000
24,2022-11-02 11:50:00,47.2,47.4,-0.200000
25,2022-10-24 10:15:00,47.4,47.1,0.300000
26,2022-10-03 10:50:00,47.7,47.8,-0.100000
27,2022-09-23 10:15:00,47.8,49.8,-2.000000
28,2022-09-01 10:50:00,50.6,49.0,1.600000
29,2022-08-23 10:15:00,49.0,49.0,0.000000
30,2022-08-01 10:50:00,49.5,49.6,-0.100000
31,2022-07-22 10:15:00,49.6,50.8,-1.200000
32,2022-07-01 10:50:00,51.4,51.0,0.400000
33,2022-06-23 10:15:00,51.0,54.0,-3.000000
34,2022-06-01 10:50:00,54.6,54.5,0.100000
35,2022-05-24 10:15:00,54.5,55.0,-0.500000
36,2022-05-02 10:50:00,55.7,55.4,0.300000
37,2022-04-22 10:15:00,55.4,53.0,2.400000
38,2022-04-01 10:50:00,54.7,54.8,-0.100000
39,2022-03-24 11:15:00,54.8,55.0,-0.200000
40,2022-03-01 10:50:00,57.2,57.6,-0.400000
