,Date,Actual,Consensus,Difference
0,2023-11-06 10:50:00,45.2,46.1,-0.900000
1,2023-10-24 10:15:00,46.1,44.6,1.500000
2,2023-10-04 10:50:00,44.4,43.9,0.500000
3,2023-09-22 10:15:00,43.9,46.0,-2.100000
4,2023-09-05 10:50:00,46.0,46.7,-0.700000
5,2023-08-23 10:15:00,46.7,47.5,-0.800000
6,2023-08-03 10:50:00,47.1,47.4,-0.300000
7,2023-07-24 10:15:00,47.4,48.4,-1.000000
8,2023-07-05 10:50:00,48.0,48.0,0.000000
9,2023-06-23 10:15:00,48.0,52.0,-4.000000
10,2023-06-05 10:50:00,52.5,52.8,-0.300000
11,2023-05-23 10:15:00,52.8,54.2,-1.400000
12,2023-05-04 10:50:00,54.6,56.3,-1.700000
13,2023-04-21 10:15:00,56.3,53.4,2.900000
14,2023-04-05 10:50:00,53.9,55.5,-1.600000
15,2023-03-24 11:15:00,55.5,52.5,3.000000
16,2023-03-03 10:50:00,53.1,52.8,0.300000
17,2023-02-21 10:15:00,52.8,49.9,2.900000
18,2023-02-03 10:50:00,49.4,49.2,0.200000
19,2023-01-24 10:15:00,49.2,49.8,-0.600000
20,2023-01-04 10:50:00,49.5,48.1,1.400000
21,2022-12-16 10:15:00,48.1,49.1,-1.000000
22,2022-12-05 10:50:00,49.3,49.4,-0.100000
23,2022-11-23 10:15:00,49.4,50.6,-1.200000
24,2022-11-04 11:50:00,51.7,51.3,0.400000
25,2022-10-24 10:15:00,51.3,51.5,-0.200000
26,2022-10-05 10:50:00,52.9,53.0,-0.100000
27,2022-09-23 10:15:00,53.0,50.5,2.500000
28,2022-09-05 10:50:00,51.2,51.0,0.200000
29,2022-08-23 10:15:00,51.0,53.0,-2.000000
30,2022-08-03 10:50:00,53.2,52.1,1.100000
31,2022-07-22 10:15:00,52.1,52.7,-0.600000
32,2022-07-05 10:50:00,53.9,54.4,-0.500000
33,2022-06-23 10:15:00,54.4,57.6,-3.200000
34,2022-06-03 10:50:00,58.3,58.4,-0.100000
35,2022-05-24 10:15:00,58.4,58.6,-0.200000
36,2022-05-04 10:50:00,58.9,58.8,0.100000
37,2022-04-22 10:15:00,58.8,56.5,2.300000
38,2022-04-05 10:50:00,57.4,57.4,0.000000
39,2022-03-24 11:15:00,57.4,55.0,2.400000
40,2022-03-03 10:50:00,55.5,57.9,-2.400000
41,2022-02-21 10:15:00,57.9,53.6,4.300000
42,2022-02-03 10:50:00,53.1,53.1,0.000000
43,2022-01-24 10:15:00,53.1,55.3,-2.200000
44,2022-01-05 10:50:00,57.0,57.1,-0.100000
45,2021-12-16 10:15:00,57.1,56.0,1.100000
46,2021-12-03 10:50:00,57.4,58.2,-0.800000
47,2021-11-23 10:15:00,58.2,56.0,2.200000
48,2021-11-04 11:50:00,56.6,56.6,0.000000
49,2021-10-22 10:15:00,56.6,55.5,1.100000
50,2021-10-05 10:50:00,56.2,56.0,0.200000
51,2021-09-23 10:15:00,56.0,56.0,0.000000
52,2021-09-03 10:50:00,56.3,56.4,-0.100000
53,2021-08-23 10:15:00,56.4,57.0,-0.600000
54,2021-08-04 10:50:00,56.8,57.0,-0.200000
55,2021-07-23 10:15:00,57.0,58.7,-1.700000
56,2021-07-05 10:50:00,57.8,57.4,0.400000
57,2021-06-23 10:15:00,57.4,59.4,-2.000000
58,2021-06-03 10:50:00,56.6,56.6,0.000000
59,2021-05-21 10:15:00,56.6,53.0,3.600000
60,2021-05-05 10:50:00,50.3,50.4,-0.100000
61,2021-04-23 10:15:00,50.4,46.5,3.900000
62,2021-04-07 10:50:00,48.2,47.8,0.400000
63,2021-03-24 11:15:00,47.8,45.5,2.300000
64,2021-03-03 10:50:00,45.6,43.6,2.000000
65,2021-02-19 10:15:00,43.6,47.0,-3.400000
66,2021-02-03 10:50:00,47.3,46.5,0.800000
67,2021-01-22 10:15:00,46.5,48.5,-2.000000
68,2021-01-06 10:50:00,49.1,49.2,-0.100000
69,2020-12-16 10:15:00,49.2,40.0,9.200000
70,2020-12-03 10:50:00,38.8,38.0,0.800000
71,2020-11-23 10:15:00,38.0,37.7,0.300000
72,2020-11-04 10:50:00,46.5,46.5,0.000000
73,2020-10-23 10:15:00,46.5,46.8,-0.300000
74,2020-10-05 10:50:00,47.5,47.5,0.000000
75,2020-09-23 10:15:00,47.5,51.5,-4.000000
76,2020-09-03 10:50:00,51.5,51.9,-0.400000
77,2020-08-21 10:15:00,51.9,56.3,-4.400000
78,2020-08-05 10:50:00,57.3,57.8,-0.500000
79,2020-07-24 10:15:00,57.8,52.3,5.500000
80,2020-07-03 10:50:00,50.7,50.3,0.400000
81,2020-06-23 10:15:00,50.3,44.2,6.100000
82,2020-06-03 10:50:00,31.1,29.4,1.700000
83,2020-05-21 10:15:00,29.4,27.8,1.600000
84,2020-05-06 10:50:00,10.2,10.4,-0.200000
85,2020-04-23 10:15:00,10.4,25.0,-14.600000
86,2020-04-03 10:50:00,27.4,29.0,-1.600000
87,2020-03-24 11:15:00,29.0,42.0,-13.000000
88,2020-03-04 10:50:00,52.5,52.6,-0.100000
89,2020-02-21 10:15:00,52.6,51.3,1.300000
90,2020-02-05 10:50:00,51.0,51.7,-0.700000
91,2020-01-24 10:15:00,51.7,52.2,-0.500000
92,2020-01-06 10:50:00,52.4,52.4,0.000000
93,2019-12-16 10:15:00,52.4,52.1,0.300000
94,2019-12-04 10:50:00,52.2,52.9,-0.700000
95,2019-11-22 10:15:00,52.9,53.0,-0.100000
96,2019-11-06 10:50:00,52.9,52.9,0.000000
97,2019-10-24 10:15:00,52.9,51.6,1.300000
98,2019-10-03 10:50:00,51.1,51.6,-0.500000
99,2019-09-23 10:15:00,51.6,53.2,-1.600000
100,2019-09-04 10:50:00,53.4,53.3,0.100000
101,2019-08-22 10:15:00,53.3,52.5,0.800000
102,2019-08-05 10:50:00,52.6,52.2,0.400000
103,2019-07-24 10:15:00,52.2,52.7,-0.500000
104,2019-07-03 10:50:00,52.9,53.1,-0.200000
105,2019-06-21 10:15:00,53.1,51.6,1.500000
106,2019-06-05 10:50:00,51.5,51.7,-0.200000
107,2019-05-23 10:15:00,51.7,50.8,0.900000
108,2019-05-06 10:50:00,50.5,50.5,0.000000
109,2019-04-18 10:15:00,50.5,49.8,0.700000
110,2019-04-03 10:50:00,49.1,48.7,0.400000
111,2019-03-22 11:15:00,48.7,50.6,-1.900000
112,2019-03-05 10:50:00,50.2,49.8,0.400000
113,2019-02-21 10:15:00,49.8,49.1,0.700000
114,2019-02-05 10:50:00,47.8,47.5,0.300000
115,2019-01-24 10:15:00,47.5,50.6,-3.100000
116,2019-01-04 10:50:00,49.0,49.6,-0.600000
117,2018-12-14 10:15:00,49.6,54.8,-5.200000
118,2018-12-05 10:50:00,55.1,55.0,0.100000
119,2018-11-23 10:15:00,55.0,54.9,0.100000
120,2018-11-06 10:50:00,55.3,55.6,-0.300000
121,2018-10-24 10:15:00,55.6,54.7,0.900000
122,2018-10-03 10:50:00,54.8,54.3,0.500000
123,2018-09-21 10:15:00,54.3,55.2,-0.900000
124,2018-09-05 10:50:00,55.4,55.7,-0.300000
125,2018-08-23 10:15:00,55.7,55.1,0.600000
126,2018-08-03 10:50:00,54.9,55.3,-0.400000
127,2018-07-24 10:00:00,55.3,55.7,-0.400000
128,2018-07-04 10:50:00,55.9,56.4,-0.500000
129,2018-06-22 10:00:00,56.4,54.3,2.100000
130,2018-06-05 10:50:00,54.3,54.3,0.000000
131,2018-05-23 10:00:00,54.3,57.1,-2.800000
132,2018-05-04 10:50:00,57.4,57.4,0.000000
133,2018-04-23 10:00:00,57.4,56.6,0.800000
134,2018-04-05 10:50:00,56.9,56.8,0.100000
135,2018-03-22 11:00:00,56.8,57.0,-0.200000
136,2018-03-05 10:50:00,57.4,57.9,-0.500000
137,2018-02-21 10:00:00,57.9,59.1,-1.200000
138,2018-02-05 10:50:00,59.2,59.3,-0.100000
139,2018-01-24 10:00:00,59.3,58.9,0.400000
140,2018-01-04 10:50:00,59.1,59.4,-0.300000
141,2017-12-14 10:00:00,59.4,59.9,-0.500000
142,2017-12-05 10:50:00,60.4,60.2,0.200000
143,2017-11-23 10:00:00,60.2,57.0,3.200000
144,2017-11-06 10:50:00,57.3,57.4,-0.100000
145,2017-10-24 10:00:00,57.4,56.9,0.500000
146,2017-10-04 10:50:00,57.0,57.1,-0.100000
147,2017-09-22 10:00:00,57.1,54.8,2.300000
148,2017-09-05 10:50:00,54.9,55.5,-0.600000
149,2017-08-23 10:00:00,55.5,55.8,-0.300000
150,2017-08-03 10:50:00,56.0,55.9,0.100000
151,2017-07-24 10:00:00,55.9,56.7,-0.800000
152,2017-07-05 10:50:00,56.9,55.3,1.600000
