,Date,Actual,Consensus,Difference
0,2023-11-06 10:50:00,44.6,45.3,-0.700000
1,2023-10-24 10:15:00,45.3,44.4,0.900000
2,2023-10-04 10:50:00,44.1,43.5,0.600000
3,2023-09-22 10:15:00,43.5,46.0,-2.500000
4,2023-09-05 10:50:00,46.0,46.6,-0.600000
5,2023-08-23 10:15:00,46.6,47.5,-0.900000
6,2023-08-03 10:50:00,46.6,46.6,0.000000
7,2023-07-24 10:15:00,46.6,47.8,-1.200000
8,2023-07-05 10:50:00,47.2,47.3,-0.100000
9,2023-06-23 10:15:00,47.3,51.0,-3.700000
10,2023-06-05 10:50:00,51.2,51.4,-0.200000
11,2023-05-23 10:15:00,51.4,52.3,-0.900000
12,2023-05-04 10:50:00,52.4,53.8,-1.400000
13,2023-04-21 10:15:00,53.8,52.7,1.100000
14,2023-04-05 10:50:00,52.7,54.0,-1.300000
15,2023-03-24 11:15:00,54.0,51.8,2.200000
16,2023-03-03 10:50:00,51.7,51.6,0.100000
17,2023-02-21 10:15:00,51.6,50.1,1.500000
18,2023-02-03 10:50:00,49.1,49.0,0.100000
19,2023-01-24 10:15:00,49.0,49.5,-0.500000
20,2023-01-04 10:50:00,49.1,48.0,1.100000
21,2022-12-16 10:15:00,48.0,48.9,-0.900000
22,2022-12-05 10:50:00,48.7,48.7,0.000000
23,2022-11-23 10:15:00,48.8,49.5,-0.700000
24,2022-11-04 11:50:00,50.2,50.0,0.200000
25,2022-10-24 10:15:00,50.0,50.3,-0.300000
26,2022-10-05 10:50:00,51.2,51.2,0.000000
27,2022-09-23 10:15:00,51.2,49.8,1.400000
28,2022-09-05 10:50:00,50.4,49.8,0.600000
29,2022-08-23 10:15:00,49.8,50.8,-1.000000
30,2022-08-03 10:50:00,51.7,50.6,1.100000
31,2022-07-22 10:15:00,50.6,51.8,-1.200000
32,2022-07-05 10:50:00,52.5,52.8,-0.300000
33,2022-06-23 10:15:00,52.8,56.0,-3.200000
34,2022-06-03 10:50:00,57.0,57.1,-0.100000
35,2022-05-24 10:15:00,57.1,57.0,0.100000
36,2022-05-04 10:50:00,57.6,57.5,0.100000
37,2022-04-22 10:15:00,57.5,55.0,2.500000
38,2022-04-05 10:50:00,56.3,56.2,0.100000
