,Date,Actual,Consensus,Difference
0,2023-11-08 09:45:00,-8.9,-8.1,-0.800000
1,2023-10-06 09:45:00,-8.2,-8.9,0.700000
2,2023-09-07 09:45:00,-8.1,-6.8,-1.300000
3,2023-08-08 09:45:00,-6.7,-8.0,1.300000
4,2023-07-07 09:45:00,-8.4,-9.0,0.600000
5,2023-06-07 09:45:00,-9.7,-7.7,-2.000000
6,2023-05-09 09:45:00,-8.0,-9.3,1.300000
7,2023-04-07 09:45:00,-9.9,-11.8,1.900000
8,2023-02-07 09:45:00,-14.9,-12.2,-2.700000
9,2023-01-09 09:45:00,-13.8,-11.3,-2.500000
10,2022-12-07 09:45:00,-12.2,-16.0,3.800000
11,2022-11-08 09:45:00,-17.5,-14.3,-3.200000
12,2022-10-07 09:45:00,-15.3,-14.8,-0.500000
13,2022-09-08 09:45:00,-14.5,-13.6,-0.900000
14,2022-08-05 09:45:00,-13.1,-12.6,-0.500000
15,2022-07-08 09:45:00,-13.0,-12.8,-0.200000
16,2022-06-08 09:45:00,-12.2,-12.2,0.000000
17,2022-03-14 10:45:00,-8.0,-9.8,1.800000
18,2022-01-07 09:45:00,-9.7,-6.9,-2.800000
19,2021-12-07 09:45:00,-7.5,-6.9,-0.600000
20,2021-11-09 09:45:00,-6.8,-7.1,0.300000
21,2020-12-08 09:45:00,-4.9,-6.3,1.400000
22,2020-11-06 09:45:00,-5.8,-6.3,0.500000
23,2020-05-07 09:45:00,-3.3,-4.9,1.600000
24,2020-04-07 09:45:00,-5.2,-4.9,-0.300000
25,2020-02-07 09:45:00,-4.1,-5.0,0.900000
26,2020-01-08 09:45:00,-5.6,-5.0,-0.600000
27,2019-12-06 09:45:00,-4.7,-4.8,0.100000
28,2019-11-08 09:45:00,-5.6,-4.8,-0.800000
29,2019-10-08 09:45:00,-5.0,-4.2,-0.800000
30,2019-08-07 09:45:00,-5.2,-4.0,-1.200000
31,2019-07-05 09:45:00,-3.3,-5.0,1.700000
32,2019-06-07 09:45:00,-5.0,-4.9,-0.100000
33,2019-05-07 09:45:00,-5.3,-4.5,-0.800000
34,2019-04-05 09:45:00,-4.0,-4.7,0.700000
35,2019-03-08 09:45:00,-4.2,-4.9,0.700000
36,2019-02-07 09:45:00,-4.7,-4.0,-0.700000
37,2019-01-08 09:45:00,-5.1,-4.9,-0.200000
38,2018-12-07 09:45:00,-4.1,-6.0,1.900000
39,2018-11-08 09:45:00,-5.7,-6.1,0.400000
