,Date,Actual,Consensus,Difference
0,2023-11-15 08:30:00,7.4,7.3,0.100000
1,2023-08-11 08:30:00,7.2,7.1,0.100000
2,2023-05-17 08:30:00,7.1,7.1,0.000000
3,2023-02-14 08:30:00,7.2,7.3,-0.100000
4,2022-11-15 08:30:00,7.3,7.3,0.000000
5,2022-08-12 08:30:00,7.4,7.3,0.100000
6,2022-05-17 08:30:00,7.3,7.4,-0.100000
7,2022-02-18 08:30:00,7.4,7.8,-0.400000
8,2021-11-19 08:30:00,8.1,7.8,0.300000
9,2021-06-29 13:00:00,8.1,8.1,0.000000
10,2021-02-16 08:30:00,8.0,9.0,-1.000000
11,2020-11-10 08:30:00,9.0,7.9,1.100000
12,2020-08-13 08:30:00,7.1,8.3,-1.200000
13,2020-05-14 08:30:00,7.8,8.4,-0.600000
14,2020-02-13 08:30:00,8.1,8.5,-0.400000
15,2019-11-14 08:30:00,8.6,8.4,0.200000
16,2019-08-14 08:30:00,8.5,8.7,-0.200000
17,2019-02-14 08:30:00,8.8,9.1,-0.300000
18,2018-11-20 08:30:00,9.1,9.2,-0.100000
19,2018-08-14 08:30:00,9.1,9.2,-0.100000
20,2018-05-23 08:30:00,9.2,8.8,0.400000
21,2017-11-16 08:30:00,9.7,9.7,0.000000
22,2017-02-16 08:30:00,10.0,9.7,0.300000
23,2016-08-18 08:30:00,9.9,10.1,-0.200000
24,2016-05-19 08:30:00,10.2,10.3,-0.100000
25,2016-03-03 08:30:00,10.3,10.5,-0.200000
26,2015-12-03 08:30:00,10.6,10.4,0.200000
27,2015-09-03 08:30:00,10.3,10.3,0.000000
28,2015-06-04 08:30:00,10.3,10.4,-0.100000
29,2015-03-05 08:30:00,10.4,10.4,0.000000
30,2014-12-04 08:30:00,10.4,10.3,0.100000
31,2014-06-05 08:30:00,10.1,10.3,-0.200000
32,2014-03-06 08:30:00,10.2,11.0,-0.800000
33,2013-12-05 08:30:00,10.9,10.6,0.300000
34,2013-06-06 08:30:00,10.8,10.9,-0.100000
35,2013-03-07 08:30:00,10.6,10.1,0.500000
36,2012-12-06 08:30:00,10.3,10.5,-0.200000
37,2012-09-06 08:30:00,10.2,10.2,0.000000
38,2012-06-07 08:30:00,10.0,9.9,0.100000
39,2012-03-01 08:30:00,9.4,9.2,0.200000
40,2011-12-01 08:30:00,9.3,9.2,0.100000
41,2011-09-01 09:30:00,9.1,9.3,-0.200000
42,2011-06-02 09:30:00,9.2,9.1,0.100000
43,2011-03-03 08:30:00,9.2,9.4,-0.200000
44,2010-12-02 08:30:00,9.3,9.4,-0.100000
45,2010-09-02 09:30:00,9.3,10.1,-0.800000
46,2010-06-03 09:30:00,9.5,10.0,-0.500000
