,Date,Actual,Consensus,Difference
0,2023-10-25 11:00:00,86.9,85.9,1.000000
1,2023-09-25 11:00:00,85.7,85.2,0.500000
2,2023-08-25 11:00:00,85.7,86.7,-1.000000
3,2023-07-25 11:00:00,87.3,88.0,-0.700000
4,2023-06-26 11:00:00,88.5,90.7,-2.200000
5,2023-05-24 11:00:00,91.7,93.0,-1.300000
6,2023-04-24 11:00:00,93.6,94.0,-0.400000
7,2023-03-27 11:00:00,93.3,91.0,2.300000
8,2023-02-22 11:00:00,91.1,91.4,-0.300000
9,2023-01-25 11:00:00,90.2,90.2,0.000000
10,2022-12-19 11:00:00,88.6,87.4,1.200000
11,2022-11-24 11:00:00,86.3,85.0,1.300000
12,2022-10-25 11:00:00,84.3,83.3,1.000000
13,2022-09-26 11:00:00,84.3,87.0,-2.700000
14,2022-08-25 11:00:00,88.5,86.8,1.700000
15,2022-07-25 11:00:00,88.6,90.2,-1.600000
16,2022-06-24 11:00:00,92.3,92.9,-0.600000
17,2022-05-23 11:00:00,93.0,91.4,1.600000
18,2022-04-25 11:00:00,91.8,89.1,2.700000
19,2022-03-25 12:00:00,90.8,94.2,-3.400000
20,2022-02-22 11:00:00,98.9,96.5,2.400000
21,2022-01-25 11:00:00,95.7,94.7,1.000000
22,2021-12-17 11:00:00,94.7,95.3,-0.600000
23,2021-11-24 11:00:00,96.5,96.6,-0.100000
24,2021-10-25 11:00:00,97.7,97.9,-0.200000
25,2021-09-24 11:00:00,98.8,98.9,-0.100000
26,2021-08-25 11:00:00,99.4,100.4,-1.000000
27,2021-07-26 11:00:00,100.8,102.1,-1.300000
28,2021-06-24 11:00:00,101.8,100.6,1.200000
29,2021-05-25 11:00:00,99.2,98.2,1.000000
30,2021-04-26 11:00:00,96.8,97.8,-1.000000
31,2021-03-26 12:00:00,96.6,93.2,3.400000
32,2021-02-22 11:00:00,92.4,90.5,1.900000
33,2021-01-25 11:00:00,90.1,91.8,-1.700000
34,2020-12-18 11:00:00,92.1,90.0,2.100000
35,2020-11-24 11:00:00,90.7,90.1,0.600000
36,2020-10-26 12:00:00,92.7,93.0,-0.300000
37,2020-09-24 11:00:00,93.4,93.8,-0.400000
38,2020-08-25 11:00:00,92.6,92.2,0.400000
39,2020-07-27 11:00:00,90.5,89.3,1.200000
40,2020-06-24 11:00:00,86.2,85.0,1.200000
41,2020-05-25 11:00:00,79.5,78.3,1.200000
42,2020-04-24 11:00:00,74.3,80.0,-5.700000
43,2020-03-25 12:00:00,86.1,87.7,-1.600000
44,2020-03-19 12:00:00,87.7,95.3,-7.600000
45,2020-02-24 11:00:00,96.1,95.3,0.800000
46,2020-01-27 11:00:00,95.9,97.0,-1.100000
47,2019-12-18 11:00:00,96.3,95.5,0.800000
48,2019-11-25 11:00:00,95.0,95.0,0.000000
49,2019-10-25 11:00:00,94.6,94.5,0.100000
50,2019-09-24 11:00:00,94.6,94.5,0.100000
51,2019-08-26 11:00:00,94.3,95.1,-0.800000
52,2019-07-25 11:00:00,95.7,97.1,-1.400000
53,2019-06-24 11:00:00,97.4,97.4,0.000000
54,2019-05-23 11:00:00,97.9,99.2,-1.300000
55,2019-04-24 11:00:00,99.2,99.9,-0.700000
56,2019-03-25 12:00:00,99.6,98.7,0.900000
57,2019-02-22 11:00:00,98.5,99.0,-0.500000
58,2019-01-25 11:00:00,99.1,100.7,-1.600000
59,2018-12-18 11:00:00,101.0,101.8,-0.800000
60,2018-11-26 11:00:00,102.0,102.3,-0.300000
61,2018-10-25 11:00:00,102.8,103.1,-0.300000
62,2018-09-24 11:00:00,103.7,103.2,0.500000
63,2018-08-27 11:00:00,103.8,101.9,1.900000
64,2018-07-25 11:00:00,101.7,101.6,0.100000
65,2018-06-25 11:00:00,101.9,101.9,0.000000
66,2018-05-25 11:00:00,102.4,102.7,-0.300000
67,2018-04-24 11:00:00,102.4,102.8,-0.400000
