,Date,Actual,Consensus,Difference
0,2023-10-25 11:00:00,84.7,83.3,1.400000
1,2023-09-25 11:00:00,82.9,82.9,0.000000
2,2023-08-25 11:00:00,82.6,83.8,-1.200000
3,2023-07-25 11:00:00,83.5,83.4,0.100000
4,2023-06-26 11:00:00,83.6,88.0,-4.400000
5,2023-05-24 11:00:00,88.6,91.9,-3.300000
6,2023-04-24 11:00:00,92.2,91.5,0.700000
7,2023-03-27 11:00:00,91.2,88.3,2.900000
8,2023-02-22 11:00:00,88.5,88.3,0.200000
9,2023-01-25 11:00:00,86.4,85.0,1.400000
10,2022-12-19 11:00:00,83.2,82.0,1.200000
11,2022-11-24 11:00:00,80.0,77.0,3.000000
12,2022-10-25 11:00:00,75.6,75.0,0.600000
13,2022-09-26 11:00:00,75.2,79.0,-3.800000
14,2022-08-25 11:00:00,80.3,79.0,1.300000
15,2022-07-25 11:00:00,80.3,83.0,-2.700000
16,2022-06-24 11:00:00,85.8,87.4,-1.600000
17,2022-05-23 11:00:00,86.9,83.5,3.400000
18,2022-04-25 11:00:00,86.7,83.5,3.200000
19,2022-03-25 12:00:00,85.1,92.0,-6.900000
20,2022-02-22 11:00:00,99.2,96.1,3.100000
21,2022-01-25 11:00:00,95.2,93.0,2.200000
22,2021-12-17 11:00:00,92.6,93.5,-0.900000
23,2021-11-24 11:00:00,94.2,95.0,-0.800000
24,2021-10-25 11:00:00,95.4,96.4,-1.000000
25,2021-09-24 11:00:00,97.3,96.5,0.800000
26,2021-08-25 11:00:00,97.5,100.0,-2.500000
27,2021-07-26 11:00:00,101.2,103.3,-2.100000
28,2021-06-24 11:00:00,104.0,103.9,0.100000
29,2021-05-25 11:00:00,102.9,101.4,1.500000
30,2021-04-26 11:00:00,99.5,101.3,-1.800000
31,2021-03-26 12:00:00,100.4,95.0,5.400000
32,2021-02-22 11:00:00,94.2,91.8,2.400000
33,2021-01-25 11:00:00,91.1,93.2,-2.100000
34,2020-12-18 11:00:00,92.8,92.5,0.300000
35,2020-11-24 11:00:00,91.5,93.5,-2.000000
36,2020-10-26 12:00:00,95.0,96.5,-1.500000
37,2020-09-24 11:00:00,97.7,98.0,-0.300000
38,2020-08-25 11:00:00,97.5,98.0,-0.500000
39,2020-07-27 11:00:00,97.0,93.7,3.300000
40,2020-06-24 11:00:00,91.4,87.0,4.400000
41,2020-05-25 11:00:00,80.1,75.0,5.100000
42,2020-04-24 11:00:00,69.4,75.0,-5.600000
43,2020-03-25 12:00:00,79.7,81.9,-2.200000
44,2020-02-24 11:00:00,93.4,92.2,1.200000
45,2020-01-27 11:00:00,92.9,95.0,-2.100000
46,2019-12-18 11:00:00,93.8,93.0,0.800000
47,2019-11-25 11:00:00,92.1,92.5,-0.400000
48,2019-10-25 11:00:00,91.5,91.0,0.500000
49,2019-09-24 11:00:00,90.8,91.8,-1.000000
50,2019-08-26 11:00:00,91.3,91.5,-0.200000
51,2019-07-25 11:00:00,92.2,94.0,-1.800000
52,2019-06-24 11:00:00,94.2,94.6,-0.400000
53,2019-05-23 11:00:00,95.3,95.2,0.100000
54,2019-04-24 11:00:00,95.2,96.0,-0.800000
55,2019-03-25 12:00:00,95.6,94.0,1.600000
56,2019-02-22 11:00:00,93.8,94.2,-0.400000
57,2019-01-25 11:00:00,94.2,97.0,-2.800000
58,2018-12-18 11:00:00,97.3,98.3,-1.000000
59,2018-11-26 11:00:00,98.7,99.2,-0.500000
60,2018-10-25 11:00:00,99.8,100.3,-0.500000
61,2018-09-24 11:00:00,101.0,100.2,0.800000
62,2018-08-27 11:00:00,101.2,98.4,2.800000
63,2018-07-25 11:00:00,98.2,98.3,-0.100000
64,2018-06-25 11:00:00,98.6,98.0,0.600000
65,2018-05-25 11:00:00,98.5,99.5,-1.000000
66,2018-04-24 11:00:00,98.7,99.5,-0.800000
67,2018-03-22 12:00:00,104.4,104.4,0.000000
68,2018-02-22 11:00:00,105.4,107.9,-2.500000
69,2018-01-25 11:00:00,108.4,109.4,-1.000000
70,2017-12-19 11:00:00,109.5,110.7,-1.200000
71,2017-11-24 11:00:00,111.0,108.9,2.100000
72,2017-10-25 11:00:00,109.1,107.3,1.800000
73,2017-09-25 11:00:00,107.4,107.9,-0.500000
74,2017-08-25 11:00:00,107.9,106.8,1.100000
75,2017-07-25 11:00:00,107.3,106.5,0.800000
76,2017-06-26 11:00:00,106.8,106.4,0.400000
77,2017-05-23 11:00:00,106.5,105.4,1.100000
78,2017-04-24 11:00:00,105.2,106.0,-0.800000
79,2017-03-27 11:00:00,105.7,104.3,1.400000
80,2017-02-22 11:00:00,104.0,103.0,1.000000
81,2017-01-25 11:00:00,103.2,105.8,-2.600000
82,2016-12-19 11:00:00,105.6,105.6,0.000000
83,2016-11-24 11:00:00,105.5,106.0,-0.500000
84,2016-10-25 11:00:00,106.1,104.5,1.600000
85,2016-09-26 11:00:00,104.5,100.2,4.300000
86,2016-08-25 11:00:00,100.1,102.5,-2.400000
87,2016-07-25 11:00:00,102.2,101.2,1.000000
88,2016-06-24 11:00:00,103.1,101.2,1.900000
89,2016-05-25 11:00:00,101.6,100.8,0.800000
90,2016-04-25 11:00:00,100.4,100.8,-0.400000
91,2016-03-22 12:00:00,100.0,99.5,0.500000
92,2016-02-23 11:00:00,98.8,101.6,-2.800000
93,2016-01-25 11:00:00,102.4,104.1,-1.700000
94,2015-12-17 11:00:00,104.7,105.0,-0.300000
95,2015-11-24 11:00:00,104.7,104.0,0.700000
96,2015-10-26 12:00:00,103.8,102.4,1.400000
97,2015-09-24 11:00:00,103.3,101.5,1.800000
98,2015-08-25 11:00:00,102.2,102.0,0.200000
99,2015-07-27 11:00:00,102.4,101.8,0.600000
100,2015-06-24 11:00:00,102.0,102.5,-0.500000
101,2015-05-22 11:00:00,103.0,103.1,-0.100000
102,2015-04-24 11:00:00,103.5,104.5,-1.000000
103,2015-03-25 12:00:00,103.9,103.0,0.900000
104,2015-02-23 11:00:00,102.5,103.0,-0.500000
105,2015-01-26 11:00:00,102.0,102.5,-0.500000
106,2014-12-18 11:00:00,101.1,101.1,0.000000
107,2014-11-24 11:00:00,99.7,95.5,4.200000
108,2014-10-27 12:00:00,98.3,98.9,-0.600000
109,2014-09-24 11:00:00,99.3,101.2,-1.900000
