,Date,Actual,Consensus,Difference
0,2023-10-24 09:00:00,-28.1,-26.6,-1.500000
1,2023-09-27 09:00:00,-26.5,-26.0,-0.500000
2,2023-08-29 09:00:00,-25.5,-24.3,-1.200000
3,2023-07-27 09:00:00,-24.4,-24.7,0.300000
4,2023-06-28 09:00:00,-25.4,-23.0,-2.400000
5,2023-05-25 09:00:00,-24.2,-24.0,-0.200000
6,2023-04-26 09:00:00,-25.7,-27.9,2.200000
7,2023-03-29 09:00:00,-29.5,-29.2,-0.300000
8,2023-02-24 09:00:00,-30.5,-30.4,-0.100000
9,2023-01-24 09:00:00,-33.9,-33.0,-0.900000
10,2022-12-21 09:00:00,-37.8,-38.0,0.200000
11,2022-11-25 09:00:00,-40.2,-39.6,-0.600000
12,2022-10-27 09:00:00,-41.9,-41.9,0.000000
13,2022-09-28 09:00:00,-42.5,-39.0,-3.500000
14,2022-08-26 09:00:00,-36.5,-31.8,-4.700000
15,2022-07-27 09:00:00,-30.6,-28.9,-1.700000
16,2022-06-28 09:00:00,-27.4,-27.6,0.200000
17,2022-05-25 09:00:00,-26.0,-26.0,0.000000
18,2022-04-27 09:00:00,-26.5,-16.0,-10.500000
19,2022-03-29 09:00:00,-15.5,-14.0,-1.500000
20,2022-02-23 09:00:00,-8.1,-6.3,-1.800000
21,2022-01-27 09:00:00,-6.7,-7.8,1.100000
22,2021-12-21 09:00:00,-6.8,-2.7,-4.100000
23,2021-11-25 09:00:00,-1.6,-0.5,-1.100000
24,2021-10-27 09:00:00,0.9,-0.5,1.400000
25,2021-09-28 09:00:00,0.3,-1.6,1.900000
26,2021-08-26 09:00:00,-1.2,-0.7,-0.500000
27,2021-07-28 09:00:00,-0.3,1.0,-1.300000
28,2021-06-25 09:00:00,-0.3,-4.0,3.700000
29,2021-05-27 09:00:00,-7.0,-5.2,-1.800000
30,2021-04-28 09:00:00,-8.8,-3.5,-5.300000
31,2021-03-25 10:00:00,-6.2,-11.9,5.700000
32,2021-02-25 09:00:00,-12.9,-14.3,1.400000
33,2021-01-27 09:00:00,-15.6,-7.9,-7.700000
34,2020-12-22 09:00:00,-7.3,-8.8,1.500000
35,2020-11-26 09:00:00,-6.7,-5.0,-1.700000
36,2020-10-22 09:00:00,-3.1,-2.8,-0.300000
37,2020-09-23 09:00:00,-1.6,-1.0,-0.600000
38,2020-08-28 09:00:00,-1.8,1.2,-3.000000
39,2020-07-23 09:00:00,-0.3,-5.0,4.700000
40,2020-06-25 09:00:00,-9.6,-12.0,2.400000
41,2020-05-26 09:00:00,-18.9,-18.3,-0.600000
42,2020-04-23 09:00:00,-23.4,-1.8,-21.600000
43,2020-03-26 10:00:00,2.7,7.1,-4.400000
44,2020-02-20 09:00:00,9.8,9.8,0.000000
45,2020-01-29 09:00:00,9.9,9.6,0.300000
46,2019-12-20 09:00:00,9.6,9.8,-0.200000
47,2019-11-26 09:00:00,9.7,9.6,0.100000
48,2019-10-25 09:00:00,9.6,9.8,-0.200000
49,2019-09-26 09:00:00,9.9,9.7,0.200000
50,2019-08-28 09:00:00,9.7,9.6,0.100000
51,2019-07-30 09:00:00,9.7,9.7,0.000000
