,Date,Actual,Consensus,Difference
0,2023-10-25 11:00:00,89.2,88.5,0.700000
1,2023-09-25 11:00:00,88.7,88.0,0.700000
2,2023-08-25 11:00:00,89.0,90.0,-1.000000
3,2023-07-25 11:00:00,91.3,93.0,-1.700000
4,2023-06-26 11:00:00,93.7,93.5,0.200000
5,2023-05-24 11:00:00,94.8,94.7,0.100000
6,2023-04-24 11:00:00,95.0,96.0,-1.000000
7,2023-03-27 11:00:00,95.4,94.1,1.300000
8,2023-02-22 11:00:00,93.9,95.0,-1.100000
9,2023-01-25 11:00:00,94.1,95.0,-0.900000
10,2022-12-19 11:00:00,94.4,93.5,0.900000
11,2022-11-24 11:00:00,93.1,93.8,-0.700000
12,2022-10-25 11:00:00,94.1,92.4,1.700000
13,2022-09-26 11:00:00,94.5,96.0,-1.500000
14,2022-08-25 11:00:00,97.5,96.0,1.500000
15,2022-07-25 11:00:00,97.7,98.0,-0.300000
16,2022-06-24 11:00:00,99.3,99.1,0.200000
17,2022-05-23 11:00:00,99.5,95.8,3.700000
18,2022-04-25 11:00:00,97.2,95.8,1.400000
19,2022-03-25 12:00:00,97.0,96.5,0.500000
20,2022-02-22 11:00:00,98.6,96.6,2.000000
21,2022-01-25 11:00:00,96.1,96.3,-0.200000
22,2021-12-17 11:00:00,96.9,97.5,-0.600000
23,2021-11-24 11:00:00,99.0,99.0,0.000000
24,2021-10-25 11:00:00,100.1,99.4,0.700000
25,2021-09-24 11:00:00,100.4,101.8,-1.400000
26,2021-08-25 11:00:00,101.4,100.8,0.600000
27,2021-07-26 11:00:00,100.4,101.6,-1.200000
28,2021-06-24 11:00:00,99.6,97.8,1.800000
29,2021-05-25 11:00:00,95.7,95.5,0.200000
30,2021-04-26 11:00:00,94.1,94.4,-0.300000
31,2021-03-26 12:00:00,93.0,91.3,1.700000
32,2021-02-22 11:00:00,90.6,89.0,1.600000
33,2021-01-25 11:00:00,89.2,90.6,-1.400000
34,2020-12-18 11:00:00,91.3,89.0,2.300000
35,2020-11-24 11:00:00,90.0,87.0,3.000000
36,2020-10-26 12:00:00,90.3,89.8,0.500000
37,2020-09-24 11:00:00,89.2,89.5,-0.300000
38,2020-08-25 11:00:00,87.9,87.0,0.900000
39,2020-07-27 11:00:00,84.5,85.0,-0.500000
40,2020-06-24 11:00:00,81.3,84.0,-2.700000
41,2020-05-25 11:00:00,78.9,80.0,-1.100000
42,2020-04-24 11:00:00,79.5,81.0,-1.500000
43,2020-03-25 12:00:00,93.0,93.6,-0.600000
44,2020-02-24 11:00:00,98.9,98.6,0.300000
45,2020-01-27 11:00:00,99.1,99.2,-0.100000
46,2019-12-18 11:00:00,98.8,98.1,0.700000
47,2019-11-25 11:00:00,97.9,97.9,0.000000
48,2019-10-25 11:00:00,97.8,98.0,-0.200000
49,2019-09-24 11:00:00,98.5,97.0,1.500000
50,2019-08-26 11:00:00,97.3,98.6,-1.300000
51,2019-07-25 11:00:00,99.4,100.4,-1.000000
52,2019-06-24 11:00:00,100.8,100.3,0.500000
53,2019-05-23 11:00:00,100.6,103.6,-3.000000
54,2019-04-24 11:00:00,103.3,103.6,-0.300000
55,2019-03-25 12:00:00,103.8,102.9,0.900000
56,2019-02-22 11:00:00,103.4,103.9,-0.500000
57,2019-01-25 11:00:00,104.3,104.2,0.100000
58,2018-12-18 11:00:00,104.7,104.9,-0.200000
59,2018-11-26 11:00:00,105.4,105.3,0.100000
60,2018-10-25 11:00:00,105.9,106.0,-0.100000
61,2018-09-24 11:00:00,106.4,106.1,0.300000
62,2018-08-27 11:00:00,106.4,105.4,1.000000
63,2018-07-25 11:00:00,105.3,104.8,0.500000
64,2018-06-25 11:00:00,105.1,105.6,-0.500000
65,2018-05-25 11:00:00,106.0,106.0,0.000000
66,2018-04-24 11:00:00,105.7,106.0,-0.300000
67,2018-03-22 12:00:00,125.9,125.7,0.200000
68,2018-02-22 11:00:00,126.3,127.0,-0.700000
69,2018-01-25 11:00:00,127.7,125.4,2.300000
70,2017-12-19 11:00:00,125.4,124.7,0.700000
71,2017-11-24 11:00:00,124.4,125.0,-0.600000
72,2017-10-25 11:00:00,124.8,123.5,1.300000
73,2017-09-25 11:00:00,123.6,124.8,-1.200000
74,2017-08-25 11:00:00,124.6,125.0,-0.400000
75,2017-07-25 11:00:00,125.4,123.8,1.600000
76,2017-06-26 11:00:00,124.1,123.3,0.800000
77,2017-05-23 11:00:00,123.2,121.2,2.000000
78,2017-04-24 11:00:00,121.1,119.2,1.900000
79,2017-03-27 11:00:00,119.3,118.3,1.000000
80,2017-02-22 11:00:00,118.4,116.7,1.700000
81,2017-01-25 11:00:00,116.9,116.9,0.000000
82,2016-12-19 11:00:00,116.6,115.9,0.700000
83,2016-11-24 11:00:00,115.6,115.0,0.600000
84,2016-10-25 11:00:00,115.0,114.9,0.100000
85,2016-09-26 11:00:00,114.7,113.0,1.700000
86,2016-08-25 11:00:00,112.8,114.9,-2.100000
87,2016-07-25 11:00:00,114.7,114.0,0.700000
88,2016-06-24 11:00:00,114.5,114.0,0.500000
89,2016-05-25 11:00:00,114.2,113.2,1.000000
90,2016-04-25 11:00:00,113.2,113.8,-0.600000
91,2016-03-22 12:00:00,113.8,112.6,1.200000
92,2016-02-23 11:00:00,112.9,112.0,0.900000
93,2016-01-25 11:00:00,112.5,112.8,-0.300000
94,2015-12-17 11:00:00,112.8,113.4,-0.600000
95,2015-11-24 11:00:00,113.4,112.4,1.000000
96,2015-10-26 12:00:00,112.6,113.5,-0.900000
97,2015-09-24 11:00:00,114.0,114.7,-0.700000
98,2015-08-25 11:00:00,114.8,113.9,0.900000
99,2015-07-27 11:00:00,113.9,113.0,0.900000
100,2015-06-24 11:00:00,113.1,114.1,-1.000000
101,2015-05-22 11:00:00,114.3,113.5,0.800000
102,2015-04-24 11:00:00,113.9,112.4,1.500000
103,2015-03-25 12:00:00,112.0,112.0,0.000000
104,2015-02-23 11:00:00,111.3,112.7,-1.400000
105,2015-01-26 11:00:00,111.7,110.7,1.000000
106,2014-12-18 11:00:00,110.0,110.3,-0.300000
107,2014-11-24 11:00:00,110.0,108.0,2.000000
108,2014-10-27 12:00:00,108.4,110.0,-1.600000
109,2014-09-24 11:00:00,110.5,110.2,0.300000
110,2014-08-25 11:00:00,111.1,112.0,-0.900000
111,2014-07-25 11:00:00,112.9,114.5,-1.600000
112,2014-06-24 11:00:00,114.8,115.0,-0.200000
113,2014-05-23 11:00:00,114.8,115.5,-0.700000
114,2014-04-24 11:00:00,115.3,115.7,-0.400000
115,2014-03-25 12:00:00,115.2,114.6,0.600000
116,2014-02-24 11:00:00,114.4,112.8,1.600000
117,2014-01-27 11:00:00,112.4,112.4,0.000000
118,2013-12-18 11:00:00,111.6,112.5,-0.900000
119,2013-11-22 11:00:00,112.2,111.6,0.600000
120,2013-10-25 11:00:00,111.3,111.6,-0.300000
121,2013-09-24 11:00:00,111.4,112.5,-1.100000
122,2013-08-27 11:00:00,112.0,110.9,1.100000
123,2013-07-25 11:00:00,110.1,109.7,0.400000
124,2013-06-24 11:00:00,109.4,109.6,-0.200000
125,2013-05-24 11:00:00,110.0,107.2,2.800000
126,2013-04-24 11:00:00,107.2,109.5,-2.300000
127,2013-03-22 12:00:00,109.9,110.4,-0.500000
128,2013-02-22 11:00:00,110.2,108.5,1.700000
129,2013-01-25 11:00:00,108.0,107.2,0.800000
130,2012-12-19 11:00:00,107.1,108.0,-0.900000
131,2012-11-23 11:00:00,108.1,106.3,1.800000
132,2012-10-24 11:00:00,107.3,109.8,-2.500000
133,2012-09-24 11:00:00,110.3,111.0,-0.700000
134,2012-08-27 11:00:00,111.2,110.8,0.400000
135,2012-07-25 11:00:00,111.6,113.0,-1.400000
136,2012-06-22 11:00:00,113.9,112.3,1.600000
137,2012-05-24 11:00:00,113.3,117.4,-4.100000
138,2012-04-20 11:00:00,117.5,117.0,0.500000
139,2012-03-26 11:00:00,117.4,117.0,0.400000
140,2012-02-23 11:00:00,117.5,116.5,1.000000
141,2012-01-25 11:00:00,116.3,116.8,-0.500000
142,2011-12-20 11:00:00,116.7,116.0,0.700000
143,2011-11-24 11:00:00,116.7,115.0,1.700000
144,2011-10-21 11:00:00,116.7,116.5,0.200000
145,2011-09-26 11:00:00,117.9,115.5,2.400000
146,2011-08-24 11:00:00,118.1,119.8,-1.700000
147,2011-07-22 11:00:00,121.4,122.2,-0.800000
148,2011-06-24 11:00:00,123.3,120.8,2.500000
149,2011-05-24 11:00:00,121.4,120.7,0.700000
150,2011-04-21 11:00:00,116.3,115.5,0.800000
151,2011-03-25 12:00:00,115.8,114.8,1.000000
152,2011-02-21 11:00:00,114.7,113.0,1.700000
153,2011-01-21 11:00:00,112.8,113.4,-0.600000
