,Date,Actual,Consensus,Difference
0,2023-11-14 12:00:00,-79.8,-76.9,-2.900000
1,2023-10-17 12:00:00,-79.9,-80.8,0.900000
2,2023-09-12 12:00:00,-79.4,-75.0,-4.400000
3,2023-08-15 12:00:00,-71.3,-63.0,-8.300000
4,2023-07-11 12:00:00,-59.5,-60.0,0.500000
5,2023-06-13 12:00:00,-56.5,-40.0,-16.500000
6,2023-05-16 12:00:00,-34.8,-37.0,2.200000
7,2023-04-18 12:00:00,-32.5,-40.0,7.500000
8,2023-03-21 13:00:00,-46.5,-44.3,-2.200000
9,2023-02-21 12:00:00,-45.1,-50.0,4.900000
10,2023-01-17 12:00:00,-58.6,-58.3,-0.300000
11,2023-01-17 12:00:00,-58.6,-58.0,-0.600000
12,2022-12-13 12:00:00,-61.4,-57.0,-4.400000
13,2022-11-15 12:00:00,-64.5,-68.4,3.900000
14,2022-10-18 12:00:00,-72.2,-68.0,-4.200000
15,2022-09-13 12:00:00,-60.5,-52.2,-8.300000
16,2022-08-16 12:00:00,-47.6,-48.0,0.400000
17,2022-07-12 12:00:00,-45.8,-34.5,-11.300000
18,2022-06-14 12:00:00,-27.6,-31.0,3.400000
19,2022-05-10 12:00:00,-36.5,-35.0,-1.500000
20,2022-04-12 12:00:00,-30.8,-35.0,4.200000
21,2022-03-15 13:00:00,-21.4,-22.5,1.100000
22,2022-02-15 12:00:00,-8.1,-6.0,-2.100000
23,2022-01-18 12:00:00,-10.2,-8.5,-1.700000
24,2021-12-07 12:00:00,-7.4,5.0,-12.400000
25,2021-11-09 12:00:00,12.5,18.0,-5.500000
26,2021-10-12 12:00:00,21.6,28.5,-6.900000
27,2021-09-07 12:00:00,31.9,34.0,-2.100000
28,2021-08-10 12:00:00,29.3,30.0,-0.700000
29,2021-07-06 12:00:00,21.9,5.0,16.900000
30,2021-06-08 12:00:00,-9.1,-27.8,18.700000
31,2021-05-11 12:00:00,-40.1,-41.3,1.200000
32,2021-04-13 12:00:00,-48.8,-53.0,4.200000
33,2021-03-16 13:00:00,-61.0,-62.0,1.000000
34,2021-02-16 12:00:00,-67.2,-67.0,-0.200000
