,Date,Actual,Consensus,Difference
0,2023-11-14 12:00:00,9.8,5.0,4.800000
1,2023-10-17 12:00:00,-1.1,-9.3,8.200000
2,2023-09-12 12:00:00,-11.4,-15.0,3.600000
3,2023-08-15 12:00:00,-12.3,-14.7,2.400000
4,2023-07-11 12:00:00,-14.7,-10.5,-4.200000
5,2023-06-13 12:00:00,-8.5,-13.1,4.600000
6,2023-05-16 12:00:00,-10.7,-5.3,-5.400000
7,2023-04-18 12:00:00,4.1,15.3,-11.200000
8,2023-03-21 13:00:00,13.0,17.1,-4.100000
9,2023-02-21 12:00:00,28.1,22.0,6.100000
10,2023-01-17 12:00:00,16.9,-15.0,31.900000
11,2023-01-17 11:59:00,16.9,-15.0,31.900000
12,2022-12-13 12:00:00,-23.3,-26.4,3.100000
13,2022-11-15 12:00:00,-36.7,-50.0,13.300000
14,2022-10-18 12:00:00,-59.2,-65.7,6.500000
15,2022-09-13 12:00:00,-61.9,-60.0,-1.900000
16,2022-08-16 12:00:00,-55.3,-53.8,-1.500000
17,2022-07-12 12:00:00,-53.8,-38.3,-15.500000
18,2022-06-14 12:00:00,-28.0,-27.5,-0.500000
19,2022-05-10 12:00:00,-34.3,-42.0,7.700000
20,2022-04-12 12:00:00,-41.0,-48.0,7.000000
21,2022-03-15 13:00:00,-39.3,10.0,-49.300000
22,2022-02-15 12:00:00,54.3,55.0,-0.700000
23,2022-01-18 12:00:00,51.7,32.0,19.700000
24,2021-12-07 12:00:00,29.9,25.1,4.800000
25,2021-11-09 12:00:00,31.7,20.0,11.700000
26,2021-10-12 12:00:00,22.3,24.0,-1.700000
27,2021-09-07 12:00:00,26.5,30.0,-3.500000
28,2021-08-10 12:00:00,40.4,56.7,-16.300000
29,2021-07-06 12:00:00,63.3,75.2,-11.900000
30,2021-06-08 12:00:00,79.8,86.0,-6.200000
31,2021-05-11 12:00:00,84.4,72.0,12.400000
32,2021-04-13 12:00:00,70.7,79.0,-8.300000
33,2021-03-16 13:00:00,76.6,74.0,2.600000
34,2021-02-16 12:00:00,71.2,59.6,11.600000
35,2021-01-19 12:00:00,61.8,60.0,1.800000
36,2020-12-08 12:00:00,55.0,45.5,9.500000
37,2020-11-10 12:00:00,39.0,41.7,-2.700000
38,2020-10-13 12:00:00,56.1,73.0,-16.900000
39,2020-09-15 12:00:00,77.4,69.8,7.600000
40,2020-08-11 12:00:00,71.5,58.0,13.500000
41,2020-07-14 12:00:00,59.3,60.0,-0.700000
42,2020-06-16 12:00:00,63.4,60.0,3.400000
43,2020-05-19 12:00:00,51.0,32.0,19.000000
