,Date,Actual,Consensus,Difference
0,2023-11-06 09:00:00,0.2,-1.0,1.200000
1,2023-10-06 09:00:00,3.9,1.8,2.100000
2,2023-09-06 09:00:00,-11.7,-4.0,-7.700000
3,2023-08-04 09:00:00,7.0,-2.0,9.000000
4,2023-07-06 09:00:00,6.4,1.2,5.200000
5,2023-06-06 09:00:00,-0.4,3.0,-3.400000
6,2023-05-05 09:00:00,-10.7,-2.2,-8.500000
7,2023-04-05 09:00:00,4.8,0.3,4.500000
8,2023-03-07 09:00:00,1.0,-0.9,1.900000
9,2023-02-06 09:00:00,3.2,2.0,1.200000
10,2023-01-06 09:00:00,-5.3,-0.5,-4.800000
11,2022-12-06 09:00:00,0.8,0.1,0.700000
12,2022-11-04 10:00:00,-4.0,-0.5,-3.500000
13,2022-10-06 09:00:00,-2.4,-0.7,-1.700000
14,2022-09-06 09:00:00,-1.1,-0.5,-0.600000
15,2022-08-04 09:00:00,-0.4,-0.8,0.400000
16,2022-07-06 09:00:00,0.1,-0.6,0.700000
17,2022-06-07 09:00:00,-2.7,0.3,-3.000000
18,2022-05-05 09:00:00,-4.7,-1.1,-3.600000
19,2022-04-06 09:00:00,-2.2,-0.2,-2.000000
20,2022-03-07 09:00:00,1.8,1.0,0.800000
21,2022-02-04 09:00:00,2.8,0.5,2.300000
22,2022-01-06 09:00:00,3.7,2.1,1.600000
23,2021-12-06 09:00:00,-6.9,-0.5,-6.400000
24,2021-11-04 10:00:00,1.3,2.0,-0.700000
25,2021-10-06 09:00:00,-7.7,-2.1,-5.600000
26,2021-09-06 09:00:00,3.4,-1.0,4.400000
27,2021-08-05 09:00:00,4.1,1.9,2.200000
28,2021-07-06 09:00:00,-3.7,1.0,-4.700000
29,2021-06-07 09:00:00,-0.2,1.0,-1.200000
30,2021-05-06 09:00:00,3.0,1.7,1.300000
31,2021-04-08 09:00:00,1.2,1.2,0.000000
32,2021-03-05 09:00:00,1.4,0.7,0.700000
33,2021-02-05 09:00:00,-1.9,-1.0,-0.900000
34,2021-01-07 09:00:00,2.3,-1.2,3.500000
35,2020-12-04 09:00:00,2.9,1.5,1.400000
36,2020-11-05 09:00:00,0.5,2.0,-1.500000
37,2020-10-06 09:00:00,4.5,2.6,1.900000
38,2020-09-04 09:00:00,2.8,5.0,-2.200000
39,2020-08-06 09:00:00,27.9,10.1,17.800000
40,2020-07-06 09:00:00,10.4,15.0,-4.600000
41,2020-06-05 09:00:00,-25.8,-19.7,-6.100000
