,Date,Actual,Consensus,Difference
0,2023-11-07 09:00:00,-1.4,-0.1,-1.300000
1,2023-10-09 09:00:00,-0.2,-0.1,-0.100000
2,2023-09-07 09:00:00,-0.8,-0.5,-0.300000
3,2023-08-07 09:00:00,-1.5,-0.5,-1.000000
4,2023-07-07 09:00:00,-0.2,0.0,-0.200000
5,2023-06-07 09:00:00,0.3,0.6,-0.300000
6,2023-05-08 09:00:00,-3.4,-1.3,-2.100000
7,2023-04-06 09:00:00,2.0,0.1,1.900000
8,2023-03-08 09:00:00,3.5,1.4,2.100000
9,2023-02-07 09:00:00,-3.1,-0.7,-2.400000
10,2023-01-09 09:00:00,0.2,0.1,0.100000
11,2022-12-07 09:00:00,-0.1,-0.6,0.500000
12,2022-11-07 09:00:00,0.6,0.2,0.400000
13,2022-10-07 09:00:00,-0.8,-0.5,-0.300000
14,2022-09-07 09:00:00,-0.3,-0.5,0.200000
15,2022-08-05 09:00:00,0.4,-0.3,0.700000
16,2022-07-07 09:00:00,0.2,0.4,-0.200000
17,2022-06-08 09:00:00,0.7,1.0,-0.300000
18,2022-05-06 09:00:00,-3.9,-1.0,-2.900000
19,2022-04-07 09:00:00,0.2,-0.2,0.400000
20,2022-03-08 09:00:00,2.7,0.5,2.200000
21,2022-02-07 09:00:00,-0.3,0.4,-0.700000
22,2022-01-07 09:00:00,-0.2,1.0,-1.200000
23,2021-12-07 09:00:00,2.8,0.8,2.000000
24,2021-11-05 10:00:00,-1.1,1.0,-2.100000
25,2021-10-07 09:00:00,-4.0,-0.4,-3.600000
26,2021-09-07 09:00:00,1.0,0.9,0.100000
27,2021-08-06 09:00:00,-1.3,0.5,-1.800000
28,2021-07-07 09:00:00,-0.3,0.5,-0.800000
29,2021-06-08 09:00:00,-1.0,0.5,-1.500000
30,2021-05-07 09:00:00,2.5,2.3,0.200000
31,2021-04-09 09:00:00,-1.6,1.5,-3.100000
32,2021-03-08 09:00:00,-2.5,0.2,-2.700000
33,2021-02-08 09:00:00,0.0,0.3,-0.300000
34,2021-01-08 09:00:00,0.9,0.7,0.200000
35,2020-12-07 09:00:00,3.2,1.6,1.600000
36,2020-11-06 09:00:00,1.6,2.7,-1.100000
37,2020-10-07 09:00:00,-0.2,1.5,-1.700000
38,2020-09-07 09:00:00,1.2,4.7,-3.500000
39,2020-08-07 09:00:00,8.9,8.1,0.800000
40,2020-07-07 09:00:00,7.8,10.0,-2.200000
41,2020-06-08 09:00:00,-17.9,-7.5,-10.400000
42,2020-05-07 09:00:00,-9.2,-7.5,-1.700000
43,2020-04-07 09:00:00,0.3,-0.9,1.200000
44,2020-03-09 10:00:00,3.0,1.7,1.300000
45,2020-02-07 09:00:00,-3.5,-0.2,-3.300000
46,2020-01-09 09:00:00,1.1,0.7,0.400000
47,2019-12-06 09:00:00,-1.7,0.1,-1.800000
48,2019-11-07 09:00:00,-0.6,-0.4,-0.200000
49,2019-10-08 09:00:00,0.3,-0.2,0.500000
50,2019-09-06 09:00:00,-0.6,0.4,-1.000000
51,2019-08-07 09:00:00,-1.5,-0.5,-1.000000
