,Date,Actual,Consensus,Difference
0,2023-11-02 11:55:00,40.8,40.7,0.100000
1,2023-10-24 10:30:00,40.7,40.0,0.700000
2,2023-10-02 10:55:00,39.6,39.8,-0.200000
3,2023-09-22 10:30:00,39.8,39.5,0.300000
4,2023-09-01 10:55:00,39.1,39.1,0.000000
5,2023-08-23 10:30:00,39.1,38.7,0.400000
6,2023-08-01 10:55:00,38.8,38.8,0.000000
7,2023-07-24 10:30:00,38.8,41.0,-2.200000
8,2023-07-03 10:55:00,40.6,41.0,-0.400000
9,2023-06-23 10:30:00,41.0,43.5,-2.500000
10,2023-06-01 10:55:00,43.2,42.9,0.300000
11,2023-05-23 10:30:00,42.9,45.0,-2.100000
12,2023-05-02 10:55:00,44.5,44.0,0.500000
13,2023-04-21 10:30:00,44.0,45.7,-1.700000
14,2023-04-03 10:55:00,44.7,44.4,0.300000
15,2023-03-24 11:30:00,44.4,47.0,-2.600000
16,2023-03-01 10:55:00,46.3,46.5,-0.200000
17,2023-02-21 10:30:00,46.5,47.8,-1.300000
18,2023-02-01 10:55:00,47.3,47.0,0.300000
19,2023-01-24 10:30:00,47.0,47.9,-0.900000
20,2023-01-02 10:55:00,47.1,47.4,-0.300000
21,2022-12-16 10:30:00,47.4,46.3,1.100000
22,2022-12-01 10:55:00,46.2,46.7,-0.500000
23,2022-11-23 10:30:00,46.7,45.0,1.700000
24,2022-11-02 11:55:00,45.1,45.7,-0.600000
25,2022-10-24 10:30:00,45.7,47.0,-1.300000
26,2022-10-03 10:55:00,47.8,48.3,-0.500000
27,2022-09-23 10:30:00,48.3,48.3,0.000000
28,2022-09-01 10:55:00,49.1,49.8,-0.700000
29,2022-08-23 10:30:00,49.8,48.2,1.600000
30,2022-08-01 10:55:00,49.3,49.2,0.100000
31,2022-07-22 10:30:00,49.2,50.6,-1.400000
32,2022-07-01 10:55:00,52.0,52.0,0.000000
33,2022-06-23 10:30:00,52.0,54.0,-2.000000
34,2022-06-01 10:55:00,54.8,54.7,0.100000
35,2022-05-24 10:30:00,54.7,54.0,0.700000
36,2022-05-02 10:55:00,54.6,54.1,0.500000
37,2022-04-22 10:30:00,54.1,54.5,-0.400000
38,2022-04-01 10:55:00,56.9,57.6,-0.700000
39,2022-03-24 11:30:00,57.6,55.8,1.800000
40,2022-03-01 10:55:00,58.4,58.5,-0.100000
41,2022-02-21 10:30:00,58.5,59.5,-1.000000
42,2022-02-01 10:55:00,59.8,60.5,-0.700000
43,2022-01-24 10:30:00,60.5,57.0,3.500000
44,2022-01-03 10:55:00,57.4,57.9,-0.500000
45,2021-12-16 10:30:00,57.9,56.8,1.100000
46,2021-12-01 10:55:00,57.4,57.6,-0.200000
47,2021-11-23 10:30:00,57.6,56.9,0.700000
48,2021-11-02 11:55:00,57.8,58.2,-0.400000
49,2021-10-22 10:30:00,58.2,56.5,1.700000
50,2021-10-01 10:55:00,58.4,58.5,-0.100000
51,2021-09-23 10:30:00,58.5,61.5,-3.000000
52,2021-09-01 10:55:00,62.6,62.7,-0.100000
53,2021-08-23 10:30:00,62.7,65.0,-2.300000
54,2021-08-02 10:55:00,65.9,65.6,0.300000
55,2021-07-23 10:30:00,65.6,64.2,1.400000
56,2021-07-01 10:55:00,65.1,64.9,0.200000
57,2021-06-23 10:30:00,64.9,63.0,1.900000
58,2021-06-01 10:55:00,64.4,64.0,0.400000
59,2021-05-21 10:30:00,64.0,65.9,-1.900000
60,2021-05-03 10:55:00,66.2,66.4,-0.200000
61,2021-04-23 10:30:00,66.4,65.8,0.600000
62,2021-04-01 10:55:00,66.6,66.6,0.000000
63,2021-03-24 11:30:00,66.6,60.8,5.800000
64,2021-03-01 10:55:00,60.7,60.6,0.100000
65,2021-02-19 10:30:00,60.6,56.5,4.100000
66,2021-02-01 10:55:00,57.1,57.0,0.100000
67,2021-01-22 10:30:00,57.0,57.5,-0.500000
68,2021-01-04 10:55:00,58.3,58.6,-0.300000
69,2020-12-16 10:30:00,58.6,56.4,2.200000
70,2020-12-01 10:55:00,57.8,57.9,-0.100000
71,2020-11-23 10:30:00,57.9,56.5,1.400000
72,2020-11-02 10:55:00,58.2,58.0,0.200000
73,2020-10-23 10:30:00,58.0,55.1,2.900000
74,2020-10-01 10:55:00,56.4,56.6,-0.200000
75,2020-09-23 10:30:00,56.6,52.5,4.100000
76,2020-09-01 10:55:00,52.2,53.0,-0.800000
77,2020-08-21 10:30:00,53.0,52.5,0.500000
78,2020-08-03 10:55:00,51.0,50.0,1.000000
79,2020-07-24 10:30:00,50.0,48.0,2.000000
80,2020-07-01 10:55:00,45.2,44.6,0.600000
81,2020-06-23 10:30:00,44.6,41.5,3.100000
82,2020-06-01 10:55:00,36.6,36.8,-0.200000
83,2020-05-21 10:30:00,36.8,39.2,-2.400000
84,2020-05-04 10:55:00,34.5,34.4,0.100000
85,2020-04-23 10:30:00,34.4,39.0,-4.600000
86,2020-04-01 10:55:00,45.4,45.5,-0.100000
87,2020-03-24 11:30:00,45.7,39.6,6.100000
88,2020-03-02 10:55:00,48.0,47.8,0.200000
89,2020-02-21 10:30:00,47.8,44.8,3.000000
90,2020-02-03 10:55:00,45.3,45.2,0.100000
91,2020-01-24 10:30:00,45.2,44.5,0.700000
92,2020-01-02 10:55:00,43.7,43.4,0.300000
93,2019-12-16 10:30:00,43.4,44.5,-1.100000
94,2019-12-02 10:55:00,44.1,43.8,0.300000
95,2019-11-22 10:30:00,43.8,42.9,0.900000
96,2019-11-04 10:55:00,42.1,41.9,0.200000
97,2019-10-24 10:30:00,41.9,42.0,-0.100000
98,2019-10-01 10:55:00,41.7,41.4,0.300000
99,2019-09-23 10:30:00,41.4,44.0,-2.600000
100,2019-09-02 10:55:00,43.5,43.6,-0.100000
101,2019-08-22 10:30:00,43.6,43.0,0.600000
102,2019-08-01 10:55:00,43.2,43.1,0.100000
103,2019-07-24 10:30:00,43.1,45.1,-2.000000
104,2019-07-01 10:55:00,45.0,45.4,-0.400000
105,2019-06-21 10:30:00,45.4,44.6,0.800000
106,2019-06-03 10:55:00,44.3,44.3,0.000000
107,2019-05-23 10:30:00,44.3,44.8,-0.500000
108,2019-05-02 10:55:00,44.4,44.5,-0.100000
109,2019-04-18 10:30:00,44.5,45.0,-0.500000
110,2019-04-01 10:55:00,44.1,44.7,-0.600000
111,2019-03-22 11:30:00,44.7,48.0,-3.300000
112,2019-03-01 10:55:00,47.6,47.6,0.000000
113,2019-02-21 10:30:00,47.6,50.0,-2.400000
114,2019-02-01 10:55:00,49.7,49.9,-0.200000
115,2019-01-24 10:30:00,49.9,51.4,-1.500000
116,2019-01-02 10:55:00,51.5,51.5,0.000000
117,2018-12-14 10:30:00,51.5,51.8,-0.300000
118,2018-12-03 10:55:00,51.8,51.6,0.200000
119,2018-11-23 10:30:00,51.6,52.3,-0.700000
120,2018-11-02 11:55:00,52.2,52.3,-0.100000
121,2018-10-24 10:30:00,52.3,53.5,-1.200000
122,2018-10-01 10:55:00,53.7,53.7,0.000000
123,2018-09-21 10:30:00,53.7,55.7,-2.000000
124,2018-09-03 10:55:00,55.9,56.1,-0.200000
125,2018-08-23 10:30:00,56.1,56.5,-0.400000
126,2018-08-01 10:55:00,56.9,57.3,-0.400000
127,2018-07-24 10:30:00,57.3,55.5,1.800000
128,2018-07-02 10:55:00,55.9,55.9,0.000000
