,Date,Actual,Consensus,Difference
0,2023-11-06 10:55:00,48.2,48.0,0.200000
1,2023-10-24 10:30:00,48.0,50.0,-2.000000
2,2023-10-04 10:55:00,50.3,49.8,0.500000
3,2023-09-22 10:30:00,49.8,47.2,2.600000
4,2023-09-05 10:55:00,47.3,47.3,0.000000
5,2023-08-23 10:30:00,47.3,51.5,-4.200000
6,2023-08-03 10:55:00,52.3,52.0,0.300000
7,2023-07-24 10:30:00,52.0,53.1,-1.100000
8,2023-07-05 10:55:00,54.1,54.1,0.000000
9,2023-06-23 10:30:00,54.1,56.2,-2.100000
10,2023-06-05 10:55:00,57.2,57.8,-0.600000
11,2023-05-23 10:30:00,57.8,55.5,2.300000
12,2023-05-04 10:55:00,56.0,55.7,0.300000
13,2023-04-21 10:30:00,55.7,53.3,2.400000
14,2023-04-05 10:55:00,53.7,53.9,-0.200000
15,2023-03-24 11:30:00,53.9,51.0,2.900000
16,2023-03-03 10:55:00,50.9,51.3,-0.400000
17,2023-02-21 10:30:00,51.3,51.0,0.300000
18,2023-02-03 10:55:00,50.7,50.4,0.300000
19,2023-01-24 10:30:00,50.4,49.6,0.800000
20,2023-01-04 10:55:00,49.2,49.0,0.200000
21,2022-12-16 10:30:00,49.0,46.3,2.700000
22,2022-12-05 10:55:00,46.1,46.4,-0.300000
23,2022-11-23 10:30:00,46.4,46.2,0.200000
24,2022-11-04 11:55:00,46.5,44.9,1.600000
25,2022-10-24 10:30:00,44.9,44.7,0.200000
26,2022-10-05 10:55:00,45.0,45.4,-0.400000
27,2022-09-23 10:30:00,45.4,47.2,-1.800000
28,2022-09-05 10:55:00,47.7,48.2,-0.500000
29,2022-08-23 10:30:00,48.2,49.0,-0.800000
30,2022-08-03 10:55:00,49.7,49.2,0.500000
31,2022-07-22 10:30:00,49.2,51.2,-2.000000
32,2022-07-05 10:55:00,52.4,52.4,0.000000
33,2022-06-23 10:30:00,52.4,54.5,-2.100000
34,2022-06-03 10:55:00,55.0,56.3,-1.300000
35,2022-05-24 10:30:00,56.3,57.2,-0.900000
36,2022-05-04 10:55:00,57.6,57.9,-0.300000
37,2022-04-22 10:30:00,57.9,55.5,2.400000
38,2022-04-05 10:55:00,56.1,55.0,1.100000
39,2022-03-24 11:30:00,55.0,53.8,1.200000
40,2022-03-03 10:55:00,55.8,56.6,-0.800000
41,2022-02-21 10:30:00,56.6,53.0,3.600000
42,2022-02-03 10:55:00,52.2,52.2,0.000000
43,2022-01-24 10:30:00,52.2,48.0,4.200000
44,2022-01-05 10:55:00,48.7,48.4,0.300000
45,2021-12-16 10:30:00,48.4,51.0,-2.600000
46,2021-12-03 10:55:00,52.7,53.4,-0.700000
47,2021-11-23 10:30:00,53.4,51.5,1.900000
48,2021-11-04 11:55:00,52.4,52.4,0.000000
49,2021-10-22 10:30:00,52.4,55.0,-2.600000
50,2021-10-05 10:55:00,56.2,56.0,0.200000
51,2021-09-23 10:30:00,56.0,60.2,-4.200000
52,2021-09-03 10:55:00,60.8,61.5,-0.700000
53,2021-08-23 10:30:00,61.5,61.0,0.500000
54,2021-08-04 10:55:00,61.8,62.2,-0.400000
55,2021-07-23 10:30:00,62.2,59.1,3.100000
56,2021-07-05 10:55:00,57.5,58.1,-0.600000
57,2021-06-23 10:30:00,58.1,55.5,2.600000
58,2021-06-03 10:55:00,52.8,52.8,0.000000
59,2021-05-21 10:30:00,52.8,52.0,0.800000
60,2021-05-05 10:55:00,49.9,50.1,-0.200000
61,2021-04-23 10:30:00,50.1,50.8,-0.700000
62,2021-04-07 10:55:00,51.5,50.8,0.700000
63,2021-03-24 11:30:00,50.8,46.2,4.600000
64,2021-03-03 10:55:00,45.7,45.9,-0.200000
65,2021-02-19 10:30:00,45.9,46.5,-0.600000
66,2021-02-03 10:55:00,46.7,46.8,-0.100000
67,2021-01-22 10:30:00,46.8,45.3,1.500000
68,2021-01-06 10:55:00,47.0,47.7,-0.700000
69,2020-12-16 10:30:00,47.7,44.0,3.700000
70,2020-12-03 10:55:00,46.0,46.2,-0.200000
71,2020-11-23 10:30:00,46.2,46.3,-0.100000
72,2020-11-04 10:55:00,49.5,48.9,0.600000
73,2020-10-23 10:30:00,48.9,49.2,-0.300000
74,2020-10-05 10:55:00,50.6,49.1,1.500000
75,2020-09-23 10:30:00,49.1,53.0,-3.900000
76,2020-09-03 10:55:00,52.5,50.8,1.700000
77,2020-08-21 10:30:00,50.8,55.1,-4.300000
78,2020-08-05 10:55:00,55.6,56.7,-1.100000
79,2020-07-24 10:30:00,56.7,50.5,6.200000
80,2020-07-03 10:55:00,47.3,45.8,1.500000
81,2020-06-23 10:30:00,45.8,42.0,3.800000
82,2020-06-03 10:55:00,32.6,31.4,1.200000
83,2020-05-21 10:30:00,31.4,26.6,4.800000
84,2020-05-06 10:55:00,16.2,15.9,0.300000
85,2020-04-23 10:30:00,15.9,28.5,-12.600000
86,2020-04-03 10:55:00,31.7,34.3,-2.600000
87,2020-03-24 11:30:00,34.5,42.3,-7.800000
88,2020-03-04 10:55:00,52.5,53.3,-0.800000
89,2020-02-21 10:30:00,53.3,53.8,-0.500000
90,2020-02-05 10:55:00,54.2,54.2,0.000000
91,2020-01-24 10:30:00,54.2,53.0,1.200000
92,2020-01-06 10:55:00,52.9,52.0,0.900000
93,2019-12-16 10:30:00,52.0,52.0,0.000000
94,2019-12-04 10:55:00,51.7,51.3,0.400000
95,2019-11-22 10:30:00,51.3,52.0,-0.700000
96,2019-11-06 10:55:00,51.6,51.2,0.400000
97,2019-10-24 10:30:00,51.2,52.0,-0.800000
98,2019-10-03 10:55:00,51.4,52.5,-1.100000
99,2019-09-23 10:30:00,52.5,54.3,-1.800000
100,2019-09-04 10:55:00,54.8,54.4,0.400000
101,2019-08-22 10:30:00,54.4,54.1,0.300000
102,2019-08-05 10:55:00,54.5,55.4,-0.900000
103,2019-07-24 10:30:00,55.4,55.3,0.100000
