,Date,Actual,Consensus,Difference
0,2023-10-31 10:00:00,-0.8,0.5,-1.300000
1,2023-09-29 09:00:00,-1.2,0.5,-1.700000
2,2023-08-31 09:00:00,-0.8,0.3,-1.100000
3,2023-07-31 09:00:00,-0.8,0.2,-1.000000
4,2023-06-30 09:00:00,0.4,0.0,0.400000
5,2023-06-01 09:00:00,0.8,1.0,-0.200000
6,2023-05-02 09:00:00,-2.4,0.4,-2.800000
7,2023-03-31 09:00:00,-1.3,0.5,-1.800000
8,2023-03-08 09:00:00,-0.3,2.0,-2.300000
9,2023-01-31 09:00:00,-5.3,0.2,-5.500000
10,2023-01-06 09:00:00,1.1,1.0,0.100000
11,2022-12-01 09:00:00,-2.8,-0.6,-2.200000
12,2022-10-31 10:00:00,0.9,-0.3,1.200000
13,2022-10-07 09:00:00,-1.3,-1.1,-0.200000
14,2022-09-01 09:00:00,1.9,-0.4,2.300000
15,2022-08-01 09:00:00,-1.6,0.2,-1.800000
16,2022-06-30 09:00:00,0.6,0.5,0.100000
17,2022-06-01 09:00:00,-5.4,-0.2,-5.200000
18,2022-05-02 09:00:00,-0.1,0.3,-0.400000
19,2022-03-31 09:00:00,0.3,0.5,-0.200000
20,2022-03-07 09:00:00,2.0,1.8,0.200000
21,2022-02-01 09:00:00,-5.5,-1.4,-4.100000
22,2022-01-04 09:00:00,0.6,-0.5,1.100000
23,2021-12-01 09:00:00,-0.3,1.0,-1.300000
24,2021-11-01 10:00:00,-2.5,0.6,-3.100000
25,2021-10-01 09:00:00,1.1,1.5,-0.400000
26,2021-09-01 09:00:00,-5.1,-0.9,-4.200000
27,2021-08-02 09:00:00,4.2,2.0,2.200000
28,2021-07-01 09:00:00,4.2,5.0,-0.800000
29,2021-06-02 09:00:00,-5.5,-2.0,-3.500000
30,2021-05-03 09:00:00,7.7,3.0,4.700000
31,2021-04-01 09:00:00,1.2,2.0,-0.800000
32,2021-03-02 09:00:00,-4.5,-0.3,-4.200000
33,2021-02-01 09:00:00,-9.6,-2.6,-7.000000
34,2021-01-05 09:00:00,1.9,-2.0,3.900000
35,2020-12-02 09:00:00,2.6,1.2,1.400000
36,2020-10-30 10:00:00,-2.2,-0.8,-1.400000
37,2020-09-30 09:00:00,3.1,0.4,2.700000
38,2020-09-02 09:00:00,-0.9,0.5,-1.400000
39,2020-07-31 09:00:00,-1.6,-3.3,1.700000
40,2020-07-01 09:00:00,13.9,3.9,10.000000
41,2020-05-29 09:00:00,-5.3,-12.0,6.700000
42,2020-04-30 09:00:00,-5.6,-7.3,1.700000
43,2020-04-01 09:00:00,1.2,0.1,1.100000
44,2020-03-04 09:00:00,0.9,1.0,-0.100000
45,2020-01-31 09:00:00,-3.3,-0.5,-2.800000
46,2020-01-06 09:00:00,2.1,1.1,1.000000
47,2019-10-31 10:00:00,0.1,0.3,-0.200000
48,2019-09-30 09:00:00,0.5,0.5,0.000000
49,2019-08-30 09:00:00,-2.1,-1.3,-0.800000
50,2019-07-31 09:00:00,3.5,0.5,3.000000
51,2019-07-02 09:00:00,-0.6,0.5,-1.100000
52,2019-05-31 09:00:00,-2.0,0.4,-2.400000
53,2019-05-02 09:00:00,-0.2,-0.4,0.200000
54,2019-03-29 10:00:00,0.9,-1.0,1.900000
55,2019-03-01 09:00:00,3.3,1.9,1.400000
56,2019-01-31 09:00:00,-4.3,-0.5,-3.800000
57,2019-01-07 09:00:00,1.4,0.4,1.000000
58,2018-11-30 09:00:00,-0.3,0.4,-0.700000
59,2018-10-31 10:00:00,0.1,0.5,-0.400000
60,2018-10-01 09:00:00,-0.1,0.4,-0.500000
61,2018-08-31 09:00:00,-0.4,-0.2,-0.200000
62,2018-07-31 09:00:00,1.2,1.1,0.100000
63,2018-06-29 09:00:00,-2.1,-0.5,-1.600000
64,2018-05-30 09:00:00,2.3,0.5,1.800000
65,2018-04-30 09:00:00,-0.6,0.8,-1.400000
66,2018-04-03 09:00:00,-0.7,0.7,-1.400000
67,2018-03-02 09:00:00,-0.7,0.9,-1.600000
68,2018-01-31 09:00:00,-1.9,-0.4,-1.500000
69,2018-01-05 09:00:00,2.3,1.1,1.200000
70,2017-11-30 09:00:00,-1.2,0.3,-1.500000
71,2017-10-30 10:00:00,0.5,0.7,-0.200000
72,2017-09-29 09:00:00,-0.4,0.5,-0.900000
73,2017-08-31 09:00:00,-1.2,-0.4,-0.800000
74,2017-07-31 09:00:00,1.1,0.2,0.900000
75,2017-06-30 09:00:00,0.5,0.3,0.200000
76,2017-05-31 09:00:00,-0.2,0.2,-0.400000
77,2017-04-28 09:00:00,0.1,-0.3,0.400000
78,2017-03-31 09:00:00,1.8,0.7,1.100000
79,2017-03-03 09:00:00,-0.8,0.2,-1.000000
80,2017-01-31 09:00:00,-0.9,0.6,-1.500000
81,2017-01-06 09:00:00,-1.8,-0.6,-1.200000
82,2016-11-30 09:00:00,2.4,1.0,1.400000
83,2016-10-31 10:00:00,-1.4,0.2,-1.600000
84,2016-09-30 09:00:00,-0.4,-0.3,-0.100000
85,2016-08-31 09:00:00,1.7,0.5,1.200000
86,2016-07-29 09:00:00,-0.1,-0.1,0.000000
87,2016-06-30 09:00:00,0.9,0.7,0.200000
88,2016-05-31 09:00:00,-0.9,0.9,-1.800000
89,2016-04-29 09:00:00,-1.1,0.3,-1.400000
90,2016-03-31 09:00:00,-0.4,0.3,-0.700000
91,2016-02-29 09:00:00,0.7,0.2,0.500000
92,2016-01-29 09:00:00,-0.2,0.5,-0.700000
93,2016-01-07 09:00:00,0.2,0.5,-0.300000
94,2015-11-30 09:00:00,-0.4,0.4,-0.800000
95,2015-10-30 10:00:00,0.0,0.4,-0.400000
96,2015-09-30 09:00:00,-0.4,0.2,-0.600000
97,2015-08-31 09:00:00,1.4,1.0,0.400000
98,2015-07-31 09:00:00,-2.3,0.3,-2.600000
99,2015-06-30 09:00:00,0.5,0.2,0.300000
100,2015-05-29 09:00:00,1.7,0.8,0.900000
101,2015-04-30 09:00:00,-2.3,0.4,-2.700000
102,2015-03-31 09:00:00,-0.5,-0.7,0.200000
103,2015-03-03 09:00:00,2.9,0.4,2.500000
104,2015-01-30 09:00:00,0.2,0.3,-0.100000
105,2015-01-07 09:00:00,1.0,0.1,0.900000
106,2014-11-28 09:00:00,1.9,1.7,0.200000
107,2014-10-31 10:00:00,-3.2,-1.0,-2.200000
108,2014-09-30 09:00:00,2.5,0.5,2.000000
109,2014-08-29 09:00:00,-1.4,0.1,-1.500000
110,2014-07-31 09:00:00,1.3,1.0,0.300000
111,2014-06-30 09:00:00,-0.6,0.7,-1.300000
112,2014-05-30 09:00:00,-0.9,0.4,-1.300000
113,2014-04-30 09:00:00,-0.7,-0.7,0.000000
114,2014-03-31 09:00:00,1.3,-0.5,1.800000
115,2014-02-28 09:00:00,2.5,1.0,1.500000
116,2014-01-31 09:00:00,-2.5,0.2,-2.700000
117,2014-01-07 09:00:00,1.5,0.6,0.900000
118,2013-11-29 09:00:00,-0.8,0.5,-1.300000
119,2013-10-31 10:00:00,-0.4,0.4,-0.800000
120,2013-09-30 09:00:00,0.5,0.8,-0.300000
121,2013-08-30 09:00:00,-1.4,0.5,-1.900000
122,2013-07-31 09:00:00,-1.5,0.4,-1.900000
123,2013-06-28 09:00:00,0.8,0.2,0.600000
124,2013-05-31 09:00:00,-0.4,0.2,-0.600000
125,2013-04-30 09:00:00,-0.3,0.1,-0.400000
126,2013-03-28 10:00:00,0.4,-1.0,1.400000
127,2013-03-01 09:00:00,3.1,1.0,2.100000
128,2013-01-31 09:00:00,-1.7,-0.1,-1.600000
129,2013-01-04 09:00:00,1.2,0.8,0.400000
130,2012-11-30 09:00:00,-2.8,-0.2,-2.600000
131,2012-10-31 10:00:00,1.5,0.3,1.200000
132,2012-09-28 09:00:00,0.3,0.6,-0.300000
133,2012-08-31 09:00:00,-0.9,0.2,-1.100000
134,2012-07-31 09:00:00,-0.1,0.5,-0.600000
135,2012-06-29 09:00:00,-0.3,0.1,-0.400000
136,2012-05-31 09:00:00,0.6,0.1,0.500000
137,2012-04-30 09:00:00,0.8,1.0,-0.200000
138,2012-03-30 09:00:00,-1.1,1.2,-2.300000
139,2012-03-02 09:00:00,-1.6,0.5,-2.100000
140,2012-01-31 09:00:00,-1.4,0.8,-2.200000
141,2012-01-05 09:00:00,-0.9,0.1,-1.000000
142,2011-11-30 09:00:00,0.7,0.1,0.600000
143,2011-10-31 10:00:00,0.4,1.1,-0.700000
