,Date,Actual,Consensus,Difference
0,2023-11-03 10:00:00,16.5,16.3,0.200000
1,2023-10-05 09:00:00,16.6,15.0,1.600000
2,2023-09-04 09:00:00,15.9,18.0,-2.100000
3,2023-08-03 09:00:00,18.7,15.0,3.700000
4,2023-07-04 09:00:00,14.4,17.5,-3.100000
5,2023-06-05 09:00:00,18.4,16.0,2.400000
6,2023-05-04 09:00:00,16.7,16.1,0.600000
7,2023-04-04 09:00:00,16.0,17.0,-1.000000
8,2023-03-03 09:00:00,16.7,11.0,5.700000
9,2023-02-02 09:00:00,10.0,9.2,0.800000
10,2023-01-05 09:00:00,10.8,7.5,3.300000
11,2022-12-02 09:00:00,6.9,5.2,1.700000
12,2022-11-02 10:00:00,3.7,0.7,3.000000
13,2022-10-05 09:00:00,1.2,4.0,-2.800000
14,2022-09-02 09:00:00,5.4,4.8,0.600000
15,2022-08-03 09:00:00,6.4,0.2,6.200000
16,2022-07-04 09:00:00,-1.0,2.7,-3.700000
17,2022-06-03 09:00:00,3.5,1.6,1.900000
18,2022-05-04 09:00:00,3.2,9.8,-6.600000
19,2022-04-04 09:00:00,11.5,9.6,1.900000
20,2022-03-04 09:00:00,9.4,7.1,2.300000
21,2022-02-09 09:00:00,6.8,10.4,-3.600000
22,2022-01-07 09:00:00,10.9,12.8,-1.900000
23,2021-12-09 09:00:00,12.5,13.4,-0.900000
24,2021-11-09 09:00:00,13.2,13.6,-0.400000
25,2021-10-08 09:00:00,13.0,15.8,-2.800000
26,2021-09-09 09:00:00,17.9,13.0,4.900000
27,2021-08-09 09:00:00,13.6,13.4,0.200000
28,2021-07-08 09:00:00,12.6,15.4,-2.800000
29,2021-06-09 09:00:00,15.9,16.3,-0.400000
30,2021-05-07 09:00:00,14.3,19.5,-5.200000
31,2021-04-09 09:00:00,19.1,20.0,-0.900000
32,2021-03-09 09:00:00,22.2,16.4,5.800000
33,2021-02-09 09:00:00,16.1,15.9,0.200000
34,2021-01-08 09:00:00,16.4,18.0,-1.600000
35,2020-12-09 09:00:00,18.2,18.0,0.200000
36,2020-11-09 09:00:00,17.8,15.8,2.000000
37,2020-10-08 09:00:00,15.7,18.2,-2.500000
38,2020-09-08 09:00:00,18.0,16.0,2.000000
39,2020-08-07 09:00:00,14.5,10.1,4.400000
40,2020-07-09 09:00:00,7.6,5.2,2.400000
41,2020-06-09 09:00:00,3.2,10.0,-6.800000
42,2020-05-08 09:00:00,12.8,18.9,-6.100000
43,2020-04-09 09:00:00,21.6,17.5,4.100000
44,2020-03-09 10:00:00,18.5,15.4,3.100000
45,2020-02-07 09:00:00,19.2,18.4,0.800000
46,2020-01-09 09:00:00,18.3,20.0,-1.700000
47,2019-12-09 09:00:00,20.6,19.0,1.600000
48,2019-11-08 09:00:00,19.2,18.1,1.100000
49,2019-10-10 09:00:00,18.1,19.4,-1.300000
50,2019-09-09 09:00:00,20.2,17.5,2.700000
51,2019-08-09 09:00:00,18.1,18.5,-0.400000
52,2019-07-08 09:00:00,18.7,16.8,1.900000
53,2019-06-07 09:00:00,17.0,18.6,-1.600000
54,2019-05-10 09:00:00,20.0,18.2,1.800000
55,2019-04-08 09:00:00,18.7,18.0,0.700000
56,2019-03-11 10:00:00,18.5,21.2,-2.700000
57,2019-02-08 09:00:00,19.4,18.1,1.300000
58,2019-01-09 09:00:00,19.0,17.6,1.400000
59,2018-12-10 09:00:00,17.3,17.2,0.100000
60,2018-11-08 09:00:00,17.6,18.0,-0.400000
61,2018-10-09 09:00:00,18.3,16.4,1.900000
62,2018-09-07 09:00:00,15.8,19.0,-3.200000
63,2018-08-07 09:00:00,19.3,21.4,-2.100000
64,2018-07-09 09:00:00,20.3,20.3,0.000000
65,2018-06-08 09:00:00,19.4,21.0,-1.600000
66,2018-05-08 09:00:00,22.0,19.9,2.100000
67,2018-04-09 09:00:00,19.2,23.1,-3.900000
68,2018-03-09 09:00:00,21.3,21.1,0.200000
69,2018-02-08 09:00:00,21.4,20.4,1.000000
70,2018-01-09 09:00:00,22.3,20.9,1.400000
71,2017-12-08 09:00:00,19.9,21.8,-1.900000
72,2017-11-09 09:00:00,21.8,21.1,0.700000
73,2017-10-10 09:00:00,21.6,20.0,1.600000
74,2017-09-08 09:00:00,19.5,20.3,-0.800000
75,2017-08-08 09:00:00,21.2,21.0,0.200000
76,2017-07-10 09:00:00,20.3,20.3,0.000000
77,2017-06-09 09:00:00,19.8,20.3,-0.500000
78,2017-05-09 09:00:00,19.6,20.9,-1.300000
79,2017-04-07 09:00:00,21.0,18.4,2.600000
80,2017-03-10 09:00:00,18.5,18.0,0.500000
81,2017-02-09 09:00:00,18.4,21.4,-3.000000
82,2017-01-09 09:00:00,21.7,21.2,0.500000
83,2016-12-09 09:00:00,20.5,21.5,-1.000000
84,2016-11-08 09:00:00,21.3,23.0,-1.700000
85,2016-10-10 09:00:00,22.2,20.0,2.200000
86,2016-09-09 09:00:00,19.4,22.0,-2.600000
87,2016-08-09 09:00:00,21.7,22.4,-0.700000
88,2016-07-08 09:00:00,22.2,23.8,-1.600000
89,2016-06-09 09:00:00,24.0,23.0,1.000000
90,2016-05-10 09:00:00,23.6,20.5,3.100000
91,2016-04-08 09:00:00,19.8,18.5,1.300000
92,2016-03-10 09:00:00,18.9,19.6,-0.700000
93,2016-02-09 09:00:00,18.8,20.2,-1.400000
94,2016-01-08 09:00:00,19.7,20.0,-0.300000
95,2015-12-09 09:00:00,20.8,20.0,0.800000
96,2015-11-09 09:00:00,19.4,20.0,-0.600000
97,2015-10-08 09:00:00,19.6,22.5,-2.900000
98,2015-09-08 09:00:00,22.8,22.3,0.500000
99,2015-08-07 09:00:00,24.0,21.5,2.500000
100,2015-07-09 09:00:00,22.8,21.0,1.800000
101,2015-06-08 09:00:00,22.3,19.4,2.900000
102,2015-05-08 09:00:00,19.3,20.0,-0.700000
103,2015-04-09 09:00:00,19.7,20.1,-0.400000
104,2015-03-09 10:00:00,19.7,21.0,-1.300000
105,2015-02-09 09:00:00,21.8,18.3,3.500000
106,2015-01-09 09:00:00,17.7,20.7,-3.000000
107,2014-12-09 09:00:00,20.6,19.2,1.400000
108,2014-11-07 09:00:00,18.5,18.5,0.000000
109,2014-10-09 09:00:00,17.5,18.5,-1.000000
110,2014-09-08 09:00:00,22.2,16.8,5.400000
111,2014-08-08 09:00:00,16.2,17.5,-1.300000
112,2014-07-08 09:00:00,18.8,16.4,2.400000
113,2014-06-06 09:00:00,17.7,15.2,2.500000
114,2014-05-09 09:00:00,14.8,16.6,-1.800000
115,2014-04-09 09:00:00,15.7,17.8,-2.100000
116,2014-03-11 10:00:00,17.2,17.7,-0.500000
117,2014-02-07 09:00:00,18.5,17.3,1.200000
118,2014-01-08 09:00:00,17.8,18.0,-0.200000
119,2013-12-09 09:00:00,16.8,18.0,-1.200000
120,2013-11-08 09:00:00,18.8,15.5,3.300000
121,2013-10-08 09:00:00,15.6,15.1,0.500000
122,2013-09-06 09:00:00,14.5,16.1,-1.600000
123,2013-08-08 09:00:00,15.7,14.9,0.800000
124,2013-07-08 09:00:00,14.1,17.5,-3.400000
125,2013-06-07 09:00:00,17.7,17.2,0.500000
126,2013-05-10 09:00:00,17.6,16.5,1.100000
127,2013-04-09 09:00:00,17.1,15.0,2.100000
128,2013-03-11 10:00:00,15.7,15.7,0.000000
129,2013-02-08 09:00:00,16.8,14.8,2.000000
130,2013-01-08 09:00:00,14.6,15.0,-0.400000
