,Date,Actual,Consensus,Difference
0,2023-11-02 11:55:00,5.8,5.8,0.000000
1,2023-09-29 10:55:00,5.7,5.7,0.000000
2,2023-08-31 10:55:00,5.7,5.7,0.000000
3,2023-08-01 10:55:00,5.6,5.7,-0.100000
4,2023-06-30 10:55:00,5.7,5.6,0.100000
5,2023-05-31 10:55:00,5.6,5.6,0.000000
6,2023-04-28 10:55:00,5.6,5.6,0.000000
7,2023-03-31 10:55:00,5.6,5.5,0.100000
8,2023-03-01 10:55:00,5.5,5.5,0.000000
9,2023-01-31 10:55:00,5.5,5.5,0.000000
10,2023-01-03 10:55:00,5.5,5.6,-0.100000
11,2022-11-30 10:55:00,5.6,5.5,0.100000
12,2022-11-02 11:55:00,5.5,5.5,0.000000
13,2022-09-30 10:55:00,5.5,5.5,0.000000
14,2022-08-31 10:55:00,5.5,5.5,0.000000
15,2022-07-29 10:55:00,5.4,5.4,0.000000
16,2022-06-30 10:55:00,5.3,5.0,0.300000
17,2022-05-31 10:55:00,5.0,5.0,0.000000
18,2022-05-03 10:55:00,5.0,5.0,0.000000
19,2022-03-31 10:55:00,5.0,5.0,0.000000
20,2022-03-02 10:55:00,5.0,5.1,-0.100000
21,2022-02-01 10:55:00,5.1,5.2,-0.100000
22,2022-01-04 10:55:00,5.2,5.3,-0.100000
23,2021-11-30 10:55:00,5.3,5.3,0.000000
24,2021-10-28 10:55:00,5.4,5.4,0.000000
25,2021-09-30 10:55:00,5.5,5.4,0.100000
26,2021-08-31 10:55:00,5.5,5.6,-0.100000
27,2021-07-29 10:55:00,5.7,5.8,-0.100000
28,2021-06-30 10:55:00,5.9,5.9,0.000000
29,2021-06-01 10:55:00,6.0,6.0,0.000000
30,2021-04-29 10:55:00,6.0,6.0,0.000000
31,2021-03-31 10:55:00,6.0,6.0,0.000000
32,2021-03-02 10:55:00,6.0,6.0,0.000000
33,2021-01-29 10:55:00,6.0,6.1,-0.100000
34,2021-01-05 10:55:00,6.1,6.1,0.000000
35,2020-12-01 10:55:00,6.1,6.3,-0.200000
36,2020-10-29 11:55:00,6.2,6.3,-0.100000
37,2020-09-30 10:55:00,6.3,6.4,-0.100000
38,2020-09-01 10:55:00,6.4,6.4,0.000000
39,2020-07-30 10:55:00,6.4,6.5,-0.100000
40,2020-07-01 10:55:00,6.4,6.6,-0.200000
41,2020-06-03 10:55:00,6.3,6.2,0.100000
42,2020-04-30 10:55:00,5.8,5.2,0.600000
43,2020-03-31 10:55:00,5.0,5.1,-0.100000
44,2020-02-28 10:55:00,5.0,5.0,0.000000
45,2020-01-30 10:55:00,5.0,5.0,0.000000
46,2020-01-03 10:55:00,5.0,5.0,0.000000
47,2019-11-29 10:55:00,5.0,5.0,0.000000
48,2019-10-30 11:55:00,5.0,5.0,0.000000
49,2019-09-30 10:55:00,5.0,5.0,0.000000
50,2019-08-29 10:55:00,5.0,5.0,0.000000
51,2019-07-31 10:55:00,5.0,5.0,0.000000
52,2019-07-01 10:55:00,5.0,5.0,0.000000
53,2019-05-29 10:55:00,5.0,4.9,0.100000
