,Date,Actual,Consensus,Difference
0,2023-11-14 10:00:00,3.5,3.5,0.000000
1,2023-10-30 11:00:00,3.5,3.7,-0.200000
2,2023-10-13 10:00:00,3.3,3.2,0.100000
3,2023-09-28 10:00:00,3.2,3.3,-0.100000
4,2023-09-12 10:00:00,2.4,2.4,0.000000
5,2023-08-30 10:00:00,2.4,2.5,-0.100000
6,2023-08-11 10:00:00,2.1,2.1,0.000000
7,2023-07-28 10:00:00,2.1,1.6,0.500000
8,2023-07-12 10:00:00,1.6,1.6,0.000000
9,2023-06-29 10:00:00,1.6,1.5,0.100000
10,2023-06-13 10:00:00,2.9,2.9,0.000000
11,2023-05-30 10:00:00,2.9,4.1,-1.200000
12,2023-05-12 10:00:00,3.8,3.8,0.000000
13,2023-04-28 10:00:00,3.8,4.1,-0.300000
14,2023-04-14 10:00:00,3.1,3.1,0.000000
15,2023-03-30 10:00:00,3.1,4.0,-0.900000
16,2023-03-14 11:00:00,6.0,6.1,-0.100000
17,2023-02-28 10:00:00,6.1,5.5,0.600000
18,2023-02-15 10:00:00,5.9,5.8,0.100000
19,2023-01-30 10:00:00,5.8,4.7,1.100000
20,2023-01-13 10:00:00,5.5,5.6,-0.100000
21,2022-12-30 10:00:00,5.6,6.0,-0.400000
22,2022-12-14 10:00:00,6.7,6.6,0.100000
23,2022-11-29 10:00:00,6.6,7.5,-0.900000
24,2022-11-29 10:00:00,6.6,7.5,-0.900000
25,2022-11-15 10:00:00,7.3,7.3,0.000000
26,2022-10-28 10:00:00,7.3,8.1,-0.800000
27,2022-10-14 10:00:00,9.0,9.3,-0.300000
28,2022-09-29 10:00:00,9.3,10.1,-0.800000
29,2022-09-13 10:00:00,10.5,10.3,0.200000
30,2022-08-30 10:00:00,10.3,10.3,0.000000
31,2022-08-12 10:00:00,10.7,10.8,-0.100000
32,2022-07-29 10:00:00,10.8,10.4,0.400000
33,2022-07-13 10:00:00,10.0,10.0,0.000000
34,2022-06-29 10:00:00,10.0,8.7,1.300000
35,2022-06-10 10:00:00,8.5,8.5,0.000000
36,2022-05-30 10:00:00,8.5,8.2,0.300000
37,2022-05-13 10:00:00,8.3,8.3,0.000000
38,2022-04-28 10:00:00,8.3,9.0,-0.700000
39,2022-04-13 10:00:00,9.8,9.8,0.000000
40,2022-03-30 10:00:00,9.8,8.1,1.700000
41,2022-03-11 10:00:00,7.6,7.5,0.100000
42,2022-02-28 10:00:00,7.5,6.8,0.700000
43,2022-02-15 10:00:00,6.2,6.1,0.100000
44,2022-01-31 10:00:00,6.1,5.5,0.600000
45,2022-01-14 10:00:00,6.6,6.7,-0.100000
46,2021-12-30 10:00:00,6.7,5.8,0.900000
47,2021-12-15 10:00:00,5.5,5.6,-0.100000
48,2021-11-29 10:00:00,5.6,5.6,0.000000
49,2021-11-12 10:00:00,5.4,5.5,-0.100000
50,2021-10-28 10:00:00,5.5,4.8,0.700000
51,2021-10-14 10:00:00,4.0,4.0,0.000000
52,2021-09-29 10:00:00,4.0,3.7,0.300000
53,2021-09-14 10:00:00,3.3,3.3,0.000000
54,2021-08-30 10:00:00,3.3,2.9,0.400000
55,2021-08-13 10:00:00,2.9,2.9,0.000000
56,2021-07-29 10:00:00,2.9,2.9,0.000000
57,2021-07-14 10:00:00,2.5,2.4,0.100000
58,2021-06-29 10:00:00,2.4,2.4,0.000000
59,2021-06-11 10:00:00,2.4,2.4,0.000000
60,2021-05-31 10:00:00,2.4,2.4,0.000000
61,2021-05-14 10:00:00,2.0,1.9,0.100000
62,2021-04-29 10:00:00,1.9,1.8,0.100000
63,2021-04-14 10:00:00,1.2,1.2,0.000000
64,2021-03-30 10:00:00,1.2,0.9,0.300000
65,2021-03-12 10:00:00,-0.1,-0.1,0.000000
66,2021-02-26 10:00:00,-0.1,0.4,-0.500000
67,2021-02-12 10:00:00,0.4,0.6,-0.200000
68,2021-01-29 10:00:00,0.6,-0.6,1.200000
69,2021-01-15 10:00:00,-0.6,-0.6,0.000000
70,2020-12-30 10:00:00,-0.6,-0.7,0.100000
71,2020-12-11 10:00:00,-0.8,-0.9,0.100000
72,2020-11-30 10:00:00,-0.9,-0.8,-0.100000
73,2020-11-13 10:00:00,-0.9,-1.0,0.100000
74,2020-10-29 11:00:00,-1.0,-0.6,-0.400000
75,2020-10-14 10:00:00,-0.6,-0.6,0.000000
76,2020-09-29 10:00:00,-0.6,-0.5,-0.100000
77,2020-09-11 10:00:00,-0.6,-0.6,0.000000
78,2020-08-31 10:00:00,-0.6,-0.6,0.000000
79,2020-08-13 10:00:00,-0.7,-0.7,0.000000
80,2020-07-30 10:00:00,-0.7,-0.2,-0.500000
81,2020-07-14 10:00:00,-0.3,-0.3,0.000000
82,2020-06-29 10:00:00,-0.3,-0.5,0.200000
83,2020-06-12 10:00:00,-0.9,-0.9,0.000000
84,2020-05-28 10:00:00,-0.9,-0.9,0.000000
85,2020-05-14 10:00:00,-0.7,-0.6,-0.100000
86,2020-04-30 10:00:00,-0.6,-0.8,0.200000
87,2020-04-15 10:00:00,0.1,0.2,-0.100000
88,2020-03-13 11:00:00,0.9,0.9,0.000000
89,2020-02-27 10:00:00,0.9,0.8,0.100000
90,2020-02-14 10:00:00,1.1,1.1,0.000000
91,2020-01-31 10:00:00,1.1,1.0,0.100000
92,2020-01-15 10:00:00,0.8,0.8,0.000000
93,2019-12-30 10:00:00,0.8,1.0,-0.200000
94,2019-12-13 10:00:00,0.5,0.5,0.000000
95,2019-11-28 10:00:00,0.5,0.5,0.000000
96,2019-11-14 10:00:00,0.2,0.2,0.000000
97,2019-10-30 11:00:00,0.2,0.2,0.000000
98,2019-10-11 10:00:00,0.2,0.2,0.000000
99,2019-09-30 10:00:00,0.2,0.3,-0.100000
100,2019-09-13 10:00:00,0.4,0.4,0.000000
101,2019-08-29 10:00:00,0.4,0.6,-0.200000
102,2019-08-13 10:00:00,0.6,0.7,-0.100000
